,date,nasdaq
0,2012-01-03,
1,2012-01-04,U04
2,2012-01-05,T00
3,2012-01-06,U04
4,2012-01-09,U02
5,2012-01-10,U01
6,2012-01-11,U04
7,2012-01-12,U04
8,2012-01-13,U04
9,2012-01-17,D04
10,2012-01-18,U04
11,2012-01-19,U04
12,2012-01-20,U04
13,2012-01-23,T00
14,2012-01-24,T00
15,2012-01-25,U01
16,2012-01-26,U04
17,2012-01-27,D04
18,2012-01-30,U04
19,2012-01-31,T00
20,2012-02-01,U01
21,2012-02-02,U04
22,2012-02-03,U04
23,2012-02-06,U04
24,2012-02-07,T00
25,2012-02-08,U01
26,2012-02-09,U04
27,2012-02-10,U04
28,2012-02-13,D04
29,2012-02-14,U04
30,2012-02-15,T00
31,2012-02-16,D04
32,2012-02-17,U04
33,2012-02-21,T00
34,2012-02-22,T00
35,2012-02-23,D04
36,2012-02-24,U04
37,2012-02-27,U03
38,2012-02-28,U01
39,2012-02-29,U04
40,2012-03-01,D04
41,2012-03-02,U04
42,2012-03-05,D04
43,2012-03-06,D04
44,2012-03-07,D04
45,2012-03-08,U04
46,2012-03-09,U04
47,2012-03-12,U04
48,2012-03-13,T00
49,2012-03-14,U04
50,2012-03-15,T00
51,2012-03-16,U04
52,2012-03-19,T00
53,2012-03-20,U04
54,2012-03-21,T00
55,2012-03-22,U01
56,2012-03-23,D04
57,2012-03-26,U02
58,2012-03-27,U04
59,2012-03-28,T00
60,2012-03-29,D04
61,2012-03-30,D04
62,2012-04-02,T00
63,2012-04-03,U04
64,2012-04-04,T00
65,2012-04-05,D04
66,2012-04-09,U04
67,2012-04-10,D04
68,2012-04-11,D04
69,2012-04-12,U04
70,2012-04-13,U04
71,2012-04-16,D04
72,2012-04-17,D04
73,2012-04-18,U04
74,2012-04-19,D04
75,2012-04-20,D04
76,2012-04-23,T00
77,2012-04-24,D04
78,2012-04-25,D04
79,2012-04-26,U04
80,2012-04-27,U04
81,2012-04-30,U04
82,2012-05-01,D04
83,2012-05-02,U02
84,2012-05-03,U04
85,2012-05-04,D04
86,2012-05-07,D04
87,2012-05-08,U01
88,2012-05-09,D04
89,2012-05-10,D04
90,2012-05-11,T00
91,2012-05-14,T00
92,2012-05-15,D04
93,2012-05-16,D04
94,2012-05-17,D04
95,2012-05-18,D04
96,2012-05-21,D04
97,2012-05-22,U04
98,2012-05-23,D04
99,2012-05-24,U04
100,2012-05-25,D04
101,2012-05-29,T00
102,2012-05-30,U04
103,2012-05-31,D04
104,2012-06-01,D04
105,2012-06-04,D04
106,2012-06-05,U04
107,2012-06-06,U04
108,2012-06-07,U04
109,2012-06-08,D04
110,2012-06-11,U04
111,2012-06-12,D04
112,2012-06-13,U04
113,2012-06-14,D04
114,2012-06-15,U04
115,2012-06-18,U04
116,2012-06-19,U04
117,2012-06-20,U04
118,2012-06-21,T00
119,2012-06-22,D04
120,2012-06-25,U04
121,2012-06-26,D04
122,2012-06-27,U04
123,2012-06-28,U04
124,2012-06-29,D04
125,2012-07-02,U04
126,2012-07-03,U04
127,2012-07-05,U04
128,2012-07-06,T00
129,2012-07-09,D04
130,2012-07-10,T00
131,2012-07-11,D04
132,2012-07-12,D04
133,2012-07-13,D04
134,2012-07-16,U04
135,2012-07-17,D04
136,2012-07-18,U04
137,2012-07-19,U04
138,2012-07-20,U04
139,2012-07-23,D04
140,2012-07-24,D04
141,2012-07-25,D04
142,2012-07-26,D04
143,2012-07-27,U04
144,2012-07-30,U04
145,2012-07-31,D04
146,2012-08-01,T00
147,2012-08-02,D04
148,2012-08-03,D04
149,2012-08-06,U04
150,2012-08-07,U04
151,2012-08-08,U04
152,2012-08-09,T00
153,2012-08-10,U03
154,2012-08-13,U01
155,2012-08-14,U01
156,2012-08-15,T00
157,2012-08-16,U04
158,2012-08-17,U04
159,2012-08-20,U04
160,2012-08-21,T00
161,2012-08-22,D04
162,2012-08-23,U03
163,2012-08-24,D04
164,2012-08-27,U04
165,2012-08-28,U02
166,2012-08-29,U02
167,2012-08-30,U02
168,2012-08-31,D04
169,2012-09-04,U04
170,2012-09-05,U03
171,2012-09-06,T00
172,2012-09-07,U04
173,2012-09-10,T00
174,2012-09-11,D04
175,2012-09-12,T00
176,2012-09-13,U04
177,2012-09-14,U04
178,2012-09-17,U04
179,2012-09-18,T00
180,2012-09-19,T00
181,2012-09-20,U02
182,2012-09-21,T00
183,2012-09-24,U02
184,2012-09-25,D04
185,2012-09-26,D04
186,2012-09-27,D04
187,2012-09-28,U04
188,2012-10-01,D04
189,2012-10-02,T00
190,2012-10-03,U03
191,2012-10-04,U04
192,2012-10-05,U04
193,2012-10-08,D04
194,2012-10-09,D04
195,2012-10-10,D04
196,2012-10-11,D04
197,2012-10-12,T00
198,2012-10-15,T00
199,2012-10-16,U04
200,2012-10-17,U04
201,2012-10-18,U02
202,2012-10-19,D04
203,2012-10-22,D04
204,2012-10-23,U04
205,2012-10-24,D04
206,2012-10-25,D04
207,2012-10-26,U02
208,2012-10-31,U01
209,2012-11-01,D04
210,2012-11-02,U04
211,2012-11-05,D04
212,2012-11-06,U04
213,2012-11-07,U04
214,2012-11-08,D04
215,2012-11-09,D04
216,2012-11-12,U04
217,2012-11-13,T00
218,2012-11-14,D04
219,2012-11-15,D04
220,2012-11-16,D04
221,2012-11-19,U04
222,2012-11-20,U04
223,2012-11-21,T00
224,2012-11-23,U04
225,2012-11-26,U04
226,2012-11-27,U04
227,2012-11-28,D04
228,2012-11-29,U04
229,2012-11-30,U04
230,2012-12-03,T00
231,2012-12-04,T00
232,2012-12-05,T00
233,2012-12-06,D04
234,2012-12-07,U04
235,2012-12-10,D04
236,2012-12-11,U04
237,2012-12-12,U04
