,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,100.0,P0,M0,오리엔트바이오,002630,2018-11-07,U04
0,95.21,P0,M0,제이엠티,094970,2018-11-07,U04
0,89.34,P0,M0,인터파크,035080,2018-11-07,U04
0,85.12,P0,K0,DB,012030,2018-11-07,U04
0,82.54,P0,M0,켐트로스,220260,2018-11-07,U04
0,89.12,P0,M0,광명전기,017040,2018-11-06,D04
0,83.47,P0,M0,대화제약,067080,2018-11-06,D04
0,75.95,P1,M0,국일신동,060480,2018-11-06,D04
0,74.22,P0,P0,GS,078930,2018-11-06,D04
0,74.17,P0,P0,국동,005320,2018-11-06,D04
0,93.03,P0,P0,넥슨지티,041140,2018-11-05,D04
0,92.52,P0,P0,한프,066110,2018-11-05,D04
0,84.75,P0,M0,세보엠이씨,011560,2018-11-05,D04
0,76.46,P0,M0,웅진,016880,2018-11-05,D04
0,73.89,P0,M0,GS리테일,007070,2018-11-05,D04
0,95.05,P0,P0,연우,115960,2018-11-02,U04
0,87.98,P0,P0,비에이치,090460,2018-11-02,U04
0,86.34,P0,P0,JW중외제약,001060,2018-11-02,U04
0,83.33,P0,P1,슈프리마,236200,2018-11-02,U04
0,82.92,P0,P0,리더스코스메틱,016100,2018-11-02,U04
0,96.47,P0,M0,SFA반도체,036540,2018-11-01,U04
0,90.69,P0,M0,한화에어로스페이스,012450,2018-11-01,U04
0,90.41,P0,M0,하이록코리아,013030,2018-11-01,U04
0,90.04,P0,M0,월덱스,101160,2018-11-01,U04
0,89.69,P0,P0,동아에스티,170900,2018-11-01,U04
