,날짜,종목코드,회사명,거래량
0,2019-01-02,025980,아난티,5371377.0
1,2019-01-02,000890,보해양조,59051382.0
2,2019-01-03,064350,현대로템,2698290.0
3,2019-01-03,005380,현대차,608591.0
4,2019-01-03,045390,대아티아이,10564629.0
5,2019-01-03,035250,강원랜드,376071.0
6,2019-01-04,041510,에스엠,216015.0
7,2019-01-04,003490,대한항공,424001.0
8,2019-01-04,180640,한진칼,684657.0
9,2019-01-09,180640,한진칼,978501.0
10,2019-01-09,018880,한온시스템,1843464.0
11,2019-01-10,009460,한창제지,10732867.0
12,2019-01-10,078130,국일제지,22229824.0
13,2019-01-10,015760,한국전력,2085286.0
14,2019-01-11,064350,현대로템,1064494.0
15,2019-01-11,009270,신원,6282385.0
16,2019-01-14,009540,한국조선해양,137851.0
17,2019-01-14,008350,남선알미늄,10889006.0
18,2019-01-14,000890,보해양조,17328357.0
19,2019-01-15,032640,LG유플러스,1632799.0
20,2019-01-15,041510,에스엠,276860.0
21,2019-01-16,012690,모나리자,3485438.0
22,2019-01-18,215090,이디티,4357559.0
23,2019-01-18,035250,강원랜드,682792.0
24,2019-01-18,000890,보해양조,7572443.0
25,2019-01-21,009460,한창제지,12566694.0
26,2019-01-21,025980,아난티,8217809.0
27,2019-01-21,011780,금호석유,182446.0
28,2019-01-23,017800,현대엘리베이,604718.0
29,2019-01-23,014580,태경비케이,8173279.0
30,2019-01-23,015760,한국전력,1465921.0
31,2019-01-23,034220,LG디스플레이,989511.0
32,2019-01-23,000720,현대건설,449805.0
33,2019-01-24,045390,대아티아이,2456999.0
34,2019-01-24,005110,한창,8116264.0
35,2019-01-24,180640,한진칼,1009343.0
36,2019-01-25,009270,신원,4006351.0
37,2019-01-25,064350,현대로템,1730662.0
38,2019-01-28,204320,만도,536881.0
39,2019-01-28,018880,한온시스템,947229.0
40,2019-01-29,004020,현대제철,449685.0
41,2019-01-29,003490,대한항공,435575.0
42,2019-01-29,000270,기아차,1002443.0
43,2019-01-29,008350,남선알미늄,25801419.0
44,2019-01-30,215480,토박스코리아,7139745.0
45,2019-01-30,017800,현대엘리베이,508836.0
46,2019-01-30,025980,아난티,7416370.0
47,2019-01-30,038500,삼표시멘트,9589860.0
48,2019-01-30,047810,한국항공우주,381483.0
49,2019-01-30,009270,신원,3840683.0
50,2019-01-30,035890,서희건설,13405246.0
51,2019-01-30,041140,넥슨지티,2191046.0
52,2019-01-30,045390,대아티아이,3795018.0
53,2019-01-30,046940,우원개발,2761355.0
54,2019-01-30,000720,현대건설,679357.0
55,2019-01-31,025320,시노펙스,3816422.0
56,2019-01-31,001510,SK증권,15312478.0
57,2019-01-31,007110,일신석재,39655541.0
58,2019-01-31,084680,이월드,4654105.0
59,2019-02-01,095190,이엠코리아,4122326.0
60,2019-02-01,013310,아진산업,17949500.0
61,2019-02-01,025980,아난티,5496936.0
62,2019-02-07,215480,토박스코리아,15772328.0
63,2019-02-07,026890,디피씨,4056157.0
64,2019-02-07,032830,삼성생명,212140.0
65,2019-02-07,059090,미코,4704944.0
66,2019-02-08,010620,현대미포조선,390114.0
67,2019-02-11,005930,삼성전자,11125044.0
68,2019-02-11,003490,대한항공,388682.0
69,2019-02-11,010140,삼성중공업,3721171.0
70,2019-02-11,000890,보해양조,14168075.0
71,2019-02-11,005380,현대차,425879.0
72,2019-02-11,009460,한창제지,9389524.0
73,2019-02-11,000660,SK하이닉스,3374192.0
74,2019-02-11,028260,삼성물산,148663.0
75,2019-02-11,126870,뉴로스,1993678.0
76,2019-02-11,034220,LG디스플레이,1007139.0
77,2019-02-12,009830,한화솔루션,1002925.0
78,2019-02-12,204320,만도,964386.0
79,2019-02-12,004020,현대제철,250213.0
80,2019-02-12,046890,서울반도체,542894.0
81,2019-02-12,008350,남선알미늄,4207661.0
82,2019-02-13,059090,미코,2463914.0
83,2019-02-13,055550,신한지주,963388.0
84,2019-02-13,024060,흥구석유,3151622.0
85,2019-02-14,005380,현대차,1072937.0
86,2019-02-14,006800,미래에셋대우,1947421.0
87,2019-02-14,000270,기아차,1334529.0
88,2019-02-14,026890,디피씨,3273243.0
89,2019-02-14,000720,현대건설,921888.0
90,2019-02-14,064350,현대로템,950687.0
91,2019-02-14,042040,케이피엠테크,12475801.0
92,2019-02-15,084990,헬릭스미스,120129.0
93,2019-02-15,066590,우수AMS,3621788.0
94,2019-02-15,041140,넥슨지티,4538019.0
95,2019-02-15,025980,아난티,5634498.0
96,2019-02-15,007110,일신석재,52867035.0
97,2019-02-18,215480,토박스코리아,9616850.0
98,2019-02-18,006800,미래에셋대우,1336313.0
99,2019-02-18,009830,한화솔루션,729962.0
100,2019-02-18,026890,디피씨,1981399.0
101,2019-02-18,086790,하나금융지주,750676.0
102,2019-02-18,045390,대아티아이,3490903.0
103,2019-02-19,126870,뉴로스,2684747.0
104,2019-02-19,095190,이엠코리아,3721053.0
105,2019-02-19,240810,원익IPS,509234.0
106,2019-02-20,000270,기아차,1273900.0
107,2019-02-20,037230,한국팩키지,9971055.0
108,2019-02-20,015760,한국전력,1049441.0
109,2019-02-20,003490,대한항공,648230.0
110,2019-02-20,046120,오르비텍,1726888.0
111,2019-02-20,086790,하나금융지주,988695.0
112,2019-02-20,204320,만도,589899.0
113,2019-02-20,018880,한온시스템,843451.0
114,2019-02-20,000660,SK하이닉스,3134257.0
115,2019-02-21,045390,대아티아이,6049380.0
116,2019-02-22,007110,일신석재,8149054.0
117,2019-02-22,017800,현대엘리베이,566642.0
118,2019-02-22,041140,넥슨지티,4508038.0
119,2019-02-25,126870,뉴로스,2087903.0
120,2019-02-25,020150,일진머티리얼즈,325606.0
121,2019-02-25,217500,러셀,8864588.0
122,2019-02-25,095190,이엠코리아,2917153.0
123,2019-02-25,028260,삼성물산,164304.0
124,2019-02-26,064350,현대로템,2774389.0
125,2019-02-26,000720,현대건설,613093.0
126,2019-02-26,032830,삼성생명,176932.0
127,2019-02-26,017800,현대엘리베이,829577.0
128,2019-02-26,011200,HMM,2849114.0
129,2019-02-26,007110,일신석재,24399978.0
130,2019-02-26,045390,대아티아이,12627126.0
131,2019-02-26,046120,오르비텍,1937193.0
132,2019-02-27,096770,SK이노베이션,317598.0
133,2019-02-27,041140,넥슨지티,1430738.0
134,2019-02-27,066570,LG전자,782090.0
135,2019-02-27,102460,이연제약,751040.0
136,2019-02-27,013310,아진산업,4581332.0
137,2019-02-27,084990,헬릭스미스,502053.0
138,2019-02-28,018880,한온시스템,1107542.0
139,2019-03-04,037230,한국팩키지,13418067.0
140,2019-03-04,039130,하나투어,185049.0
141,2019-03-04,059090,미코,1485689.0
142,2019-03-04,057030,YBM넷,4274943.0
143,2019-03-04,042510,라온시큐어,3860173.0
144,2019-03-04,002760,보락,6349028.0
145,2019-03-04,026890,디피씨,3865643.0
146,2019-03-04,066570,LG전자,474980.0
147,2019-03-04,093380,풍강,5643389.0
148,2019-03-04,008770,호텔신라,753138.0
149,2019-03-05,109610,에스와이,3361184.0
150,2019-03-05,010140,삼성중공업,2021935.0
151,2019-03-05,000270,기아차,1350646.0
152,2019-03-05,005110,한창,41115146.0
153,2019-03-05,214270,퓨쳐스트림네트웍스,6965461.0
154,2019-03-06,192250,케이사인,11727473.0
155,2019-03-06,009830,한화솔루션,533901.0
156,2019-03-06,043260,성호전자,10847909.0
157,2019-03-06,005380,현대차,599316.0
158,2019-03-06,240810,원익IPS,458612.0
159,2019-03-07,090430,아모레퍼시픽,152402.0
160,2019-03-07,224060,코디엠,12229039.0
161,2019-03-07,005930,삼성전자,11049749.0
162,2019-03-07,067390,아스트,776462.0
163,2019-03-07,008770,호텔신라,1231286.0
164,2019-03-08,215090,이디티,10299883.0
165,2019-03-08,095700,제넥신,199364.0
166,2019-03-08,009830,한화솔루션,553633.0
167,2019-03-11,055550,신한지주,867115.0
168,2019-03-11,026890,디피씨,1782143.0
169,2019-03-11,010140,삼성중공업,2776371.0
170,2019-03-11,035420,NAVER,151479.0
171,2019-03-11,047810,한국항공우주,511064.0
172,2019-03-11,084990,헬릭스미스,125757.0
173,2019-03-11,033180,필룩스,1770516.0
174,2019-03-11,015760,한국전력,730542.0
175,2019-03-12,900260,로스웰,22442226.0
176,2019-03-12,038620,위즈코프,8385599.0
177,2019-03-12,014470,부방,5589414.0
178,2019-03-12,005110,한창,21432749.0
179,2019-03-13,045890,GV,8029652.0
180,2019-03-13,035420,NAVER,268047.0
181,2019-03-14,096770,SK이노베이션,326938.0
182,2019-03-15,900260,로스웰,13789366.0
183,2019-03-15,900250,크리스탈신소재,30378536.0
184,2019-03-18,005110,한창,19076164.0
185,2019-03-18,042510,라온시큐어,12765168.0
186,2019-03-18,053030,바이넥스,1036755.0
187,2019-03-18,059090,미코,2841743.0
188,2019-03-18,066700,테라젠이텍스,785305.0
189,2019-03-19,065950,웰크론,3360212.0
190,2019-03-19,061970,엘비세미콘,9701087.0
191,2019-03-20,019170,신풍제약,1447828.0
192,2019-03-20,011780,금호석유,119219.0
193,2019-03-20,034220,LG디스플레이,986643.0
194,2019-03-21,093370,후성,2817110.0
195,2019-03-22,047810,한국항공우주,768516.0
196,2019-03-22,215480,토박스코리아,46768810.0
197,2019-03-22,066570,LG전자,1456647.0
198,2019-03-22,086820,바이오솔루션,316771.0
199,2019-03-22,065950,웰크론,11421971.0
200,2019-03-25,059090,미코,2654315.0
201,2019-03-26,084990,헬릭스미스,151757.0
