,날짜,종목코드,회사명,거래량
0,2018-11-08,214610,미코바이오메드,975.0
1,2018-11-08,154030,아시아종묘,933359.0
2,2018-11-08,226440,한송네오텍,5616700.0
3,2018-11-08,120240,대정화금,140492.0
4,2018-11-12,122450,KMH,140636.0
5,2018-11-12,033540,파라텍,79326.0
6,2018-11-12,009460,한창제지,1949051.0
7,2018-11-13,214330,금호에이치티,358923.0
8,2018-11-13,120240,대정화금,71737.0
9,2018-11-13,100090,삼강엠앤티,694492.0
10,2018-11-13,200230,텔콘RF제약,1830568.0
11,2018-11-13,145270,케이탑리츠,577871.0
12,2018-11-13,086820,바이오솔루션,207169.0
13,2018-11-14,226440,한송네오텍,5345125.0
14,2018-11-14,228340,동양파일,249647.0
15,2018-11-14,009460,한창제지,4826989.0
16,2018-11-14,154030,아시아종묘,474711.0
17,2018-11-14,008350,남선알미늄,8750566.0
18,2018-11-15,046890,서울반도체,452253.0
19,2018-11-15,010620,현대미포조선,114083.0
20,2018-11-15,005940,NH투자증권,722097.0
21,2018-11-16,020180,대신정보통신,2074665.0
22,2018-11-16,026890,디피씨,14684334.0
23,2018-11-19,008350,남선알미늄,9395522.0
24,2018-11-19,012690,모나리자,1411439.0
25,2018-11-19,000890,보해양조,7482417.0
26,2018-11-19,009310,참엔지니어링,128975.0
27,2018-11-20,024110,기업은행,502274.0
28,2018-11-21,091700,파트론,372530.0
29,2018-11-21,008350,남선알미늄,11785053.0
30,2018-11-21,089590,제주항공,217340.0
31,2018-11-21,217600,켐온,356812.0
32,2018-11-21,026890,디피씨,9652843.0
33,2018-11-22,005110,한창,1435623.0
34,2018-11-22,234920,자이글,30586.0
35,2018-11-23,272450,진에어,135121.0
36,2018-11-23,104480,티케이케미칼,3085983.0
37,2018-11-23,037330,인지디스플레,175552.0
38,2018-11-23,009460,한창제지,3149249.0
39,2018-11-23,002990,금호산업,57003.0
40,2018-11-23,048870,시너지이노베이션,251847.0
41,2018-11-23,047820,초록뱀,9707093.0
42,2018-11-23,008350,남선알미늄,10482008.0
43,2018-11-26,214330,금호에이치티,141828.0
44,2018-11-26,005110,한창,984794.0
45,2018-11-26,058850,KTcs,100715.0
46,2018-11-26,054090,삼진엘앤디,63751.0
