,날짜,종목코드,회사명,거래량
0,2018-05-08,000040,KR모터스,646346.0
5572,2018-05-08,163560,동일고무벨트,7930.0
1977,2018-05-08,024850,피에스엠씨,350322.0
1968,2018-05-08,024810,이화전기,26016000.0
1936,2018-05-08,024110,기업은행,905935.0
1823,2018-05-08,020560,아시아나항공,1914883.0
1676,2018-05-08,016920,카스,51372.0
2529,2018-05-08,036170,라이브파이낸셜,1143655.0
1624,2018-05-08,015760,한국전력,1181573.0
1333,2018-05-08,011370,서한,1018773.0
1299,2018-05-08,011280,태림포장,182865.0
1237,2018-05-08,011080,형지I&C,538838.0
6078,2018-05-08,222080,씨아이에스,1079964.0
6111,2018-05-08,222810,마이더스AI,402962.0
750,2018-05-08,005380,현대차,595219.0
1556,2018-05-08,014160,대영포장,235761.0
5404,2018-05-08,136480,하림,1279730.0
5312,2018-05-08,131220,대한과학,209215.0
5255,2018-05-08,121800,비덴트,491288.0
4388,2018-05-08,084680,이월드,997186.0
4226,2018-05-08,075970,동국알앤에스,237936.0
4183,2018-05-08,072520,제넨바이오,1085316.0
3940,2018-05-08,065950,웰크론,1829375.0
4753,2018-05-08,095910,에스에너지,284522.0
4871,2018-05-08,097780,에스맥,15440661.0
3572,2018-05-08,056080,유진로봇,699904.0
4971,2018-05-08,102280,쌍방울,1413308.0
4986,2018-05-08,104040,대성파인텍,1590360.0
5031,2018-05-08,105740,디케이락,167865.0
5061,2018-05-08,105840,우진,260709.0
3203,2018-05-08,047820,초록뱀,2685366.0
3183,2018-05-08,047770,코데즈컴바인,475636.0
5150,2018-05-08,115500,케이씨에스,162216.0
3025,2018-05-08,043260,성호전자,895095.0
352,2018-05-08,002900,동양물산,4173888.0
158,2018-05-08,001470,삼부토건,836595.0
4508,2018-05-08,088790,진도,18037.0
96,2018-05-09,000910,유니온,254473.0
2660,2018-05-09,037400,우리조명,271676.0
1846,2018-05-09,021040,대호피앤씨,1847875.0
5272,2018-05-09,122450,KMH,32536.0
2340,2018-05-09,033250,체시스,1052192.0
869,2018-05-09,006800,미래에셋대우,2896596.0
4899,2018-05-09,099220,SDN,30937115.0
4951,2018-05-09,100130,동국S&C,702879.0
3766,2018-05-09,060370,KT서브마린,520362.0
3245,2018-05-09,050090,휘닉스소재,1534968.0
7,2018-05-09,000180,성창기업지주,914079.0
919,2018-05-09,007120,미래아이앤지,1703755.0
1604,2018-05-10,015590,큐로,464044.0
5777,2018-05-10,206650,유바이오로직스,249971.0
4872,2018-05-10,097780,에스맥,9892183.0
6112,2018-05-10,222810,마이더스AI,358221.0
4005,2018-05-10,066590,우수AMS,4129671.0
3283,2018-05-10,050890,쏠리드,382199.0
514,2018-05-10,004410,서울식품,4628212.0
1582,2018-05-10,014710,사조씨푸드,73565.0
2201,2018-05-11,031820,콤텍시스템,4519653.0
1192,2018-05-11,010170,대한광통신,1172799.0
1126,2018-05-11,009440,KC그린홀딩스,31113.0
5213,2018-05-11,119650,KC코트렐,115856.0
3284,2018-05-14,050890,쏠리드,1817645.0
6113,2018-05-14,222810,마이더스AI,399281.0
6431,2018-05-14,900110,이스트아시아홀딩스,758365.0
6537,2018-05-14,950130,엑세스바이오,321217.0
3522,2018-05-14,054090,삼진엘앤디,387406.0
6384,2018-05-14,269620,시스웍,266045.0
4873,2018-05-14,097780,에스맥,12495816.0
2574,2018-05-14,036630,세종텔레콤,12688436.0
320,2018-05-14,002760,보락,1697759.0
