,날짜,종목코드,회사명,거래량
0,2020-11-09,004270,남성,11888111.0
1,2020-11-09,006050,국영지앤엠,19721265.0
2,2020-11-09,011000,진원생명과학,3019389.0
3,2020-11-09,019540,일지테크,1095995.0
4,2020-11-09,021040,대호피앤씨,1919746.0
5,2020-11-09,028050,삼성엔지니어링,2881728.0
6,2020-11-09,028670,팬오션,63678233.0
7,2020-11-09,042040,케이피엠테크,67671306.0
8,2020-11-09,053590,한국테크놀로지,3397999.0
9,2020-11-09,054040,한국컴퓨터,1492669.0
10,2020-11-09,096040,이트론,94751118.0
11,2020-11-09,141070,맥스로텍,2339487.0
12,2020-11-09,217500,러셀,1056048.0
13,2020-11-09,222810,마이더스AI,6412699.0
14,2020-11-09,289080,SV인베스트먼트,4884119.0
15,2020-11-09,306620,네온테크,4650524.0
