,P_score,predict,real,stock_name,stock_code,Date
0,38.06,M0,M0,SK하이닉스,660,2018-05-08
0,70.25,P0,M0,태림포장,11280,2018-05-09
0,54.89,P0,P1,파미셀,5690,2018-05-09
0,52.83,P0,P0,케이피엠테크,42040,2018-05-09
0,47.6,M0,P0,아시아나항공,20560,2018-05-09
0,34.76,M0,P0,상지카일룸,42940,2018-05-09
0,84.85,P1,M0,이화전기,24810,2018-05-10
0,53.39,P0,K0,미래에셋대우,6800,2018-05-10
0,49.5,P0,M0,동일고무벨트,163560,2018-05-10
0,48.58,P0,P0,신한지주,55550,2018-05-10
0,47.98,P0,P1,한일단조,24740,2018-05-10
0,59.39,P0,P0,체시스,33250,2018-05-11
0,45.44,M0,P0,에스맥,97780,2018-05-11
0,44.73,P0,P0,휘닉스소재,50090,2018-05-11
0,43.14,M0,P0,아가방컴퍼니,13990,2018-05-11
0,65.23,P0,P0,마이더스AI,222810,2018-05-15
0,43.05,M0,P0,골드퍼시픽,38530,2018-05-16
0,81.63,P0,P0,MP한강,219550,2018-05-17
0,73.63,P0,P0,케이씨에스,115500,2018-05-17
0,63.5,P0,P0,유니테스트,86390,2018-05-17
0,62.75,P0,P0,삼부토건,1470,2018-05-17
0,60.15,P0,P1,국영지앤엠,6050,2018-05-17
0,64.3,P0,P0,신일전자,2700,2018-05-18
0,63.55,P0,P0,케이피엠테크,42040,2018-05-18
0,61.24,P0,P0,대한광통신,10170,2018-05-18
0,55.37,P0,P0,엘컴텍,37950,2018-05-18
0,52.94,P0,P0,코디엠,224060,2018-05-18
0,44.03,P0,P0,웰크론한텍,76080,2018-05-21
0,30.02,M0,P0,대신정보통신,20180,2018-05-21
0,27.63,M0,M0,에스맥,97780,2018-05-21
0,0,M0,K0,SK증권,1510,2018-05-21
0,81.4,P0,P0,범양건영,2410,2018-05-23
0,40.55,M0,P0,대한광통신,10170,2018-05-23
0,39.13,M0,P0,보성파워텍,6910,2018-05-23
0,35.15,M0,P0,두산중공업,34020,2018-05-23
0,33.75,M0,P0,대한전선,1440,2018-05-23
0,76.02,P0,P0,파미셀,5690,2018-05-24
0,51.73,P0,P0,골드퍼시픽,38530,2018-05-24
0,37.94,M0,M0,티플랙스,81150,2018-05-24
0,25.26,M0,M0,성창기업지주,180,2018-05-24
0,12.26,M0,M0,미래에셋대우,6800,2018-05-24
0,52.45,P0,P0,피에스엠씨,24850,2018-05-25
0,46.94,P0,P0,제일테크노스,38010,2018-05-25
0,44.04,M0,P0,국영지앤엠,6050,2018-05-25
0,41.49,M0,P1,남선알미늄,8350,2018-05-25
0,31.22,M0,P0,쌍방울,102280,2018-05-25
0,85.27,P0,P0,MP한강,219550,2018-05-28
0,56.16,P0,P0,하림,136480,2018-05-28
0,51.79,P0,P0,에스와이,109610,2018-05-28
0,46.8,P0,P0,이엠코리아,95190,2018-05-28
0,46.32,M0,P0,옴니시스템,57540,2018-05-28
0,32.09,M0,P0,파미셀,5690,2018-05-30
0,25.59,M0,P0,SCI평가정보,36120,2018-05-30
0,55.17,P0,P0,KTcs,58850,2018-05-31
0,50.62,P0,P1,KEC,92220,2018-05-31
0,21.6,M0,P0,한국테크놀로지,53590,2018-06-01
0,0,M0,P0,빅텍,65450,2018-06-01
0,86.48,P0,M0,두산인프라코어,42670,2018-06-04
0,37.82,M0,M0,우리기술,32820,2018-06-04
0,23.8,M0,K0,국일제지,78130,2018-06-04
0,14.16,M0,P0,우수AMS,66590,2018-06-04
0,0,M0,P0,보락,2760,2018-06-04
0,100,P0,P0,알루코,1780,2018-06-05
0,73.85,P0,P0,국영지앤엠,6050,2018-06-05
0,62.81,P0,P0,SDN,99220,2018-06-05
0,52.08,P0,P0,보성파워텍,6910,2018-06-05
0,48.21,P0,P0,동양물산,2900,2018-06-05
0,83,P0,P0,헬릭스미스,84990,2018-06-07
0,55.33,P0,K0,초록뱀,47820,2018-06-07
0,47.19,P0,P0,파미셀,5690,2018-06-07
0,28.33,M0,P1,한창,5110,2018-06-07
0,0,M0,P0,삼성출판사,68290,2018-06-07
0,16.57,M0,P0,국일제지,78130,2018-06-08
0,62.89,P0,P0,유진기업,23410,2018-06-11
0,19.72,M0,P0,남선알미늄,8350,2018-06-11
0,19.44,M0,P0,대창솔루션,96350,2018-06-11
0,6.98,M0,P0,한솔홈데코,25750,2018-06-11
0,0,M0,P0,대한전선,1440,2018-06-11
0,57.96,P0,P0,금호에이치티,214330,2018-06-12
0,48.05,K0,P0,소리바다,53110,2018-06-12
0,32.08,M0,M0,세미콘라이트,214310,2018-06-12
0,24.16,M0,K0,헬릭스미스,84990,2018-06-12
0,0,M0,P0,오스코텍,39200,2018-06-12
0,60.76,P0,P0,아남전자,8700,2018-06-14
0,52.29,P0,K0,에스코넥,96630,2018-06-14
0,36.36,M0,P0,뉴인텍,12340,2018-06-14
0,28.86,K0,P0,에이티세미콘,89530,2018-06-14
0,56.91,P0,P0,옴니시스템,57540,2018-06-15
0,56.09,P0,P0,루미마이크로,82800,2018-06-15
0,55.94,P0,P0,유진로봇,56080,2018-06-15
0,54.01,P0,P0,동양물산,2900,2018-06-15
0,45.56,M0,P0,HMM,11200,2018-06-15
0,89.72,P0,P1,아난티,25980,2018-06-18
0,37.65,M0,P0,티플랙스,81150,2018-06-18
0,0,M0,M0,KEC,92220,2018-06-18
0,33.1,M0,P0,GV,45890,2018-06-19
0,16.5,M0,P0,에이스테크,88800,2018-06-19
0,84.15,P0,P0,후성,93370,2018-06-20
0,55.67,P0,P0,유진기업,23410,2018-06-20
0,53.23,P0,P0,KT서브마린,60370,2018-06-20
0,42.7,M0,P0,현대로템,64350,2018-06-20
0,32.58,M0,P0,우리기술,32820,2018-06-20
0,44.75,M0,P0,아남전자,8700,2018-06-22
0,31.99,M0,P0,제일테크노스,38010,2018-06-22
0,30.63,K0,M0,현대로템,64350,2018-06-22
0,55.56,P0,P1,루미마이크로,82800,2018-06-25
0,36.21,M0,P1,스페코,13810,2018-06-25
0,31.87,M0,P0,이엠코리아,95190,2018-06-25
0,14.57,M0,P0,성창기업지주,180,2018-06-25
