,날짜,종목코드,회사명,거래량
5993,2018-10-23,018290,브이티지엠피,451814.0
17502,2018-10-23,097520,엠씨넥스,140837.0
19447,2018-10-23,127160,매직마이크로,458947.0
13161,2018-10-23,061040,알에프텍,82044.0
2959,2018-10-23,006400,삼성SDI,514080.0
17346,2018-10-23,096350,대창솔루션,583690.0
15307,2018-10-23,080420,모다이노칩,255893.0
7467,2018-10-23,029960,코엔텍,1248489.0
7318,2018-10-23,028050,삼성엔지니어링,1109085.0
9303,2018-10-23,037560,LG헬로비전,523772.0
3917,2018-10-23,009520,포스코엠텍,2574949.0
23656,2018-10-23,243840,신흥에스이씨,60375.0
6997,2018-10-23,025820,이구산업,388658.0
11162,2018-10-23,048410,현대바이오,2367275.0
14257,2018-10-23,068940,아이씨케이,1297935.0
10937,2018-10-23,046890,서울반도체,780184.0
3797,2018-10-23,009310,참엔지니어링,117316.0
21639,2018-10-23,200470,에이팩트,184913.0
23334,2018-10-23,234920,자이글,50688.0
18444,2018-10-23,109740,디에스케이,95815.0
366,2018-10-23,000910,유니온,1054069.0
9656,2018-10-23,039200,오스코텍,358829.0
18331,2018-10-23,105840,우진,252780.0
13044,2018-10-23,060480,국일신동,1393906.0
18296,2018-10-23,105630,한세실업,121682.0
5417,2018-10-23,014990,인디에프,1645051.0
1842,2018-10-23,003670,포스코케미칼,1235451.0
3320,2018-10-23,007660,이수페타시스,1064426.0
4043,2018-10-23,010050,우리종금,4144263.0
18129,2018-10-23,103230,에스앤더블류,61896.0
23241,2018-10-24,230980,솔트웍스,423607.0
19285,2018-10-24,124500,아이티센,122144.0
5931,2018-10-24,017960,한국카본,309449.0
22557,2018-10-24,217730,강스템바이오텍,337587.0
11202,2018-10-24,048530,인트론바이오,194128.0
20068,2018-10-24,140410,메지온,51993.0
6678,2018-10-24,024060,흥구석유,11312748.0
23215,2018-10-24,230360,에코마케팅,227378.0
21356,2018-10-24,192080,더블유게임즈,131816.0
20534,2018-10-24,154030,아시아종묘,2593626.0
22658,2018-10-24,219550,MP한강,1296656.0
24354,2018-10-24,271980,제일약품,82723.0
22602,2018-10-24,218150,미래생명자원,2688153.0
23841,2018-10-25,253840,수젠텍,70.0
7841,2018-10-25,032640,LG유플러스,2047100.0
15502,2018-10-25,082660,코스나인,933787.0
11101,2018-10-26,047820,초록뱀,2836035.0
5418,2018-10-26,014990,인디에프,1297639.0
15017,2018-10-26,078590,OQP,756355.0
8528,2018-10-26,035250,강원랜드,398212.0
19990,2018-10-26,139050,데일리블록체인,5055272.0
4030,2018-10-26,010040,한국내화,2776237.0
20535,2018-10-26,154030,아시아종묘,1191703.0
19249,2018-10-26,123750,알톤스포츠,56286.0
16625,2018-10-26,091340,S&K폴리텍,198476.0
13045,2018-10-26,060480,국일신동,609949.0
22558,2018-10-26,217730,강스템바이오텍,428547.0
22659,2018-10-26,219550,MP한강,1647541.0
8915,2018-10-26,036570,엔씨소프트,149605.0
7468,2018-10-26,029960,코엔텍,1807259.0
16042,2018-10-26,086520,에코프로,1126029.0
21357,2018-10-26,192080,더블유게임즈,93091.0
83,2018-10-26,000120,CJ대한통운,54468.0
3321,2018-10-26,007660,이수페타시스,1286817.0
11030,2018-10-26,047310,파워로직스,600663.0
7126,2018-10-29,026890,디피씨,9881589.0
1106,2018-10-29,002320,한진,166578.0
2637,2018-10-29,005830,DB손해보험,135981.0
20069,2018-10-29,140410,메지온,68189.0
4766,2018-10-29,012450,한화에어로스페이스,471982.0
11625,2018-10-29,051630,진양화학,965938.0
350,2018-10-29,000890,보해양조,19531876.0
23735,2018-10-29,250060,모비스,1910996.0
691,2018-10-30,001450,현대해상,367650.0
7501,2018-10-30,030190,NICE평가정보,468400.0
24431,2018-10-30,277880,티에스아이,100.0
4767,2018-11-01,012450,한화에어로스페이스,620250.0
692,2018-11-02,001450,현대해상,297188.0
7502,2018-11-02,030190,NICE평가정보,316123.0
19286,2018-11-05,124500,아이티센,260731.0
8098,2018-11-07,033240,자화전자,411167.0
23138,2018-11-07,228340,동양파일,933680.0
23081,2018-11-07,226440,한송네오텍,14190376.0
4031,2018-11-07,010040,한국내화,3080575.0
21548,2018-11-07,196490,디에이테크놀로지,511891.0
18924,2018-11-07,120240,대정화금,109458.0
20142,2018-11-08,141080,레고켐바이오,422801.0
22342,2018-11-08,214870,뉴지랩,115609.0
58,2018-11-09,000100,유한양행,375249.0
13162,2018-11-09,061040,알에프텍,97508.0
15018,2018-11-09,078590,OQP,919972.0
21619,2018-11-09,200230,텔콘RF제약,2057295.0
20200,2018-11-09,142280,녹십자엠에스,258812.0
7675,2018-11-09,031390,녹십자셀,283153.0
19045,2018-11-09,122450,KMH,177040.0
3893,2018-11-09,009460,한창제지,4276274.0
9657,2018-11-09,039200,오스코텍,800014.0
8413,2018-11-09,034230,파라다이스,1119921.0
22267,2018-11-12,214430,아이쓰리시스템,84016.0
18925,2018-11-12,120240,대정화금,115418.0
22231,2018-11-12,214330,금호에이치티,468116.0
19250,2018-11-12,123750,알톤스포츠,31719.0
22559,2018-11-12,217730,강스템바이오텍,457681.0
19679,2018-11-12,131400,액트,90404.0
17756,2018-11-12,100090,삼강엠앤티,649960.0
20536,2018-11-12,154030,아시아종묘,347271.0
9250,2018-11-12,037370,EG,224552.0
16072,2018-11-12,086820,바이오솔루션,127773.0
21272,2018-11-12,189300,인텔리안테크,22632.0
20070,2018-11-12,140410,메지온,86912.0
20342,2018-11-12,145270,케이탑리츠,273960.0
1107,2018-11-13,002320,한진,243306.0
3894,2018-11-13,009460,한창제지,7837245.0
3512,2018-11-13,008350,남선알미늄,10165287.0
17950,2018-11-13,101400,엔시트론,484465.0
22878,2018-11-13,222980,한국맥널티,46630.0
19327,2018-11-14,126560,현대에이치씨엔,110871.0
14303,2018-11-14,069140,누리플랜,146737.0
21297,2018-11-14,189860,서전기전,624839.0
10938,2018-11-14,046890,서울반도체,383667.0
6335,2018-11-14,020180,대신정보통신,1144495.0
13046,2018-11-14,060480,국일신동,292700.0
17627,2018-11-14,099190,아이센스,79170.0
5355,2018-11-14,014910,성문전자,727781.0
351,2018-11-14,000890,보해양조,13129093.0
18926,2018-11-14,120240,대정화금,47723.0
9304,2018-11-14,037560,LG헬로비전,342621.0
14098,2018-11-14,068240,다원시스,632207.0
18445,2018-11-14,109740,디에스케이,39484.0
15897,2018-11-15,085670,뉴프렉스,1137667.0
23139,2018-11-15,228340,동양파일,277963.0
23405,2018-11-15,238090,앤디포스,633363.0
19680,2018-11-15,131400,액트,32840.0
7127,2018-11-15,026890,디피씨,10530152.0
3513,2018-11-16,008350,남선알미늄,22515277.0
4866,2018-11-16,012690,모나리자,1704337.0
22625,2018-11-16,218410,RFHIC,246174.0
14958,2018-11-16,078150,HB테크놀러지,1574847.0
14304,2018-11-16,069140,누리플랜,105194.0
1843,2018-11-16,003670,포스코케미칼,655220.0
3452,2018-11-16,008060,대덕,227495.0
21549,2018-11-16,196490,디에이테크놀로지,551762.0
1417,2018-11-19,002880,대유에이텍,11362377.0
10567,2018-11-19,044340,위닉스,467096.0
323,2018-11-19,000810,삼성화재,102074.0
1338,2018-11-19,002780,진흥기업,399064.0
6679,2018-11-19,024060,흥구석유,482127.0
7527,2018-11-19,030200,KT,404830.0
11031,2018-11-20,047310,파워로직스,1027289.0
4830,2018-11-20,012610,경인양행,147674.0
9251,2018-11-20,037370,EG,125363.0
3453,2018-11-20,008060,대덕,190890.0
4867,2018-11-20,012690,모나리자,1246050.0
15802,2018-11-20,084680,이월드,737492.0
7128,2018-11-20,026890,디피씨,6109540.0
11102,2018-11-20,047820,초록뱀,5561015.0
3514,2018-11-20,008350,남선알미늄,6684996.0
12446,2018-11-20,056190,에스에프에이,123533.0
10697,2018-11-20,045060,오공,225072.0
3322,2018-11-20,007660,이수페타시스,1822092.0
21020,2018-11-20,179900,유티아이,178466.0
23242,2018-11-20,230980,솔트웍스,126619.0
18190,2018-11-20,104480,티케이케미칼,2161066.0
16678,2018-11-20,091700,파트론,411362.0
5356,2018-11-20,014910,성문전자,516378.0
24219,2018-11-20,265520,AP시스템,712249.0
17503,2018-11-20,097520,엠씨넥스,602667.0
24145,2018-11-20,263810,상신전자,89986.0
23335,2018-11-20,234920,자이글,31411.0
15898,2018-11-20,085670,뉴프렉스,598686.0
10565,2018-11-21,044180,KD,29306381.0
23736,2018-11-21,250060,모비스,685948.0
10568,2018-11-21,044340,위닉스,148959.0
23163,2018-11-21,229000,젠큐릭스,174.0
2414,2018-11-21,005110,한창,1720575.0
23809,2018-11-21,253450,스튜디오드래곤,88174.0
11626,2018-11-21,051630,진양화학,128132.0
11203,2018-11-21,048530,인트론바이오,2178980.0
13047,2018-11-21,060480,국일신동,137136.0
21273,2018-11-21,189300,인텔리안테크,10376.0
23406,2018-11-22,238090,앤디포스,980068.0
12447,2018-11-22,056190,에스에프에이,101863.0
1749,2018-11-22,003540,대신증권,187152.0
18542,2018-11-22,112610,씨에스윈드,41416.0
3515,2018-11-22,008350,남선알미늄,4122752.0
3580,2018-11-22,008560,메리츠증권,1372350.0
9214,2018-11-22,037330,인지디스플레,105147.0
20537,2018-11-22,154030,아시아종묘,363081.0
18510,2018-11-22,111870,삼본전자,3856466.0
11263,2018-11-22,048870,시너지이노베이션,380516.0
7601,2018-11-22,030610,교보증권,101923.0
15019,2018-11-22,078590,OQP,1848363.0
59,2018-11-22,000100,유한양행,107929.0
6524,2018-11-22,023440,제일제강,339227.0
16852,2018-11-22,092780,동양피스톤,52773.0
1458,2018-11-22,002990,금호산업,83012.0
3895,2018-11-22,009460,한창제지,3796816.0
24355,2018-11-22,271980,제일약품,89173.0
