,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,90.38,P0,P0,화성산업,002460,2020-10-23,U03
0,80.6,P0,P0,녹십자랩셀,144510,2020-10-23,U03
0,75.21,P0,M0,덕산하이메탈,077360,2020-10-23,U03
0,75.19,P0,M0,캠시스,050110,2020-10-23,U03
0,74.27,P0,K0,대호에이엘,069460,2020-10-23,U03
0,90.46,P0,P0,제이브이엠,054950,2020-10-22,D04
0,88.24,P0,P0,케이사인,192250,2020-10-22,D04
0,80.74,P0,M0,이수화학,005950,2020-10-22,D04
0,80.4,P0,M0,녹십자홀딩스,005250,2020-10-22,D04
0,79.49,P0,M0,와이엠씨,155650,2020-10-22,D04
0,100.0,P0,P0,세우글로벌,013000,2020-10-21,U04
0,100.0,P0,P0,오텍,067170,2020-10-21,U04
0,82.71,P0,P0,웹스,196700,2020-10-21,U04
0,82.63,P0,P0,KB금융,105560,2020-10-21,U04
0,81.95,P0,P0,코스맥스비티아이,044820,2020-10-21,U04
0,100.0,P0,P0,영우디에스피,143540,2020-10-20,D04
0,100.0,P0,P0,유진테크,084370,2020-10-20,D04
0,95.3,P0,K0,한솔홀딩스,004150,2020-10-20,D04
0,94.1,P0,P0,씨에스윈드,112610,2020-10-20,D04
0,92.78,P0,P0,액트로,290740,2020-10-20,D04
0,100.0,P0,M0,뉴보텍,060260,2020-10-19,D04
0,90.62,P0,P0,현대바이오,048410,2020-10-19,D04
0,87.82,P0,M0,웹젠,069080,2020-10-19,D04
0,84.86,P0,P0,보락,002760,2020-10-19,D04
0,84.23,P0,M0,금호전기,001210,2020-10-19,D04
0,89.22,P0,M0,한솔테크닉스,004710,2020-10-16,D04
0,86.31,P0,M0,화승알앤에이,013520,2020-10-16,D04
0,83.81,P0,M0,SK렌터카,068400,2020-10-16,D04
0,82.31,P0,M0,EDGC,245620,2020-10-16,D04
0,81.34,P0,K0,제이씨케미칼,137950,2020-10-16,D04
0,90.3,P0,M0,EDGC,245620,2020-10-15,D04
0,84.14,P0,M0,STX중공업,071970,2020-10-15,D04
0,82.06,P0,M0,알루코,001780,2020-10-15,D04
0,80.56,P0,M0,에스엠코어,007820,2020-10-15,D04
0,78.51,P0,M0,에이티넘인베스트,021080,2020-10-15,D04
0,100.0,P0,M0,DB손해보험,005830,2020-10-14,T01
0,100.0,P0,M0,에스퓨얼셀,288620,2020-10-14,T01
0,85.17,P0,M0,하나금융지주,086790,2020-10-14,T01
0,83.82,P0,P0,대원미디어,048910,2020-10-14,T01
0,82.1,P0,M0,신성통상,005390,2020-10-14,T01
0,100.0,P0,M0,이엑스티,226360,2020-10-13,U04
0,100.0,P0,M0,멕아이씨에스,058110,2020-10-13,U04
0,100.0,P0,M0,에스코넥,096630,2020-10-13,U04
0,85.29,P0,M0,알에프텍,061040,2020-10-13,U04
0,84.73,P0,P0,옴니시스템,057540,2020-10-13,U04
0,100.0,P0,P0,사람인에이치알,143240,2020-10-12,U04
0,88.87,P0,M0,멕아이씨에스,058110,2020-10-12,U04
0,86.04,P0,P0,알루코,001780,2020-10-12,U04
0,85.76,P0,P0,투비소프트,079970,2020-10-12,U04
0,85.33,P0,P0,동아화성,041930,2020-10-12,U04
0,100.0,P0,P0,투비소프트,079970,2020-10-08,U04
0,83.73,P0,M0,비츠로셀,082920,2020-10-08,U04
0,78.3,P0,M0,동아화성,041930,2020-10-08,U04
0,76.06,P0,M0,STX중공업,071970,2020-10-08,U04
0,74.01,P0,P0,제로투세븐,159580,2020-10-08,U04
0,100.0,P0,K0,화신,010690,2020-10-07,D04
0,86.79,P0,M0,크루셜텍,114120,2020-10-07,D04
0,85.3,P0,P0,제넥신,095700,2020-10-07,D04
0,84.92,P0,P0,메지온,140410,2020-10-07,D04
