,P_score,predict,real,stock_name,stock_code,Date
0,49.54,M0,P0,대아티아이,045390,2019-01-03
0,38.77,M0,P0,강원랜드,035250,2019-01-03
0,28.86,M0,P0,고려아연,010130,2019-01-03
0,35.06,M0,P0,엔씨소프트,036570,2019-01-04
0,32.87,M0,P0,대한항공,003490,2019-01-04
0,20.6,M0,P0,메디톡스,086900,2019-01-04
0,0.0,M0,P0,웹젠,069080,2019-01-04
0,0.0,M0,P0,한미약품,128940,2019-01-04
0,46.99,P0,P0,한온시스템,018880,2019-01-09
0,38.1,M0,P1,동아화성,041930,2019-01-10
0,85.37,P0,P0,현대로템,064350,2019-01-11
0,36.16,M0,K0,와이지엔터테인먼트,122870,2019-01-14
0,32.6,K0,P0,남선알미늄,008350,2019-01-14
0,27.88,K0,K0,한미약품,128940,2019-01-14
0,73.96,P0,P0,에스엠,041510,2019-01-15
0,50.9,P0,P0,LG유플러스,032640,2019-01-15
0,31.62,M0,M0,고려아연,010130,2019-01-15
0,54.0,P0,P0,엔씨소프트,036570,2019-01-17
0,44.81,P0,P0,삼성바이오로직스,207940,2019-01-18
0,42.56,M0,P0,한미약품,128940,2019-01-18
0,37.81,M0,P0,강원랜드,035250,2019-01-18
0,39.97,M0,P0,금호석유,011780,2019-01-21
0,34.13,M0,P0,고려아연,010130,2019-01-21
0,69.79,P0,P0,현대엘리베이,017800,2019-01-23
0,40.15,M0,P0,제이콘텐트리,036420,2019-01-23
0,39.38,M0,P0,현대건설,000720,2019-01-23
0,32.86,M0,P0,LG디스플레이,034220,2019-01-23
0,15.06,M0,P0,더블유에프엠,035290,2019-01-23
0,31.19,M0,M0,한진칼,180640,2019-01-24
0,54.01,P0,P0,현대로템,064350,2019-01-25
0,45.78,P0,P0,삼성SDI,006400,2019-01-25
0,30.53,M0,P0,웹젠,069080,2019-01-25
0,8.53,M0,P0,위메이드,112040,2019-01-25
0,0.0,K0,P0,한온시스템,018880,2019-01-28
0,40.59,M0,P0,현대글로비스,086280,2019-01-29
0,22.94,K0,P0,남선알미늄,008350,2019-01-29
0,93.24,P0,P1,성신양회,004980,2019-01-30
0,42.36,M0,P0,이화공영,001840,2019-01-30
0,35.21,M0,P0,현대건설,000720,2019-01-30
0,14.14,M0,K0,현대엘리베이,017800,2019-01-30
0,78.61,P0,M0,일신석재,007110,2019-01-31
0,48.6,M0,P0,CJ,001040,2019-01-31
0,38.79,M0,P0,삼성바이오로직스,207940,2019-01-31
0,22.75,M0,M0,SK증권,001510,2019-01-31
0,26.12,M0,P0,SK,034730,2019-02-07
0,0.0,K0,M0,삼성생명,032830,2019-02-07
0,54.31,P0,K0,삼성물산,028260,2019-02-11
0,46.04,P0,M0,대한항공,003490,2019-02-11
0,39.64,M0,P0,삼성중공업,010140,2019-02-11
0,37.37,M0,P0,삼성전자,005930,2019-02-11
0,37.37,M0,P1,연우,115960,2019-02-11
0,41.31,M0,P0,현대제철,004020,2019-02-12
0,36.06,M0,K0,LG,003550,2019-02-12
0,25.95,M0,M0,한화솔루션,009830,2019-02-12
0,50.71,P0,K0,GS건설,006360,2019-02-13
0,41.79,P0,P0,신한지주,055550,2019-02-13
0,66.67,P0,P0,미래에셋대우,006800,2019-02-14
0,37.9,P0,M0,대림산업,000210,2019-02-14
0,36.75,M0,P0,SK네트웍스,001740,2019-02-14
0,36.4,M0,P0,디피씨,026890,2019-02-14
0,36.1,M0,P0,LG생활건강,051900,2019-02-14
0,74.65,P0,P0,우수AMS,066590,2019-02-15
0,60.7,P0,M0,일진다이아,081000,2019-02-15
0,57.05,P0,P0,신라젠,215600,2019-02-15
0,100.0,P1,P0,토박스코리아,215480,2019-02-18
0,39.09,P0,M0,미래에셋대우,006800,2019-02-18
0,33.07,M0,K0,하나금융지주,086790,2019-02-18
0,25.28,M0,P0,한화솔루션,009830,2019-02-18
0,17.58,M0,P0,이수페타시스,007660,2019-02-18
0,60.93,P0,P0,일진다이아,081000,2019-02-19
0,49.44,P0,P0,유니크,011320,2019-02-19
0,43.99,P0,P0,세중,039310,2019-02-19
0,62.68,P0,P0,한온시스템,018880,2019-02-20
0,48.51,P0,P0,만도,204320,2019-02-20
0,45.95,P0,P0,하나금융지주,086790,2019-02-20
0,36.7,M0,P0,SK하이닉스,000660,2019-02-20
0,34.64,M0,P1,블루콤,033560,2019-02-20
0,57.83,P0,P0,진성티이씨,036890,2019-02-21
0,52.88,P0,P0,키이스트,054780,2019-02-21
0,51.51,P0,M0,대웅제약,069620,2019-02-21
0,51.29,P0,P0,GS건설,006360,2019-02-21
0,24.61,M0,M0,대아티아이,045390,2019-02-21
0,44.34,P0,K0,SK,034730,2019-02-22
0,41.24,M0,P0,비에이치,090460,2019-02-22
0,68.03,P0,K0,삼성물산,028260,2019-02-25
0,41.82,P0,M0,LG,003550,2019-02-25
0,32.03,M0,M0,쌍용양회,003410,2019-02-25
0,30.01,M0,K0,삼화콘덴서,001820,2019-02-25
0,25.19,M0,P0,코센,009730,2019-02-25
0,43.01,P0,P0,현대로템,064350,2019-02-26
0,39.11,M0,P0,현대건설,000720,2019-02-26
0,38.64,M0,K0,HMM,011200,2019-02-26
0,24.24,M0,K0,삼성생명,032830,2019-02-26
0,0.0,M0,P0,현대엘리베이,017800,2019-02-26
0,98.7,P0,P0,아세아텍,050860,2019-02-27
0,36.55,M0,P0,SK이노베이션,096770,2019-02-27
0,35.02,M0,P0,LG,003550,2019-02-27
0,29.26,M0,P0,지엔코,065060,2019-02-27
0,25.5,M0,P0,헬릭스미스,084990,2019-02-27
0,34.58,M0,M0,포스코케미칼,003670,2019-02-28
0,9.15,M0,K0,한온시스템,018880,2019-02-28
0,49.21,M0,P0,호텔신라,008770,2019-03-04
0,46.74,P0,M0,삼성SDI,006400,2019-03-04
0,36.2,M0,P0,LG전자,066570,2019-03-04
0,36.17,M0,P0,키이스트,054780,2019-03-04
0,31.12,M0,P0,라온시큐어,042510,2019-03-04
0,43.55,P0,P0,삼성중공업,010140,2019-03-05
0,35.02,M0,M0,제일기획,030000,2019-03-05
0,34.95,M0,P0,SK,034730,2019-03-05
0,13.48,M0,M0,기아차,000270,2019-03-05
0,41.72,M0,P0,한화솔루션,009830,2019-03-06
0,40.94,M0,P0,삼성SDI,006400,2019-03-06
0,38.74,M0,K0,원익IPS,240810,2019-03-06
0,29.97,M0,P1,성호전자,043260,2019-03-06
0,26.5,M0,K0,LG생활건강,051900,2019-03-06
0,63.48,P0,M0,신세계,004170,2019-03-07
0,41.5,M0,P0,아모레퍼시픽,090430,2019-03-07
0,13.33,M0,P0,호텔신라,008770,2019-03-07
0,0.0,K0,P0,삼성전자,005930,2019-03-07
0,0.0,M0,P0,피에스케이홀딩스,031980,2019-03-07
0,91.73,P0,P0,제넥신,095700,2019-03-08
0,46.14,M0,P0,삼천당제약,000250,2019-03-08
0,43.62,M0,P0,한화솔루션,009830,2019-03-08
0,33.36,M0,K0,CJ ENM,035760,2019-03-08
0,30.45,M0,M0,카카오,035720,2019-03-08
0,64.74,P0,P0,한올바이오파마,009420,2019-03-11
0,54.69,P0,P0,삼성에스디에스,018260,2019-03-11
0,49.83,P0,M0,신한지주,055550,2019-03-11
0,39.94,M0,M0,디피씨,026890,2019-03-11
0,39.88,K0,P0,코웨이,021240,2019-03-11
0,75.0,P0,P0,부방,014470,2019-03-12
0,68.35,P0,K0,에스피지,058610,2019-03-13
0,41.29,M0,P0,NAVER,035420,2019-03-13
0,37.19,M0,P1,국일신동,060480,2019-03-14
0,32.06,M0,P0,카카오,035720,2019-03-14
0,26.93,M0,P0,SK,034730,2019-03-14
0,20.02,M0,P0,SK이노베이션,096770,2019-03-14
0,12.04,M0,M0,CJ대한통운,000120,2019-03-14
0,54.71,P0,M0,차바이오텍,085660,2019-03-15
0,46.37,M0,P0,한미약품,128940,2019-03-15
0,31.44,M0,P0,미코,059090,2019-03-18
0,23.97,M0,P0,라온시큐어,042510,2019-03-18
0,100.0,P0,P0,웰크론,065950,2019-03-19
0,60.21,P0,P0,메지온,140410,2019-03-19
0,52.65,P0,M0,에이치엘비,028300,2019-03-20
0,36.67,P0,P0,신풍제약,019170,2019-03-20
0,33.03,M0,P0,금호석유,011780,2019-03-20
0,0.0,K0,K0,LG디스플레이,034220,2019-03-20
0,0.0,M0,P0,제이엔케이히터,126880,2019-03-20
