,P_score,predict,real,stock_name,stock_code,Date
0,51.17,P0,P0,대아티아이,45390,2019-01-03
0,18.36,M0,P0,현대차,5380,2019-01-03
0,0,M0,P0,티케이케미칼,104480,2019-01-07
0,46.93,P0,P0,HB테크놀러지,78150,2019-01-09
0,32.32,M0,P0,티케이케미칼,104480,2019-01-09
0,24.33,M0,M0,한창제지,9460,2019-01-10
0,17.34,M0,P0,국일제지,78130,2019-01-10
0,56.95,P0,P0,현대로템,64350,2019-01-11
0,42.65,M0,P0,남선알미늄,8350,2019-01-14
0,46.62,P0,P0,LG유플러스,32640,2019-01-15
0,9.41,M0,P0,세운메디칼,100700,2019-01-15
0,36.58,M0,M0,보해양조,890,2019-01-18
0,26.82,M0,P0,디피씨,26890,2019-01-21
0,0,M0,P0,아난티,25980,2019-01-21
0,47.92,P0,P0,우원개발,46940,2019-01-22
0,52.43,P0,P0,현대엘리베이,17800,2019-01-23
0,31.05,M0,M0,한국전력,15760,2019-01-23
0,18.44,M0,P1,웰크론한텍,76080,2019-01-23
0,33.63,M0,M0,한진칼,180640,2019-01-24
0,32.48,M0,M0,대아티아이,45390,2019-01-24
0,18.29,M0,K0,동양철관,8970,2019-01-24
0,72.92,P0,P0,현대로템,64350,2019-01-25
0,45.8,M0,P0,신원,9270,2019-01-25
0,45.15,P0,P0,남선알미늄,8350,2019-01-29
0,60.73,P0,P0,아난티,25980,2019-01-30
0,55.17,P0,P0,신원,9270,2019-01-30
0,51.53,M0,P0,토박스코리아,215480,2019-01-30
0,24.77,M0,P0,현대건설,720,2019-01-30
0,3.53,M0,P0,우원개발,46940,2019-01-30
0,84.06,P0,P0,에이스테크,88800,2019-01-31
0,46.43,P0,M0,대우부품,9320,2019-01-31
0,48.75,P0,P0,국일제지,78130,2019-02-01
0,43.56,P0,P0,우원개발,46940,2019-02-01
0,37.58,M0,P0,아난티,25980,2019-02-01
0,23.38,M0,M0,이엠코리아,95190,2019-02-01
0,21.46,M0,P0,KCTC,9070,2019-02-01
0,49.66,P0,P0,디피씨,26890,2019-02-07
0,25.93,M0,P0,미코,59090,2019-02-07
0,0,M0,P0,큐캐피탈,16600,2019-02-07
0,60.26,M0,M0,세원,234100,2019-02-08
0,26.32,M0,M0,엔케이,85310,2019-02-08
0,35.96,M0,P0,SK하이닉스,660,2019-02-11
0,33.16,M0,P0,삼성중공업,10140,2019-02-11
0,42.16,M0,M0,한화솔루션,9830,2019-02-12
0,94.65,P0,M0,신원,9270,2019-02-13
0,79.06,P0,P0,흥구석유,24060,2019-02-13
0,49.22,P0,K0,미코,59090,2019-02-13
0,47.83,M0,P1,라이브파이낸셜,36170,2019-02-13
0,22.31,K0,P0,기아차,270,2019-02-14
0,18.08,M0,P0,미래에셋대우,6800,2019-02-14
0,39.85,M0,P0,우수AMS,66590,2019-02-15
0,5.22,M0,P1,일신석재,7110,2019-02-15
0,78.64,P0,P0,토박스코리아,215480,2019-02-18
0,42.89,M0,M0,대아티아이,45390,2019-02-18
0,40.04,M0,M0,신원,9270,2019-02-18
0,30.84,M0,P0,디피씨,26890,2019-02-18
0,15.58,M0,P0,HB테크놀러지,78150,2019-02-18
0,50.29,P0,P0,뉴로스,126870,2019-02-19
0,30.12,M0,M0,세원,234100,2019-02-19
0,51.49,P0,P0,한국전력,15760,2019-02-20
0,49.65,P0,M0,티케이케미칼,104480,2019-02-21
0,47.08,M0,M0,대아티아이,45390,2019-02-21
0,14.37,M0,P0,풍강,93380,2019-02-21
0,63.44,P0,P0,일신석재,7110,2019-02-22
0,0,M0,M1,넥슨지티,41140,2019-02-22
0,45.31,P0,P0,SBI인베스트먼트,19550,2019-02-25
0,24.73,M0,P0,이엠코리아,95190,2019-02-25
0,51.53,P0,P0,신원,9270,2019-02-26
0,49.19,M0,P0,오르비텍,46120,2019-02-26
0,45.46,M0,K0,HMM,11200,2019-02-26
0,38.34,M0,P0,현대건설,720,2019-02-26
