,날짜,종목코드,회사명,거래량
0,2020-11-13,002760,보락,28563323.0
1,2020-11-13,005250,녹십자홀딩스,1002866.0
2,2020-11-13,006050,국영지앤엠,2234993.0
3,2020-11-13,006740,영풍제지,6399606.0
4,2020-11-13,008700,아남전자,19687484.0
5,2020-11-13,019550,SBI인베스트먼트,1635998.0
6,2020-11-13,021080,에이티넘인베스트,13438970.0
7,2020-11-13,042040,케이피엠테크,10620665.0
8,2020-11-13,065450,빅텍,2130914.0
9,2020-11-13,065950,웰크론,3895477.0
10,2020-11-13,092220,KEC,15873299.0
11,2020-11-13,100090,삼강엠앤티,1086155.0
12,2020-11-13,256840,한국비엔씨,1096471.0
13,2020-11-13,289080,SV인베스트먼트,9576684.0
14,2020-11-13,299660,셀리드,1913539.0
