,날짜,종목코드,회사명,거래량
0,2018-11-08,120240,대정화금,140492.0
1,2018-11-08,154030,아시아종묘,933359.0
2,2018-11-12,033540,파라텍,79326.0
3,2018-11-13,120240,대정화금,71737.0
4,2018-11-13,200230,텔콘RF제약,1830568.0
5,2018-11-13,214330,금호에이치티,358923.0
6,2018-11-14,154030,아시아종묘,474711.0
7,2018-11-14,008350,남선알미늄,8750566.0
8,2018-11-16,020180,대신정보통신,2074665.0
9,2018-11-19,000890,보해양조,7482417.0
10,2018-11-19,008350,남선알미늄,9395522.0
11,2018-11-20,024110,기업은행,502274.0
12,2018-11-21,008350,남선알미늄,11785053.0
13,2018-11-21,217600,켐온,356812.0
14,2018-11-22,005110,한창,1435623.0
15,2018-11-23,272450,진에어,135121.0
16,2018-11-23,037330,인지디스플레,175552.0
17,2018-11-23,104480,티케이케미칼,3085983.0
18,2018-11-23,047820,초록뱀,9707093.0
19,2018-11-23,008350,남선알미늄,10482008.0
20,2018-11-26,084680,이월드,267744.0
21,2018-11-26,900270,헝셩그룹,2307829.0
22,2018-11-26,003560,IHQ,489622.0
23,2018-11-26,058850,KTcs,100715.0
24,2018-11-26,154030,아시아종묘,321677.0
25,2018-11-26,005110,한창,984794.0
26,2018-11-26,054090,삼진엘앤디,63751.0
27,2018-11-26,214330,금호에이치티,141828.0
28,2018-11-26,145270,케이탑리츠,89441.0
29,2018-11-27,042940,상지카일룸,111611.0
30,2018-11-27,072520,제넨바이오,1143983.0
31,2018-11-27,111870,삼본전자,1636083.0
32,2018-11-27,047310,파워로직스,477358.0
33,2018-11-27,019170,신풍제약,736433.0
34,2018-11-27,025980,아난티,1299301.0
35,2018-11-27,271980,제일약품,47495.0
36,2018-11-27,020180,대신정보통신,835594.0
37,2018-11-27,238090,앤디포스,478222.0
38,2018-11-28,078590,OQP,1189943.0
39,2018-11-28,008350,남선알미늄,8117133.0
40,2018-11-29,214150,클래시스,108054.0
41,2018-11-29,000890,보해양조,6294530.0
42,2018-11-29,014160,대영포장,285354.0
43,2018-11-30,159580,제로투세븐,103919.0
44,2018-11-30,084680,이월드,1110074.0
45,2018-11-30,005390,신성통상,169673.0
46,2018-11-30,047310,파워로직스,737464.0
47,2018-11-30,064510,에코마이스터,773314.0
48,2018-11-30,214330,금호에이치티,166924.0
49,2018-12-03,017960,한국카본,208485.0
50,2018-12-04,238090,앤디포스,187569.0
51,2018-12-04,047820,초록뱀,5087915.0
52,2018-12-05,159580,제로투세븐,52331.0
53,2018-12-05,003490,대한항공,457904.0
54,2018-12-05,019170,신풍제약,916466.0
55,2018-12-05,037330,인지디스플레,128831.0
56,2018-12-07,004830,덕성,107188.0
57,2018-12-07,032640,LG유플러스,1520290.0
58,2018-12-07,003490,대한항공,663241.0
59,2018-12-07,087010,펩트론,159029.0
60,2018-12-07,042940,상지카일룸,140092.0
61,2018-12-07,006050,국영지앤엠,1519881.0
62,2018-12-07,174880,장원테크,375872.0
63,2018-12-07,096350,대창솔루션,393161.0
64,2018-12-07,047820,초록뱀,4731178.0
65,2018-12-10,072520,제넨바이오,208157.0
66,2018-12-10,010140,삼성중공업,2004688.0
67,2018-12-10,020560,아시아나항공,472973.0
68,2018-12-10,045890,GV,1268820.0
69,2018-12-11,045390,대아티아이,8737494.0
70,2018-12-11,036630,세종텔레콤,10722595.0
71,2018-12-11,047310,파워로직스,1385695.0
72,2018-12-11,238090,앤디포스,378299.0
73,2018-12-11,214330,금호에이치티,181962.0
74,2018-12-11,013700,까뮤이앤씨,946279.0
75,2018-12-11,006050,국영지앤엠,1427379.0
76,2018-12-11,017960,한국카본,162795.0
77,2018-12-12,031820,콤텍시스템,3363156.0
78,2018-12-12,096350,대창솔루션,327853.0
79,2018-12-12,008600,윌비스,1925116.0
80,2018-12-12,087010,펩트론,107734.0
81,2018-12-12,008560,메리츠증권,1536731.0
82,2018-12-12,038070,서린바이오,38295.0
83,2018-12-12,019770,서연탑메탈,1322313.0
84,2018-12-12,095190,이엠코리아,7728561.0
85,2018-12-12,131370,알서포트,228634.0
86,2018-12-12,010140,삼성중공업,2234537.0
87,2018-12-12,038620,위즈코프,3199397.0
88,2018-12-13,078590,OQP,340949.0
89,2018-12-13,154030,아시아종묘,267068.0
90,2018-12-13,081150,티플랙스,1019948.0
91,2018-12-13,064350,현대로템,2355896.0
92,2018-12-13,005110,한창,2978785.0
93,2018-12-13,084680,이월드,14147228.0
94,2018-12-13,002900,동양물산,996913.0
95,2018-12-13,012160,영흥,445488.0
96,2018-12-13,040610,SG&G,485964.0
97,2018-12-13,214330,금호에이치티,469020.0
98,2018-12-14,109610,에스와이,111501.0
99,2018-12-14,025550,한국선재,221117.0
100,2018-12-14,267320,나인테크,6232.0
101,2018-12-14,024840,KBI메탈,1999692.0
102,2018-12-14,030200,KT,763816.0
103,2018-12-14,102280,쌍방울,2380861.0
104,2018-12-17,058850,KTcs,952108.0
105,2018-12-17,020560,아시아나항공,417913.0
106,2018-12-17,011280,태림포장,232685.0
107,2018-12-17,195990,에이비프로바이오,1331305.0
108,2018-12-18,064350,현대로템,1355133.0
109,2018-12-18,047310,파워로직스,754871.0
110,2018-12-18,064510,에코마이스터,697914.0
111,2018-12-19,214330,금호에이치티,126756.0
112,2018-12-19,020560,아시아나항공,837595.0
113,2018-12-19,082850,우리바이오,47763.0
114,2018-12-19,038070,서린바이오,24398.0
115,2018-12-19,032640,LG유플러스,1979554.0
116,2018-12-19,030200,KT,447797.0
117,2018-12-19,145270,케이탑리츠,1533096.0
118,2018-12-19,058850,KTcs,365561.0
119,2018-12-19,003560,IHQ,881271.0
120,2018-12-20,011280,태림포장,507659.0
121,2018-12-20,013000,세우글로벌,8855345.0
122,2018-12-21,004060,SG세계물산,2143116.0
123,2018-12-21,010140,삼성중공업,3779365.0
124,2018-12-21,004830,덕성,14916.0
125,2018-12-21,214330,금호에이치티,120404.0
126,2018-12-21,269620,시스웍,748793.0
127,2018-12-21,003560,IHQ,334681.0
128,2018-12-21,009830,한화솔루션,842284.0
129,2018-12-24,082850,우리바이오,12067.0
130,2018-12-24,145270,케이탑리츠,890649.0
131,2018-12-24,006050,국영지앤엠,5938162.0
132,2018-12-24,018880,한온시스템,724314.0
133,2018-12-24,012280,영화금속,245657.0
134,2018-12-26,013000,세우글로벌,1419740.0
135,2018-12-26,078130,국일제지,34825466.0
136,2018-12-26,195990,에이비프로바이오,628540.0
137,2018-12-26,174880,장원테크,92840.0
138,2018-12-27,064350,현대로템,1557744.0
139,2018-12-27,023900,풍국주정,783691.0
140,2018-12-27,004270,남성,450829.0
141,2018-12-27,047040,대우건설,1078547.0
142,2018-12-27,015760,한국전력,1430410.0
143,2018-12-27,024840,KBI메탈,813833.0
144,2018-12-27,008350,남선알미늄,11503688.0
145,2018-12-27,104480,티케이케미칼,2025805.0
146,2018-12-27,013700,까뮤이앤씨,360310.0
147,2018-12-27,009830,한화솔루션,508244.0
148,2018-12-27,006890,태경케미컬,23961.0
149,2018-12-27,009070,KCTC,77122.0
150,2018-12-27,004650,창해에탄올,191982.0
151,2018-12-27,040610,SG&G,972192.0
152,2018-12-27,084680,이월드,1300066.0
153,2018-12-28,013000,세우글로벌,822164.0
154,2018-12-28,004770,써니전자,469588.0
155,2018-12-28,099410,동방선기,173751.0
156,2018-12-28,038620,위즈코프,369217.0
157,2018-12-28,008600,윌비스,1455452.0
158,2018-12-28,014160,대영포장,3246663.0
159,2018-12-28,045390,대아티아이,3533509.0
160,2018-12-28,137950,제이씨케미칼,152143.0
161,2018-12-28,020180,대신정보통신,4127500.0
162,2018-12-28,119650,KC코트렐,239047.0
163,2018-12-28,038880,아이에이,179969.0
164,2019-01-02,109820,진매트릭스,40347.0
165,2019-01-02,000890,보해양조,59051382.0
166,2019-01-02,025980,아난티,5371377.0
167,2019-01-03,012280,영화금속,340082.0
168,2019-01-03,002900,동양물산,1437981.0
169,2019-01-03,017550,수산중공업,3930467.0
170,2019-01-03,005380,현대차,608591.0
171,2019-01-03,045390,대아티아이,10564629.0
172,2019-01-03,024840,KBI메탈,129912.0
173,2019-01-04,004270,남성,296901.0
174,2019-01-04,003490,대한항공,424001.0
175,2019-01-04,058400,KNN,44201.0
176,2019-01-07,104480,티케이케미칼,2053811.0
177,2019-01-09,096630,에스코넥,622245.0
178,2019-01-09,047310,파워로직스,957376.0
179,2019-01-09,025320,시노펙스,785164.0
180,2019-01-09,018880,한온시스템,1843464.0
181,2019-01-09,040610,SG&G,239091.0
182,2019-01-09,100700,세운메디칼,97026.0
183,2019-01-09,104480,티케이케미칼,1031017.0
