,날짜,종목코드,회사명,거래량
0,2019-01-02,109820,진매트릭스,40347.0
1,2019-01-02,234100,세원,1668364.0
2,2019-01-03,002900,동양물산,1437981.0
3,2019-01-03,012280,영화금속,340082.0
4,2019-01-03,017550,수산중공업,3930467.0
5,2019-01-03,038500,삼표시멘트,261988.0
6,2019-01-03,024840,KBI메탈,129912.0
7,2019-01-04,004270,남성,296901.0
8,2019-01-04,002680,한탑,52920.0
9,2019-01-04,234100,세원,544950.0
10,2019-01-04,033130,디지틀조선,172852.0
11,2019-01-04,058400,KNN,44201.0
12,2019-01-04,001520,동양,202024.0
13,2019-01-04,027970,세하,22242.0
14,2019-01-07,038500,삼표시멘트,274538.0
15,2019-01-07,002880,대유에이텍,6855368.0
16,2019-01-07,104480,티케이케미칼,2053811.0
17,2019-01-07,084010,대한제강,357426.0
18,2019-01-09,078150,HB테크놀러지,2854667.0
19,2019-01-09,047310,파워로직스,957376.0
20,2019-01-09,088800,에이스테크,980044.0
21,2019-01-09,131100,스카이이앤엠,23000.0
22,2019-01-09,294870,HDC현대산업개발,175557.0
23,2019-01-09,025320,시노펙스,785164.0
24,2019-01-09,096630,에스코넥,622245.0
25,2019-01-09,061970,엘비세미콘,2163013.0
26,2019-01-09,104480,티케이케미칼,1031017.0
27,2019-01-09,100700,세운메디칼,97026.0
28,2019-01-09,003000,부광약품,226361.0
29,2019-01-10,090410,덕신하우징,328552.0
30,2019-01-10,002880,대유에이텍,2608590.0
31,2019-01-10,195990,에이비프로바이오,358265.0
32,2019-01-10,083500,에프엔에스테크,261043.0
33,2019-01-11,084680,이월드,573300.0
34,2019-01-11,034120,SBS,86051.0
35,2019-01-11,061040,알에프텍,426982.0
36,2019-01-11,109820,진매트릭스,51210.0
37,2019-01-11,087260,모바일어플라이언스,74585.0
38,2019-01-11,104480,티케이케미칼,976459.0
39,2019-01-11,054210,이랜텍,423447.0
40,2019-01-11,013000,세우글로벌,3403433.0
41,2019-01-11,003780,진양산업,443283.0
42,2019-01-11,226360,이엑스티,394904.0
43,2019-01-14,002880,대유에이텍,2483694.0
