,날짜,종목코드,회사명,거래량
0,2019-01-02,000890,보해양조,59051382.0
1,2019-01-02,025980,아난티,5371377.0
2,2019-01-02,010240,흥국,1753413.0
3,2019-01-03,064350,현대로템,2698290.0
4,2019-01-03,100590,머큐리,8374530.0
5,2019-01-03,100660,서암기계공업,4476256.0
6,2019-01-03,035250,강원랜드,376071.0
7,2019-01-03,111710,남화산업,5500720.0
8,2019-01-03,010130,고려아연,50422.0
9,2019-01-03,005380,현대차,608591.0
10,2019-01-03,000210,대림산업,279377.0
11,2019-01-03,045390,대아티아이,10564629.0
12,2019-01-04,069080,웹젠,779023.0
13,2019-01-04,086900,메디톡스,21272.0
14,2019-01-04,009420,한올바이오파마,789924.0
15,2019-01-04,128940,한미약품,37060.0
16,2019-01-04,041510,에스엠,216015.0
17,2019-01-04,180640,한진칼,684657.0
18,2019-01-04,036570,엔씨소프트,85521.0
19,2019-01-04,031430,신세계인터내셔날,93292.0
20,2019-01-04,217730,강스템바이오텍,1983001.0
21,2019-01-04,003490,대한항공,424001.0
22,2019-01-07,263750,펄어비스,71448.0
23,2019-01-09,180640,한진칼,978501.0
24,2019-01-09,002320,한진,290054.0
25,2019-01-09,950160,코오롱티슈진,291313.0
26,2019-01-09,018260,삼성에스디에스,130169.0
27,2019-01-09,018880,한온시스템,1843464.0
28,2019-01-10,049180,셀루메드,1606121.0
29,2019-01-10,015760,한국전력,2085286.0
30,2019-01-10,039670,한류타임즈,1741887.0
31,2019-01-10,009460,한창제지,10732867.0
32,2019-01-10,041930,동아화성,3452573.0
33,2019-01-10,078130,국일제지,22229824.0
34,2019-01-11,064350,현대로템,1064494.0
35,2019-01-11,230240,에치에프알,1005618.0
36,2019-01-11,217730,강스템바이오텍,542017.0
37,2019-01-11,012450,한화에어로스페이스,347098.0
38,2019-01-11,271560,오리온,84643.0
39,2019-01-11,009270,신원,6282385.0
40,2019-01-11,100660,서암기계공업,3510313.0
41,2019-01-14,122870,와이지엔터테인먼트,240978.0
42,2019-01-14,111710,남화산업,1336120.0
43,2019-01-14,008350,남선알미늄,10889006.0
44,2019-01-14,000890,보해양조,17328357.0
45,2019-01-14,097950,CJ제일제당,53863.0
46,2019-01-14,060480,국일신동,3085406.0
47,2019-01-14,128940,한미약품,24665.0
48,2019-01-14,009540,한국조선해양,137851.0
49,2019-01-14,017250,인터엠,6029586.0
50,2019-01-15,041510,에스엠,276860.0
51,2019-01-15,010130,고려아연,48089.0
52,2019-01-15,225570,넷게임즈,9120120.0
53,2019-01-15,032640,LG유플러스,1632799.0
54,2019-01-16,012690,모나리자,3485438.0
55,2019-01-16,217730,강스템바이오텍,663439.0
56,2019-01-16,009420,한올바이오파마,309630.0
57,2019-01-17,036570,엔씨소프트,115113.0
58,2019-01-18,215090,이디티,4357559.0
59,2019-01-18,000890,보해양조,7572443.0
60,2019-01-18,035250,강원랜드,682792.0
61,2019-01-18,128940,한미약품,31796.0
62,2019-01-18,036420,제이콘텐트리,1297043.0
63,2019-01-18,207940,삼성바이오로직스,133354.0
64,2019-01-18,122870,와이지엔터테인먼트,341114.0
65,2019-01-21,011780,금호석유,182446.0
66,2019-01-21,009460,한창제지,12566694.0
67,2019-01-21,030790,비케이탑스,2313210.0
68,2019-01-21,025980,아난티,8217809.0
