,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,46.43,M0,P0,JYP Ent.,035900,2020-10-23,T01
0,60.59,P0,M0,제이콘텐트리,036420,2020-10-23,T01
0,62.07,P0,P0,바이오스마트,038460,2020-10-23,T01
0,100.0,P0,M0,종근당바이오,063160,2020-10-23,T01
0,49.0,M0,M0,민앤지,214180,2020-10-23,T01
0,43.11,M0,M0,우리들제약,004720,2020-10-22,T01
0,73.1,P0,M0,지엠비코리아,013870,2020-10-22,T01
0,56.23,P0,P0,코리아나,027050,2020-10-22,T01
0,41.16,M0,M0,CMG제약,058820,2020-10-22,T01
0,43.31,P0,M0,라이온켐텍,171120,2020-10-22,T01
0,51.87,P0,P0,한화,000880,2020-10-21,U01
0,85.35,P0,K0,오리엔트바이오,002630,2020-10-21,U01
0,42.21,P0,M0,브이티지엠피,018290,2020-10-21,U01
0,46.88,M0,P0,코리아나,027050,2020-10-21,U01
0,64.76,P0,M0,제이콘텐트리,036420,2020-10-21,U01
0,58.58,P0,P0,우리들제약,004720,2020-10-20,D02
0,46.77,P0,M0,경인양행,012610,2020-10-20,D02
0,77.08,P0,M0,대우조선해양,042660,2020-10-20,D02
0,90.12,P0,P0,유니퀘스트,077500,2020-10-20,D02
0,53.35,P0,M0,메디포스트,078160,2020-10-20,D02
0,67.88,P0,M0,오리엔트바이오,002630,2020-10-19,D01
0,49.2,P0,M0,동방,004140,2020-10-19,D01
0,62.81,P0,M0,OCI,010060,2020-10-19,D01
0,50.23,P0,K0,이화전기,024810,2020-10-19,D01
0,66.0,P0,M0,케이엠더블유,032500,2020-10-19,D01
0,41.79,P0,M0,유유제약,000220,2020-10-16,D01
0,45.87,M0,M0,JW중외제약,001060,2020-10-16,D01
0,42.89,P0,P0,아모레G,002790,2020-10-16,D01
0,49.15,M0,M0,대한유화,006650,2020-10-16,D01
0,43.86,M0,M0,LG전자,066570,2020-10-16,D01
