날짜,시가,고가,저가,종가,거래량
2012-01-02,3375,3390,3265,3300,43670
2012-01-03,3300,3355,3280,3355,30700
2012-01-04,3380,3400,3315,3355,31390
2012-01-05,3370,3690,3340,3580,271146
2012-01-06,3640,4115,3550,4115,772721
2012-01-09,4000,4600,3980,4500,1981520
2012-01-10,4500,4570,4005,4130,1115853
2012-01-11,4245,4470,4115,4240,1388619
2012-01-12,4200,4285,4020,4140,345884
2012-01-13,4140,4285,3955,3995,367536
2012-01-16,4050,4185,3870,3915,332890
2012-01-17,4010,4500,3910,4500,2275754
2012-01-18,4620,4665,4165,4300,1355578
2012-01-19,4280,4380,4185,4290,628772
2012-01-20,4350,4930,4290,4930,1434490
2012-01-25,5660,5660,5660,5660,67190
2012-01-26,6500,6500,6500,6500,76305
2012-01-27,7470,7470,6760,7000,9512332
2012-01-30,7000,8050,6910,8050,4914404
2012-01-31,8300,9240,8060,8810,6932261
2012-02-01,8600,9630,8250,8300,5309675
2012-02-02,7910,8100,7060,7060,4143767
2012-02-03,7130,7960,7120,7640,3366495
2012-02-06,7700,8180,7230,7410,3275161
2012-02-07,7740,8520,7600,8520,1919293
2012-02-08,7700,9450,7310,8220,7028387
2012-02-09,7900,8650,7440,7810,2245679
2012-02-10,8000,8170,6650,7700,1286134
2012-02-13,8050,8850,8030,8850,1944131
2012-02-14,9000,10150,8900,10150,3390568
2012-02-15,10500,10850,8650,8800,3662765
2012-02-16,9150,10100,9100,10100,3504868
2012-02-17,11100,11600,10400,11600,2579293
2012-02-20,12700,13300,12400,13300,815306
2012-02-21,14700,15250,11500,12300,5805446
2012-02-22,12000,12100,10500,10950,3440956
2012-02-23,11200,11500,10150,11100,2241390
2012-02-24,11000,11000,9600,10100,1444350
2012-02-27,10150,10700,9180,9980,2059810
2012-02-28,9960,9970,8750,8870,1160615
2012-02-29,8970,9650,8530,8920,1865776
2012-03-02,8700,9000,8250,8430,833720
2012-03-05,8600,8760,8110,8510,903086
2012-03-06,8600,8930,7240,7790,1497151
2012-03-07,7600,8400,7520,7580,1786959
2012-03-08,7710,7920,7300,7550,774001
2012-03-09,7560,8680,7390,8180,3690692
2012-03-12,8410,8490,7650,7910,1018782
2012-03-13,7860,8210,7620,8080,782170
2012-03-14,7970,9290,7910,9290,3392839
2012-03-15,9500,10400,9420,9600,4288631
2012-03-16,9870,10400,9460,10250,2587301
2012-03-19,10500,11750,10450,11750,3365006
2012-03-20,12300,13150,11500,12550,5457402
2012-03-21,12200,12450,11050,11650,3610508
2012-03-22,11950,12850,11800,11900,3050713
2012-03-23,11400,12200,11300,11550,1869774
2012-03-26,12550,13250,12400,13250,3401254
2012-03-27,13850,14100,12300,13350,4955123
2012-03-28,12700,13450,12650,13200,1992942
2012-03-29,13200,13300,11550,11550,2361874
2012-03-30,12000,12750,11850,11900,2870636
2012-04-02,12350,12500,11000,11400,1644100
2012-04-03,11400,11950,10500,11000,2559278
2012-04-04,12050,12650,12000,12650,4947077
2012-04-05,12600,12900,10900,11500,4402884
2012-04-06,11500,11700,9800,9850,3095152
