날짜,시가,고가,저가,종가,거래량
2016-12-15,15826,16402,15275,15952,121867
2016-12-16,16026,16202,15826,16077,60990
2016-12-19,15951,16227,15926,15952,17501
2016-12-20,15575,16001,15575,15776,15929
2016-12-21,15676,15951,15601,15626,10451
2016-12-22,15651,15826,15626,15676,4592
2016-12-23,15676,15876,15525,15551,17420
2016-12-26,15575,15751,15575,15676,9668
2016-12-27,15651,15926,15651,15902,5926
2016-12-28,15801,17278,15801,16678,35229
2016-12-29,16777,16903,16602,16878,9861
2017-01-02,16978,17253,16602,16778,6669
2017-01-03,16727,16777,16502,16628,4951
2017-01-04,16627,16752,16427,16703,4247
2017-01-05,16677,17028,16627,16728,3836
2017-01-06,16702,16727,16477,16628,2161
2017-01-09,16627,16627,16252,16402,1813
2017-01-10,16277,16352,15876,16352,7675
2017-01-11,15951,16277,15851,15952,8222
2017-01-12,15876,16001,15250,15376,22579
2017-01-13,15676,15676,15375,15426,3755
2017-01-16,15525,15525,15125,15376,20686
2017-01-17,15375,15425,15150,15351,4341
2017-01-18,15450,15550,15375,15451,2295
2017-01-19,15375,15575,15275,15451,1532
2017-01-20,15550,15550,15250,15351,2046
2017-01-23,15250,15275,15000,15125,8910
2017-01-24,15025,15400,14874,15275,8152
2017-01-25,15150,15475,15050,15200,3119
2017-01-26,15400,15450,15275,15326,1600
2017-01-31,15325,15425,15175,15326,701
2017-02-01,15325,15375,15175,15326,2120
2017-02-02,15225,15400,15175,15301,990
2017-02-03,15125,15200,14924,15050,9533
2017-02-06,15200,15250,14799,15175,5304
2017-02-07,15250,15300,14924,15125,1260
2017-02-08,15300,15300,15100,15175,3059
2017-02-09,15275,15325,15125,15275,3345
2017-02-10,15275,15475,15150,15275,935
2017-02-13,15125,15626,15125,15376,3375
2017-02-14,15300,15525,15300,15476,3959
2017-02-15,15475,15776,15375,15776,11856
2017-02-16,15751,15926,15601,15676,2837
2017-02-17,15951,15951,15225,15301,15786
2017-02-20,15200,15350,15050,15050,15615
2017-02-21,15050,15075,14949,15075,7337
2017-02-22,15275,15275,15025,15025,4373
2017-02-23,15075,15175,14874,14975,13185
2017-02-24,14874,15250,14874,15025,9720
2017-02-27,14924,15200,14924,14975,6456
2017-02-28,14924,15025,14874,15000,9075
2017-03-02,15050,15150,14700,14900,7331
2017-03-03,14900,14950,14450,14950,11422
2017-03-06,14950,15150,14650,14900,2165
2017-03-07,14800,15050,14700,15000,4327
2017-03-08,15000,15000,14650,14850,8918
2017-03-09,14850,17050,14850,15000,81934
2017-03-10,15100,15250,14700,15150,6668
2017-03-13,15300,15300,15050,15200,536
2017-03-14,15200,15200,14900,14900,1696
2017-03-15,15300,15300,14800,14900,367
2017-03-16,14900,15200,14850,15000,2782
2017-03-17,15250,15300,14900,15300,5879
2017-03-20,15300,15300,14950,15000,2756
2017-03-21,15000,15200,14800,14850,13858
2017-03-22,15000,15300,14850,14900,7659
2017-03-23,14850,14900,14450,14500,46343
2017-03-24,14500,14500,13900,14200,18273
2017-03-27,14000,14450,13850,14000,17614
2017-03-28,14200,14200,13750,14000,13356
2017-03-29,14000,14100,13750,14000,14909
2017-03-30,14200,14200,13800,13900,8680
2017-03-31,14250,14250,13900,14150,5580
2017-04-03,14200,14350,13900,14350,6060
2017-04-04,14350,14750,14050,14600,8288
2017-04-05,14150,14800,14150,14600,4719
2017-04-06,14250,14600,14250,14600,8920
2017-04-07,14750,15000,14600,15000,10108
2017-04-10,15200,15200,14350,14950,5701
2017-04-11,14950,15000,14450,14850,4316
2017-04-12,14850,14950,14550,14850,2429
2017-04-13,14850,14900,14550,14800,2576
2017-04-14,14950,14950,14450,14700,4227
2017-04-17,14450,14850,14450,14700,2908
2017-04-18,14600,14950,14600,14900,2887
2017-04-19,14900,15200,14900,15050,5797
2017-04-20,15000,15050,14750,14950,2050
2017-04-21,15150,15150,14750,14950,5157
2017-04-24,14950,14950,14500,14800,3768
2017-04-25,15000,15100,14400,15100,6342
2017-04-26,15300,15400,14950,15000,3078
