날짜,시가,고가,저가,종가,거래량
2019-10-18,3570,4640,3570,4640,433
2019-10-21,6030,6030,6030,6030,131
2019-10-22,7830,7830,7830,7830,14
2019-10-23,10150,10150,10150,10150,273
2019-10-24,13150,13150,13150,13150,304
2019-10-25,17050,17050,17050,17050,293
2019-10-28,0,0,0,17050,0
2019-10-29,22150,22150,22150,22150,680
2019-10-30,28400,28750,21050,28750,532247
2019-10-31,0,0,0,28750,0
2019-11-01,31200,36400,29350,34000,480639
2019-11-04,35300,36800,28350,28350,347995
2019-11-05,27100,27550,22150,23000,291943
2019-11-06,22800,25900,21350,24000,303947
2019-11-07,23550,23550,20250,21350,136605
2019-11-08,20800,22850,20250,20850,150637
2019-11-11,20650,22400,19800,19850,110751
2019-11-12,20450,20500,18100,18700,74621
2019-11-13,18700,19350,17850,18650,60486
2019-11-14,18650,18900,17850,18600,51540
2019-11-15,19900,21100,18500,19600,209556
2019-11-18,20200,20400,18650,19050,68666
2019-11-19,18200,19300,17600,18050,57057
2019-11-20,17550,18150,16900,17000,28829
2019-11-21,17100,17300,15700,15900,32210
2019-11-22,15550,15900,15050,15650,22456
2019-11-25,15950,16750,15550,16250,16074
2019-11-26,16000,16150,15300,15750,14452
2019-11-27,15750,16700,15000,16550,21431
2019-11-28,16300,16500,15450,15450,17378
2019-11-29,15400,15700,13900,14550,16316
2019-12-02,14150,14900,13500,14300,31313
2019-12-03,14000,18550,13650,18550,217178
2019-12-04,20100,22100,16300,16800,666852
2019-12-05,16350,16800,14100,15000,136457
2019-12-06,14750,17450,14200,14750,444225
2019-12-09,15200,15400,14300,14550,96990
2019-12-10,14650,18900,14600,15100,845717
2019-12-11,15900,18600,15500,18200,691613
2019-12-12,18000,18700,16800,17600,169552
2019-12-13,18500,22850,18000,22850,586457
2019-12-16,26150,29700,24650,29700,985159
2019-12-17,28750,35500,27300,28250,1630921
2019-12-18,27500,31150,26450,26500,713353
2019-12-19,27450,28000,25250,25600,343968
2019-12-20,25800,26100,22500,23750,216354
2019-12-23,23050,24050,21450,21700,150620
2019-12-24,21500,26000,21300,23900,763196
2019-12-26,23800,28350,22000,24750,769718
2019-12-27,25400,28400,25100,25200,627503
2019-12-30,26300,27350,25200,25200,324015
2020-01-02,25600,26850,25250,25600,168179
2020-01-03,25700,28250,24700,25800,432192
2020-01-06,25000,26100,24300,24650,186429
2020-01-07,24500,25250,23850,23900,83944
2020-01-08,24150,24500,22050,22700,92914
2020-01-09,23450,24800,22950,23700,114625
2020-01-10,24500,24850,23200,23500,80285
2020-01-13,23950,23950,22750,22750,39745
2020-01-14,23100,25350,22800,23000,138190
2020-01-15,23300,23350,22700,22750,32461
2020-01-16,23150,23850,22700,23100,55494
2020-01-17,23500,23550,22350,22450,43645
2020-01-20,22400,22850,22000,22050,31962
2020-01-21,22100,22400,21000,21300,30885
2020-01-22,21400,24500,21250,22600,398782
2020-01-23,22950,23550,22300,22350,70940
2020-01-28,21250,23000,20700,22200,80125
2020-01-29,22400,23000,21650,21650,52160
2020-01-30,21500,26500,21400,23250,536951
2020-01-31,22950,23700,21450,21500,94084
2020-02-03,20500,22350,19950,20850,90803
2020-02-04,21650,24600,21500,22650,298868
2020-02-05,23700,25300,23150,24550,210479
2020-02-06,24150,24900,23900,24800,89624
2020-02-07,25300,25900,23900,24900,88756
2020-02-10,24400,24850,23800,24200,60099
2020-02-11,24200,27400,24050,25400,283240
2020-02-12,25400,25900,24600,25000,58030
2020-02-13,25700,25750,24200,24300,42406
2020-02-14,24950,26550,24500,25300,135515
2020-02-17,25450,25700,24800,25100,27084
2020-02-18,25300,25500,23900,24750,29429
2020-02-19,24900,25300,24000,24650,20011
2020-02-20,24900,24900,23900,24400,17351
2020-02-21,24300,24350,23000,23000,20971
2020-02-24,22500,22500,21300,21750,23868
2020-02-25,21750,22800,21100,22500,20268
