날짜,시가,고가,저가,종가,거래량
2013-06-17,4050,4655,3455,4655,126189
2013-06-18,5350,5350,4730,5350,139036
2013-06-19,6150,6150,5550,6150,680800
2013-06-20,6350,7070,5950,5950,813938
2013-06-21,6130,6810,5700,6180,623403
2013-06-24,6600,7100,6350,7100,187605
2013-06-25,8150,8160,8120,8160,32224
2013-06-26,8210,8500,7350,8200,456974
2013-06-27,8500,9430,7230,7240,722367
2013-06-28,7410,7640,6590,6630,204116
2013-07-01,6910,7210,6410,6760,240218
2013-07-02,6760,6980,5750,5750,208602
2013-07-03,6020,6610,5950,6610,144599
2013-07-04,7200,7390,6100,6140,343574
2013-07-05,6310,6850,5900,6210,248401
2013-07-08,6410,6880,6150,6600,150902
2013-07-09,6550,6680,6110,6260,117406
2013-07-10,6380,6390,5910,5950,104218
2013-07-11,6100,6650,5860,6150,125493
2013-07-12,6180,6500,6000,6010,75576
2013-07-15,6150,6190,5890,6050,54518
2013-07-16,6150,6450,5990,6030,53523
2013-07-17,6140,6230,5990,6200,49477
2013-07-18,6340,6830,6200,6200,84160
2013-07-19,6290,6340,6140,6260,30088
2013-07-22,6250,6300,6100,6210,30586
2013-07-23,6340,7140,6330,7140,305558
2013-07-24,7450,7480,6700,6910,115068
2013-07-25,6980,7250,6560,7040,97517
2013-07-26,7000,8090,7000,8090,195264
2013-07-29,8500,9290,7700,8530,274310
2013-07-30,8580,8870,7950,7950,156993
2013-07-31,8070,8200,7210,7480,123750
2013-08-01,7500,7590,7200,7250,42360
2013-08-02,7290,7350,7110,7300,33347
2013-08-05,7360,7500,7210,7390,26799
2013-08-06,7470,7540,7280,7300,19173
2013-08-07,7300,7300,7060,7180,25487
2013-08-08,7180,7180,7020,7100,13240
2013-08-09,7100,7260,6920,7130,11467
2013-08-12,7120,7220,6920,7060,9880
2013-08-13,7060,7090,6550,6570,26390
2013-08-14,6550,6680,6320,6520,36909
2013-08-16,6450,6600,6180,6520,33382
2013-08-19,6410,6600,6210,6280,26000
2013-08-20,6190,6280,5940,5940,34640
2013-08-21,5910,5990,5560,5650,29390
2013-08-22,5560,5860,5480,5550,17311
2013-08-23,5610,5690,5540,5560,11546
2013-08-26,5600,5670,5530,5670,7510
2013-08-27,5700,5710,5330,5420,15403
2013-08-28,5280,5280,5100,5110,11840
2013-08-29,5230,5800,4900,5500,28179
2013-08-30,5440,5500,5180,5180,8160
2013-09-02,5130,5250,5080,5170,5690
2013-09-03,5330,5330,5030,5230,6050
2013-09-04,5240,6010,5170,6010,145790
2013-09-05,6500,6910,5610,5800,376270
2013-09-06,5890,5900,5390,5440,68350
2013-09-09,5440,5600,5270,5270,48620
2013-09-10,5350,6040,5320,5490,207244
2013-09-11,5560,6260,5530,5920,313004
2013-09-12,6030,6490,5580,5590,378444
2013-09-13,5610,5760,5500,5500,64686
2013-09-16,5550,5670,5320,5370,37747
2013-09-17,5380,5550,5290,5550,32184
2013-09-23,5570,5870,5550,5560,32242
2013-09-24,5710,5800,5540,5540,41344
2013-09-25,5550,5730,5540,5620,31220
2013-09-26,5720,6360,5720,6000,217669
2013-09-27,6170,6170,5550,5550,58705
2013-09-30,5560,5660,5420,5480,31875
2013-10-01,5440,5530,5310,5380,25822
2013-10-02,5420,5580,5340,5420,19879
2013-10-04,5470,5550,5390,5430,20060
2013-10-07,5500,5500,5220,5270,18380
2013-10-08,5180,5300,5050,5050,19168
2013-10-10,5000,5080,4950,5080,11160
2013-10-11,5130,5200,5020,5200,3301
2013-10-14,5200,5300,5080,5080,2258
2013-10-15,5050,5220,5050,5200,5152
2013-10-16,5290,5290,5120,5200,2801
2013-10-17,5200,5200,5010,5200,5940
2013-10-18,5100,5230,5100,5230,2951
2013-10-21,5210,5450,5210,5350,4360
2013-10-22,5460,5460,5280,5300,3620
2013-10-23,5410,5410,5350,5380,5860
2013-10-24,5380,5390,5310,5310,6110
2013-10-25,5380,5380,5210,5300,2362
2013-10-28,5300,5300,5130,5160,4670
2013-10-29,5350,5350,5240,5290,2850
2013-10-30,5210,5340,5150,5170,4632
2013-10-31,5110,5220,4970,4980,7338
2013-11-01,4995,5100,4945,5070,3452
2013-11-04,5080,5090,4920,5000,6103
2013-11-05,5270,5270,4970,5080,2231
2013-11-06,5040,5080,4980,5060,1787
2013-11-07,5040,5160,4955,5160,5431
2013-11-08,5160,5930,4980,4980,132832
2013-11-11,5030,5170,4725,4725,19030
2013-11-12,4735,4745,4630,4660,5386
2013-11-13,4575,4660,4500,4500,8221
2013-11-14,4460,4510,4400,4510,7431
2013-11-15,4470,5100,4275,4275,23592
2013-11-18,4300,4365,4105,4105,11551
2013-11-19,4120,4240,4020,4165,3021
2013-11-20,4170,4275,4120,4230,1823
2013-11-21,4150,4250,4110,4110,2530
2013-11-22,4130,4350,4110,4130,4541
2013-11-25,4100,4340,4100,4110,1521
2013-11-26,4080,4175,4080,4150,910
2013-11-27,4150,4205,4125,4150,1730
2013-11-28,4105,4210,4100,4180,1960
2013-11-29,4260,4500,4185,4265,7648
2013-12-02,4280,4280,4140,4140,5202
2013-12-03,4140,4155,4070,4075,3210
2013-12-04,4080,4140,4080,4140,181
2013-12-05,4290,4290,4025,4115,3351
2013-12-06,4115,4340,4070,4075,24109
2013-12-09,4100,4110,3800,3870,29620
2013-12-10,3905,3915,3840,3845,5434
2013-12-11,3860,3980,3825,3840,2903
2013-12-12,3885,3965,3850,3860,2938
2013-12-13,4040,4080,3875,4080,831
2013-12-16,3910,4045,3875,3875,540
2013-12-17,4090,4090,3875,4010,589
2013-12-18,4000,4040,3900,3990,940
2013-12-19,4035,4035,3890,4020,50
2013-12-20,3885,3990,3880,3980,4770
2013-12-23,3995,3995,3890,3945,1836
2013-12-24,4100,4100,3940,3950,1310
2013-12-26,3910,4025,3910,3930,3271
2013-12-27,4040,4040,3930,3990,760
2013-12-30,3920,4085,3920,3965,530
2014-01-02,3970,4035,3905,3915,1485
2014-01-03,3920,3990,3910,3990,180
2014-01-06,4000,4000,3870,3970,210
2014-01-07,4025,4025,4000,4000,71
2014-01-08,3920,4600,3920,4600,230583
2014-01-09,4500,4550,4100,4110,84712
2014-01-10,4075,4170,3910,3925,29563
2014-01-13,3935,3995,3905,3925,17857
2014-01-14,3940,3940,3895,3915,9911
2014-01-15,3910,4000,3905,3920,7376
2014-01-16,3935,3995,3930,3950,4920
2014-01-17,3960,4065,3960,3990,4040
2014-01-20,3955,4085,3935,3975,2573
2014-01-21,4000,4000,3945,3970,4822
2014-01-22,3965,4010,3955,3960,3512
2014-01-23,3960,4090,3930,3980,5390
2014-01-24,3955,4045,3940,3950,5430
2014-01-27,3950,4090,3800,3900,6212
2014-01-28,3900,3930,3860,3910,820
2014-01-29,3830,3960,3830,3950,2320
2014-02-03,3950,4200,3950,4020,11719
2014-02-04,4380,4380,3960,3990,3093
2014-02-05,3960,4175,3950,3985,6037
2014-02-06,4135,4145,3960,3985,6530
2014-02-07,3935,4060,3925,3950,4970
2014-02-10,4070,4070,3930,3930,4178
2014-02-11,4085,4085,3910,3990,4530
2014-02-12,4040,4040,3975,3990,3061
2014-02-13,3960,4045,3935,3970,10792
2014-02-14,4040,4040,3940,3960,4211
2014-02-17,4060,4060,3950,3975,5286
2014-02-18,4095,4330,4025,4035,19526
2014-02-19,4050,4340,4040,4240,16976
2014-02-20,4290,4470,4245,4245,13250
2014-02-21,4270,4370,4240,4300,8110
2014-02-24,4320,4370,4240,4350,2994
2014-02-25,4305,4440,4305,4370,2184
2014-02-26,4370,4370,4010,4270,18910
2014-02-27,4270,4330,4160,4265,8016
2014-02-28,4500,4500,4200,4220,2106
2014-03-03,4230,4235,4160,4235,1860
