날짜,시가,고가,저가,종가,거래량
2017-05-23,2130,2445,2130,2445,200
2017-05-24,2810,2810,2810,2810,100
2017-05-25,3230,3230,3230,3230,100
2017-05-26,3710,3710,3710,3710,100
2017-05-29,4265,4265,4265,4265,1000
2017-05-30,4260,4260,4260,4260,0
2017-05-31,4260,4260,4260,4260,0
2017-06-01,4000,4000,4000,4000,0
2017-06-02,4300,4300,4300,4300,1
2017-06-05,4200,4200,4200,4200,0
2017-06-07,4200,4200,4200,4200,0
2017-06-08,4000,4000,4000,4000,0
2017-06-09,4600,4600,4000,4200,703
2017-06-12,4200,4830,4200,4830,100
2017-06-13,5540,5540,5540,5540,659858
2017-06-14,6370,6370,6370,6370,105
2017-06-15,7320,7320,7320,7320,2
2017-06-16,7000,7000,7000,7000,25
2017-06-19,6000,6500,6000,6500,193
2017-06-20,6880,6880,6880,6880,5
2017-06-21,6800,6800,6800,6800,3
2017-06-22,6510,6510,6510,6510,0
2017-06-23,6200,6200,6200,6200,0
2017-06-26,6000,6000,6000,6000,0
2017-06-27,5800,6000,5800,6000,46
2017-06-28,6000,6000,6000,6000,0
2017-06-29,6000,6000,6000,6000,0
2017-06-30,6000,6000,6000,6000,0
2017-07-03,6000,6000,6000,6000,0
2017-07-04,6000,6000,6000,6000,0
2017-07-05,6000,6000,6000,6000,162
2017-07-06,6000,6000,6000,6000,0
2017-07-07,6000,6000,6000,6000,0
2017-07-10,6300,6300,6300,6300,0
2017-07-11,6300,6300,6300,6300,0
2017-07-12,6200,6200,6200,6200,100
2017-07-13,6200,6200,6200,6200,0
2017-07-14,6200,6200,6200,6200,50
2017-07-17,6500,6500,6500,6500,2
2017-07-18,6200,6200,6200,6200,0
2017-07-19,6100,6100,6100,6100,0
2017-07-20,6300,6300,6300,6300,1
2017-07-21,6000,6000,6000,6000,0
2017-07-24,6500,6500,6500,6500,1
2017-07-25,6400,6400,6400,6400,0
2017-07-26,6400,6400,6400,6400,0
2017-07-27,6400,6400,6400,6400,0
2017-07-28,6400,6400,6400,6400,0
2017-07-31,5850,6500,5850,6500,172
2017-08-01,5950,5950,5950,5950,0
2017-08-02,6500,6500,6500,6500,1
2017-08-03,5980,5980,5980,5980,0
2017-08-04,5980,5980,5980,5980,0
2017-08-07,5980,5980,5980,5980,0
2017-08-08,5950,5950,5950,5950,0
2017-08-09,5620,5620,5620,5620,178
2017-08-10,5610,5610,5610,5610,0
2017-08-11,6300,6300,6300,6300,2
2017-08-14,5820,5820,5820,5820,0
2017-08-16,5300,5610,5300,5610,190
2017-08-17,6300,6300,6300,6300,2
2017-08-18,5820,5820,5820,5820,0
2017-08-21,6300,6300,6300,6300,1
2017-08-22,5950,6300,5950,6300,53
2017-08-23,6200,6200,6200,6200,0
2017-08-24,6200,6200,6200,6200,0
2017-08-25,6200,6200,6200,6200,0
2017-08-28,6200,6200,6200,6200,0
2017-08-29,6200,6200,6200,6200,0
2017-08-30,6570,6570,6570,6570,1
2017-08-31,6570,6570,6570,6570,0
2017-09-01,6500,6500,6500,6500,0
2017-09-04,6500,6500,6500,6500,0
2017-09-05,6500,6500,6500,6500,0
2017-09-06,6500,6500,6500,6500,0
2017-09-07,6300,6300,6300,6300,0
2017-09-08,6300,6300,6300,6300,0
2017-09-11,6500,6500,6500,6500,1
2017-09-12,5530,6700,5530,6700,11
2017-09-13,6700,6700,6700,6700,0
2017-09-14,7490,7490,7490,7490,1
2017-09-15,7080,7080,7080,7080,106
2017-09-18,6990,6990,6990,6990,0
2017-09-19,6990,6990,6990,6990,0
2017-09-20,6990,6990,6990,6990,0
2017-09-21,6990,6990,6990,6990,0
2017-09-22,6980,6980,6980,6980,0
2017-09-25,6970,6970,6970,6970,0
2017-09-26,6960,6960,6960,6960,0
2017-09-27,6960,6960,6960,6960,0
2017-09-28,6890,6890,6890,6890,0
2017-09-29,6880,6880,6880,6880,0
2017-10-10,6880,6880,6880,6880,0
2017-10-11,6790,6790,6790,6790,0
2017-10-12,6780,6780,6780,6780,0
