날짜,시가,고가,저가,종가,거래량
2019-10-18,3453,4488,3453,4489,2385
2019-10-21,5833,5833,5833,5833,1858
2019-10-22,7574,7574,7574,7575,6563
2019-10-23,9819,9819,9490,9819,89947
2019-10-24,11221,12721,11125,12721,205643
2019-10-25,14752,16494,14752,16494,38942
2019-10-28,0,0,0,16494,0
2019-10-29,21427,21427,13156,13834,974821
2019-10-30,14075,17219,12430,15236,1116585
2019-10-31,14801,17896,13350,13979,620535
2019-11-01,14510,15236,13350,13592,169834
2019-11-04,13543,13543,11898,12092,103828
2019-11-05,11898,11947,10157,10303,122333
2019-11-06,10157,11657,10012,10593,130653
2019-11-07,10689,10786,9722,9819,47008
2019-11-08,9867,11318,9673,10061,220864
2019-11-11,10012,10447,9722,10061,84930
2019-11-12,10205,10254,9673,10158,109586
2019-11-13,10205,10447,9770,10158,124240
2019-11-14,10205,10205,9915,10206,74335
2019-11-15,10447,12382,10254,10496,911868
2019-11-18,12624,12769,10738,11077,350891
2019-11-19,10883,11076,10109,10641,170401
2019-11-20,10883,11221,9867,10061,104331
2019-11-21,9819,10109,9451,9490,48036
2019-11-22,9354,9528,8706,8813,54909
2019-11-25,8890,8929,8754,8794,19930
2019-11-26,8774,8803,8425,8668,34410
2019-11-27,8638,8832,8445,8445,23474
2019-11-28,8667,8667,8164,8184,18860
2019-11-29,8203,8261,7971,8039,10084
2019-12-02,8029,8455,7671,7904,29625
2019-12-03,8010,10254,7787,10254,408850
2019-12-04,10786,11608,8803,8832,723115
2019-12-05,8561,8706,7864,7933,115936
2019-12-06,8010,10254,7855,8445,682370
2019-12-09,9093,9257,8290,8407,113689
2019-12-10,8445,10883,8445,9132,906068
2019-12-11,9335,11221,9054,10545,1104170
2019-12-12,10496,10738,9964,10013,212820
2019-12-13,10641,11657,10205,11657,767760
2019-12-16,12817,14946,12237,14704,2138358
2019-12-17,13736,16300,13204,13350,1823761
2019-12-18,13156,14317,12479,12479,542862
2019-12-19,12817,13882,12430,13060,548535
2019-12-20,12769,13156,11898,12044,206445
2019-12-23,11802,11947,10931,11077,160103
2019-12-24,10931,12963,10883,11754,966829
2019-12-26,11560,12527,10931,11560,705928
2019-12-27,11898,12576,11753,11754,394788
2019-12-30,11947,12334,11705,11705,155052
2020-01-02,11657,12237,11657,11802,111180
2020-01-03,12140,12237,11463,11851,141745
2020-01-06,11608,11608,11125,11270,59989
2020-01-07,11415,11511,10883,11125,38009
2020-01-08,11125,11125,9819,10109,124364
2020-01-09,10544,11511,9964,10641,112737
2020-01-10,10834,11608,10641,10786,183574
2020-01-13,10883,10931,10254,10545,42634
2020-01-14,10834,11898,10834,10980,250005
2020-01-15,11173,11270,10883,10980,44208
2020-01-16,11125,11125,10738,10883,44346
2020-01-17,10931,10979,10641,10883,29120
2020-01-20,10883,10931,10544,10738,30774
2020-01-21,10931,11028,10447,10496,34573
2020-01-22,10496,11173,10447,10738,101240
2020-01-23,10689,10931,10447,10448,39707
2020-01-28,10157,10205,9770,9916,31131
2020-01-29,10109,10205,9770,9867,23055
2020-01-30,9915,11270,9770,10061,285088
2020-01-31,9964,10012,9577,9645,41069
2020-02-03,9519,9625,9296,9480,16309
2020-02-04,9528,10351,9528,9664,69483
2020-02-05,9819,10109,9673,9771,37353
2020-02-06,9819,10060,9673,9867,19296
2020-02-07,9867,9964,9673,9771,27577
2020-02-10,9770,9867,9673,9771,18406
2020-02-11,9867,10689,9819,9916,142765
2020-02-12,10060,10060,9819,9819,30756
2020-02-13,9819,9964,9722,9819,20043
2020-02-14,9819,10109,9673,9771,45347
2020-02-17,9722,9867,9722,9722,16812
2020-02-18,9722,9867,9586,9635,18402
2020-02-19,9722,9770,9335,9558,20337
2020-02-20,9635,10254,9383,10013,124817
2020-02-21,9673,9915,9490,9664,40302
2020-02-24,9286,9383,8909,8910,28483
2020-02-25,8909,9354,8803,8929,16692
2020-02-26,8677,8909,8619,8774,7404
2020-02-27,8900,8900,8280,8281,10687
2020-02-28,8019,8155,7710,7710,15885
2020-03-02,8019,8019,7710,7797,12026
2020-03-03,8164,8164,7797,7826,9476
2020-03-04,7932,8087,7864,8087,7670
2020-03-05,8271,8425,8068,8136,9579
2020-03-06,8106,8145,7893,8058,4849
2020-03-09,7835,8048,7458,7555,22129
2020-03-10,7061,7835,7061,7507,22227
2020-03-11,7555,7565,6936,6936,16730
2020-03-12,6936,6945,5997,6056,30005
2020-03-13,5988,5988,4614,5504,24753
2020-03-16,5581,5872,5272,5272,15080
2020-03-17,5272,5272,4933,5118,18493
2020-03-18,5407,5407,4807,4808,17177
2020-03-19,4740,5049,3966,4179,11140
2020-03-20,4179,5417,4116,5059,145257
2020-03-23,4459,5127,4353,4614,52853
2020-03-24,4822,5997,4817,5998,135288
2020-03-25,7110,7352,6288,6336,190414
2020-03-26,6210,6713,5997,6433,50429
2020-03-27,6839,7516,5920,6211,84901
2020-03-30,6046,6288,5688,6278,21340
2020-03-31,6578,6578,6075,6249,36201
2020-04-01,6142,7023,5775,6317,73808
2020-04-02,6317,6597,6094,6317,16926
2020-04-03,6423,6723,6230,6385,38999
2020-04-06,6384,6868,6384,6617,47227
2020-04-07,6820,6820,6539,6636,17730
2020-04-08,6810,8503,6578,7710,271476
2020-04-09,8222,9654,7719,9103,434769
2020-04-10,8416,8832,7932,8029,165441
2020-04-13,8222,8590,7700,7700,57949
2020-04-14,8338,9403,7951,8465,725330
2020-04-16,8513,10060,8077,8948,513614
2020-04-17,8600,9141,8513,8881,99578
2020-04-20,8880,8967,8590,8736,63907
2020-04-21,8629,8851,7932,8416,67762
2020-04-22,8406,8406,8145,8358,16092
2020-04-23,8358,8425,8174,8300,19037
2020-04-24,8300,8455,8000,8126,13996
2020-04-27,8135,8416,7951,8145,16226
2020-04-28,8145,8416,8097,8155,12838
2020-04-29,8222,8222,7932,8194,12311
2020-05-04,8193,8193,7855,7913,11643
2020-05-06,7922,8126,7787,8020,12888
2020-05-07,7893,8048,7787,7884,6860
2020-05-08,7913,8261,7903,8029,7426
2020-05-11,8193,10399,7845,10399,1002837
2020-05-12,11802,13446,11221,12238,2427602
2020-05-13,12334,14123,11608,12818,1308694
2020-05-14,12382,15381,12092,12673,1293416
2020-05-15,11898,13204,11463,11947,782122
2020-05-18,12140,13349,11753,12479,543459
2020-05-19,12430,13204,12044,12092,226351
2020-05-20,12285,13882,12092,12915,593954
2020-05-21,12817,13446,12624,12624,212585
2020-05-22,12527,13640,12285,12866,395946
2020-05-25,12817,13882,12672,12915,635440
2020-05-26,13011,15188,12914,13543,1746819
2020-05-27,13350,13978,13059,13157,189848
2020-05-28,13156,14123,12189,12673,463759
2020-05-29,12430,12817,12189,12479,74666
2020-06-01,12817,12866,12189,12528,71051
2020-06-02,12285,12479,11947,12189,70998
2020-06-03,12189,12576,11753,11899,60705
2020-06-04,11995,12044,10931,11125,71130
2020-06-05,11028,11657,10883,11367,59228
2020-06-08,11463,12092,11415,11851,64780
2020-06-09,12092,12430,11753,12238,179439
2020-06-10,12866,15865,12479,15865,1207823
2020-06-11,17316,20605,15623,20605,1416374
2020-06-12,21572,26748,21427,26748,509923
2020-06-15,34729,34729,20605,21186,2145811
2020-06-16,23265,25539,20508,22153,656281
2020-06-17,20557,26796,20170,22637,752940
2020-06-18,22878,23314,20605,20654,210470
2020-06-19,21476,22250,17461,18235,200471
2020-06-22,17896,19202,16203,17800,200595
2020-06-23,17993,23120,17945,23121,883458
2020-06-24,24571,25248,20073,20847,794921
2020-06-25,20073,21379,19154,20073,102927
2020-06-26,20218,20702,19251,19783,42226
2020-06-29,19251,20798,19057,19541,51879
2020-06-30,20315,20895,19057,19590,49316
2020-07-01,20025,20266,18186,18429,61427
2020-07-02,18428,23604,17219,21766,623944
2020-07-03,20121,21234,19251,19928,187518
2020-07-06,19976,21766,19251,20122,144780
2020-07-07,20170,20847,19396,20218,60959
2020-07-08,20218,20750,19444,20267,95937
2020-07-09,20944,23023,20557,21766,335024
2020-07-10,22346,23120,21330,21573,254087
2020-07-13,21959,26216,21089,23556,1059185
2020-07-14,23991,25152,20750,21379,231797
2020-07-15,21234,23023,20605,21476,141060
2020-07-16,21282,21814,20653,20654,47988
2020-07-17,20653,21476,20411,20896,36224
2020-07-20,21379,21476,20750,21234,48556
2020-07-21,21330,22878,20992,21524,171973
2020-07-22,21814,22008,20847,21138,47483
2020-07-23,21137,21282,20218,20702,57986
2020-07-24,20170,22008,20121,20509,62288
2020-07-27,21476,23604,20702,21138,233854
2020-07-28,21524,21814,20798,21186,64373
2020-07-29,23169,25442,21814,22250,261930
2020-07-30,22733,22733,21427,21815,42890
2020-07-31,21330,22008,21330,21766,29107
2020-08-03,21476,22008,21282,21524,25924
2020-08-04,21863,22056,21282,21524,30933
2020-08-05,21911,21911,20992,21186,32583
2020-08-06,21234,21572,21137,21428,20025
2020-08-07,21476,21669,21089,21476,27880
2020-08-10,21524,22491,21137,21911,105977
2020-08-11,22540,22733,21427,21670,51030
2020-08-12,21959,21959,20798,20992,24613
2020-08-13,21330,21330,20218,20847,27942
2020-08-14,21137,21137,20073,20364,23831
2020-08-18,19928,20315,18380,18767,30212
2020-08-19,19105,19589,18380,19058,19592
2020-08-20,19347,19589,17558,17703,33943
2020-08-21,18332,18332,17171,17655,18468
2020-08-24,17558,18090,17026,17945,14831
2020-08-25,18186,18235,17751,18139,13208
2020-08-26,18332,22201,17606,19396,138545
2020-08-27,19492,19492,18525,18526,24248
2020-08-28,19057,19976,18380,18719,30233
2020-08-31,18719,19154,18573,18767,11182
2020-09-01,19202,19686,18767,18961,34843
2020-09-02,19251,19541,18670,18961,13575
2020-09-03,18960,21766,18960,19638,213837
2020-09-04,18767,21476,18767,20218,157643
2020-09-07,20798,26264,20121,26265,558770
2020-09-08,28731,33761,26409,30666,2099818
2020-09-09,30666,30956,26071,26942,537251
2020-09-10,27667,27812,25152,25829,197042
2020-09-11,25394,25394,23362,24427,116133
2020-09-14,24668,31633,24088,29602,1258639
2020-09-15,29021,31730,26216,26748,400123
2020-09-16,27328,31827,27232,28054,762047
2020-09-17,29311,30908,27812,28828,248661
2020-09-18,29311,29505,26893,27329,119318
2020-09-21,26409,27328,24668,25491,99568
2020-09-22,24716,29940,23072,25781,432752
2020-09-23,26506,27232,24765,25249,64136
2020-09-24,24571,24958,23217,23363,38995
2020-09-25,23846,24233,22201,23121,57744
2020-09-28,23120,24184,22830,23217,50534
2020-09-29,23265,28683,23265,25636,666494
2020-10-05,25587,26603,24475,25201,95722
2020-10-06,23314,25635,22636,23121,149204
2020-10-07,23604,25442,23265,24282,180615
2020-10-08,24765,25152,24233,24427,84349
2020-10-12,25055,25732,24426,24814,103161
2020-10-13,25152,25490,24523,25249,67705
2020-10-14,25152,25490,23894,23991,51802
2020-10-15,24039,25152,24039,24668,52770
2020-10-16,24329,24958,24039,24185,38439
2020-10-19,24620,24620,23217,23895,16492
2020-10-20,23991,24281,22975,23459,15340
2020-10-21,23410,23894,22975,23314,17592
2020-10-22,23314,23410,22975,23072,8797
2020-10-23,23072,23217,22250,22540,12945
2020-10-26,21572,22685,21282,22250,19576
2020-10-27,22250,27500,22250,22950,326350
