,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,2675,2735,2625,2665,487154,M05,,,
1,2012-01-03,2675,2885,2645,2810,1118034,P05,M00P05,,
2,2012-01-04,2830,2975,2775,2870,1412937,P05,P00P05,S01P05,U04
3,2012-01-05,2910,2980,2815,2815,980209,M03,P00M03,P10M03,T01
4,2012-01-06,2820,3180,2780,2970,2805614,P05,M00P05,S07P05,U04
5,2012-01-09,2950,2970,2860,2900,804605,M05,P00M05,S01M05,U02
6,2012-01-10,2920,3060,2915,3010,999861,P05,M00P05,S06P05,U01
7,2012-01-11,3010,3060,2950,3020,719036,K00,P00K00,S01K00,U04
8,2012-01-12,3060,3085,2920,2920,722285,M03,K00M03,P10M03,U04
9,2012-01-13,2910,2975,2910,2925,451097,P04,M00P04,S07P04,U04
10,2012-01-16,2905,2915,2765,2765,615172,M03,P00M03,S00M03,U04
11,2012-01-17,2760,2850,2750,2770,402572,K02,M00K02,S07K02,D04
12,2012-01-18,2780,2840,2755,2785,336290,K00,K00K00,S00K00,U04
13,2012-01-19,2820,2870,2800,2810,356075,M05,K00M05,S04M05,U04
14,2012-01-20,2825,2880,2825,2850,320682,P03,M00P03,S05P03,U04
15,2012-01-25,2890,2965,2850,2930,746767,P05,P00P05,S01P05,U01
16,2012-01-26,2945,2945,2880,2880,297380,M00,P00M00,P10M00,U04
17,2012-01-27,2935,2960,2860,2890,559364,M05,M00M05,S07M05,D04
18,2012-01-30,2880,2915,2835,2840,338925,M05,M00M05,M10M05,U04
19,2012-01-31,2820,3105,2820,3025,2546236,P03,M00P03,M10P03,T01
20,2012-02-01,3055,3340,3045,3175,3069944,P05,P00P05,S02P05,U01
21,2012-02-02,3195,3195,3030,3040,1455576,M01,P00M01,P10M01,U04
22,2012-02-03,3070,3180,3050,3140,1147294,P05,M00P05,S07P05,U04
23,2012-02-06,3150,3290,3105,3185,1590932,P05,P00P05,S01P05,U04
24,2012-02-07,3245,3375,3230,3320,1767641,P05,P00P05,P10P05,T01
25,2012-02-08,3270,3280,3180,3240,965678,M05,P00M05,P10M05,U01
26,2012-02-09,3270,3335,3200,3290,750943,P05,M00P05,S07P05,U04
27,2012-02-10,3330,3340,3160,3160,840938,M03,P00M03,S01M03,U04
28,2012-02-13,3165,3235,3115,3195,556820,P05,M00P05,S07P05,D04
29,2012-02-14,3200,3235,3100,3135,611148,M05,P00M05,S01M05,U04
30,2012-02-15,3125,3320,3125,3265,1268026,P03,M00P03,S07P03,T01
31,2012-02-16,3260,3410,3210,3320,1282397,P05,P00P05,S02P05,D04
32,2012-02-17,3235,3295,3200,3220,782990,M05,P00M05,P10M05,U04
33,2012-02-20,3225,3250,3130,3180,693517,M05,M00M05,S07M05,U04
34,2012-02-21,3230,3230,3070,3130,548641,M01,M00M01,M10M01,T01
35,2012-02-22,3135,3165,3070,3085,442144,M05,M00M05,M10M05,T01
36,2012-02-23,3050,3075,2990,3045,598984,M05,M00M05,M10M05,D04
37,2012-02-24,3025,3070,2975,2995,443889,M05,M00M05,M10M05,U04
38,2012-02-27,3000,3050,2970,3020,304524,P05,M00P05,M10P05,U03
39,2012-02-28,3000,3015,2925,2975,338695,M05,P00M05,S04M05,U01
40,2012-02-29,3005,3020,2965,2990,338897,M05,M00M05,S07M05,U04
41,2012-03-02,3015,3065,3010,3020,369050,K02,M00K02,M10K02,U04
42,2012-03-05,3060,3065,3010,3010,249320,M03,K00M03,S04M03,D04
43,2012-03-06,2975,2995,2830,2875,666473,M05,M00M05,S07M05,D04
44,2012-03-07,2830,2885,2790,2860,199502,P05,M00P05,M10P05,D04
45,2012-03-08,2860,2925,2860,2905,173147,P03,P00P03,S08P03,U04
46,2012-03-09,2910,2985,2875,2895,247377,M05,P00M05,P10M05,U04
47,2012-03-12,2935,2970,2830,2830,221956,M03,M00M03,S03M03,U04
48,2012-03-13,2815,2880,2815,2865,280282,P03,M00P03,M10P03,T01
49,2012-03-14,2905,2910,2850,2870,163493,M05,P00M05,S00M05,U04
50,2012-03-15,2870,2875,2805,2830,268379,M05,M00M05,S05M05,T01
51,2012-03-16,2830,2840,2785,2825,189600,M05,M00M05,M10M05,U04
52,2012-03-19,2810,2855,2810,2830,153108,P03,M00P03,M10P03,T01
53,2012-03-20,2835,2945,2835,2885,467942,P03,P00P03,S04P03,U04
54,2012-03-21,2885,2885,2825,2835,199304,M01,P00M01,P10M01,T01
55,2012-03-22,2820,2830,2755,2805,296651,M05,M00M05,S07M05,U01
56,2012-03-23,2700,2755,2590,2655,741967,M05,M00M05,M10M05,D04
57,2012-03-26,2675,2675,2510,2615,399067,M01,M00M01,M10M01,U02
58,2012-03-27,2615,2630,2570,2595,214489,M05,M00M05,M10M05,U04
59,2012-03-28,2580,2615,2540,2570,208647,M05,M00M05,M10M05,T01
60,2012-03-29,2570,2570,2475,2515,227099,M01,M00M01,M10M01,D04
61,2012-03-30,2500,2605,2500,2605,110907,P00,M00P00,M10P00,D04
62,2012-04-02,2620,2640,2570,2590,96442,M05,P00M05,S02M05,T01
63,2012-04-03,2590,2620,2575,2600,109154,K00,M00K00,S03K00,U04
64,2012-04-04,2600,2630,2510,2545,151741,M05,K00M05,S00M05,T01
65,2012-04-05,2485,2535,2485,2510,80552,P03,M00P03,S07P03,D04
66,2012-04-06,2510,2520,2480,2495,122087,M05,P00M05,S08M05,D04
