,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2013-06-17,4050,4655,3455,4655,126189,P11,,,D04
1,2013-06-18,5350,5350,4730,5350,139036,K01,P10K01,,U04
2,2013-06-19,6150,6150,5550,6150,680800,K01,K00K01,P10K01,U04
3,2013-06-20,6350,7070,5950,5950,813938,M03,K00M03,P10M03,D04
4,2013-06-21,6130,6810,5700,6180,623403,P05,M00P05,S07P05,D04
5,2013-06-24,6600,7100,6350,7100,187605,P01,P00P01,S01P01,T01
6,2013-06-25,8150,8160,8120,8160,32224,K01,P00K01,P10K01,D04
7,2013-06-26,8210,8500,7350,8200,456974,M05,K00M05,P10M05,U04
8,2013-06-27,8500,9430,7230,7240,722367,M15,M00M15,S04M15,U04
9,2013-06-28,7410,7640,6590,6630,204116,M15,M10M15,M10M15,U04
10,2013-07-01,6910,7210,6410,6760,240218,M05,M10M05,M10M05,U01
11,2013-07-02,6760,6980,5750,5750,208602,M13,M00M13,M10M13,U04
12,2013-07-03,6020,6610,5950,6610,144599,P01,M10P01,M10P01,T01
13,2013-07-04,7200,7390,6100,6140,343574,M15,P00M15,S01M15,T01
14,2013-07-05,6310,6850,5900,6210,248401,M05,M10M05,S03M05,U04
15,2013-07-08,6410,6880,6150,6600,150902,P05,M00P05,M10P05,U04
16,2013-07-09,6550,6680,6110,6260,117406,M05,P00M05,S01M05,U02
17,2013-07-10,6380,6390,5910,5950,104218,M05,M00M05,S07M05,U04
18,2013-07-11,6100,6650,5860,6150,125493,P05,M00P05,M10P05,U04
19,2013-07-12,6180,6500,6000,6010,75576,M05,P00M05,S01M05,U04
20,2013-07-15,6150,6190,5890,6050,54518,M05,M00M05,S07M05,U04
21,2013-07-16,6150,6450,5990,6030,53523,M05,M00M05,M10M05,U03
22,2013-07-17,6140,6230,5990,6200,49477,P05,M00P05,M10P05,T01
23,2013-07-18,6340,6830,6200,6200,84160,M04,P00M04,S01M04,U04
24,2013-07-19,6290,6340,6140,6260,30088,M05,M00M05,S03M05,U01
25,2013-07-22,6250,6300,6100,6210,30586,M05,M00M05,M10M05,D04
26,2013-07-23,6340,7140,6330,7140,305558,P11,M00P11,M10P11,U04
27,2013-07-24,7450,7480,6700,6910,115068,M05,P10M05,S01M05,D04
28,2013-07-25,6980,7250,6560,7040,97517,P05,M00P05,S03P05,T01
29,2013-07-26,7000,8090,7000,8090,195264,P10,P00P10,S01P10,U04
30,2013-07-29,8500,9290,7700,8530,274310,K00,P10K00,P10K00,U03
31,2013-07-30,8580,8870,7950,7950,156993,M03,K00M03,P10M03,D04
32,2013-07-31,8070,8200,7210,7480,123750,M05,M00M05,S07M05,U04
33,2013-08-01,7500,7590,7200,7250,42360,M05,M00M05,M10M05,U03
34,2013-08-02,7290,7350,7110,7300,33347,K01,M00K01,M10K01,U04
35,2013-08-05,7360,7500,7210,7390,26799,K00,K00K00,S01K00,U04
36,2013-08-06,7470,7540,7280,7300,19173,M05,K00M05,P10M05,U01
37,2013-08-07,7300,7300,7060,7180,25487,M01,M00M01,S07M01,D04
38,2013-08-08,7180,7180,7020,7100,13240,M01,M00M01,M10M01,D04
39,2013-08-09,7100,7260,6920,7130,11467,K00,M00K00,M10K00,U04
40,2013-08-12,7120,7220,6920,7060,9880,M05,K00M05,S00M05,T01
41,2013-08-13,7060,7090,6550,6570,26390,M05,M00M05,S04M05,U03
42,2013-08-14,6550,6680,6320,6520,36909,M05,M00M05,M10M05,U04
43,2013-08-16,6450,6600,6180,6520,33382,P05,M00P05,M10P05,D04
44,2013-08-19,6410,6600,6210,6280,26000,M05,P00M05,S08M05,T01
45,2013-08-20,6190,6280,5940,5940,34640,M03,M00M03,S07M03,D04
46,2013-08-21,5910,5990,5560,5650,29390,M05,M00M05,M10M05,U04
47,2013-08-22,5560,5860,5480,5550,17311,M05,M00M05,M10M05,D04
48,2013-08-23,5610,5690,5540,5560,11546,M05,M00M05,M10M05,U04
49,2013-08-26,5600,5670,5530,5670,7510,P01,M00P01,M10P01,U04
50,2013-08-27,5700,5710,5330,5420,15403,M05,P00M05,S01M05,T01
51,2013-08-28,5280,5280,5100,5110,11840,M01,M00M01,S07M01,D04
52,2013-08-29,5230,5800,4900,5500,28179,P05,M00P05,M10P05,U04
53,2013-08-30,5440,5500,5180,5180,8160,M03,P00M03,S01M03,U04
54,2013-09-02,5130,5250,5080,5170,5690,P05,M00P05,S07P05,U04
55,2013-09-03,5330,5330,5030,5230,6050,M02,P00M02,S08M02,D04
56,2013-09-04,5240,6010,5170,6010,145790,P11,M00P11,S05P11,U04
57,2013-09-05,6500,6910,5610,5800,376270,M15,P10M15,S01M15,U04
58,2013-09-06,5890,5900,5390,5440,68350,M05,M10M05,S03M05,U03
59,2013-09-09,5440,5600,5270,5270,48620,M03,M00M03,M10M03,T01
60,2013-09-10,5350,6040,5320,5490,207244,P05,M00P05,M10P05,U04
61,2013-09-11,5560,6260,5530,5920,313004,P05,P00P05,S01P05,U04
62,2013-09-12,6030,6490,5580,5590,378444,M05,P00M05,P10M05,T01
63,2013-09-13,5610,5760,5500,5500,64686,M03,M00M03,S03M03,T01
64,2013-09-16,5550,5670,5320,5370,37747,M05,M00M05,M10M05,U03
65,2013-09-17,5380,5550,5290,5550,32184,P01,M00P01,M10P01,T01
66,2013-09-23,5570,5870,5550,5560,32242,M05,P00M05,S01M05,D04
67,2013-09-24,5710,5800,5540,5540,41344,M03,M00M03,S05M03,T01
68,2013-09-25,5550,5730,5540,5620,31220,P05,M00P05,M10P05,U01
69,2013-09-26,5720,6360,5720,6000,217669,P03,P00P03,S01P03,T01
70,2013-09-27,6170,6170,5550,5550,58705,M10,P00M10,P10M10,U04
71,2013-09-30,5560,5660,5420,5480,31875,M05,M10M05,S07M05,T01
72,2013-10-01,5440,5530,5310,5380,25822,M05,M00M05,M10M05,T01
73,2013-10-02,5420,5580,5340,5420,19879,K00,M00K00,M10K00,U04
74,2013-10-04,5470,5550,5390,5430,20060,M05,K00M05,M10M05,D04
75,2013-10-07,5500,5500,5220,5270,18380,M01,M00M01,S04M01,U04
76,2013-10-08,5180,5300,5050,5050,19168,M03,M00M03,M10M03,D04
77,2013-10-10,5000,5080,4950,5080,11160,P01,M00P01,M10P01,D04
