,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2016-12-15,15826,16402,15275,15952,121867,P05,,,D04
1,2016-12-16,16026,16202,15826,16077,60990,K00,P00K00,,U04
2,2016-12-19,15951,16227,15926,15952,17501,K02,K00K02,P10K02,D04
3,2016-12-20,15575,16001,15575,15776,15929,P03,K00P03,S04P03,U04
4,2016-12-21,15676,15951,15601,15626,10451,M05,P00M05,P10M05,U04
5,2016-12-22,15651,15826,15626,15676,4592,K00,M00K00,S06K00,T01
6,2016-12-23,15676,15876,15525,15551,17420,M05,K00M05,S04M05,D04
7,2016-12-26,15575,15751,15575,15676,9668,P03,M00P03,S04P03,D04
8,2016-12-27,15651,15926,15651,15902,5926,P03,P00P03,S04P03,U04
9,2016-12-28,15801,17278,15801,16678,35229,P03,P00P03,P10P03,U04
10,2016-12-29,16777,16903,16602,16878,9861,P05,P00P05,P10P05,D04
11,2017-01-02,16978,17253,16602,16778,6669,M05,P00M05,P10M05,D04
12,2017-01-03,16727,16777,16502,16628,4951,M05,M00M05,S03M05,D04
13,2017-01-04,16627,16752,16427,16703,4247,K01,M00K01,M10K01,U04
14,2017-01-05,16677,17028,16627,16728,3836,K00,K00K00,S04K00,U04
15,2017-01-06,16702,16727,16477,16628,2161,M05,K00M05,S04M05,U03
16,2017-01-09,16627,16627,16252,16402,1813,M01,M00M01,S04M01,U04
17,2017-01-10,16277,16352,15876,16352,7675,K01,M00K01,M10K01,U03
18,2017-01-11,15951,16277,15851,15952,8222,K02,K00K02,S08K02,U04
19,2017-01-12,15876,16001,15250,15376,22579,M05,K00M05,P10M05,U03
20,2017-01-13,15676,15676,15375,15426,3755,M01,M00M01,S07M01,D04
21,2017-01-16,15525,15525,15125,15376,20686,M01,M00M01,M10M01,D04
22,2017-01-17,15375,15425,15150,15351,4341,M05,M00M05,M10M05,U04
23,2017-01-18,15450,15550,15375,15451,2295,K00,M00K00,M10K00,D04
24,2017-01-19,15375,15575,15275,15451,1532,K00,K00K00,S04K00,U04
25,2017-01-20,15550,15550,15250,15351,2046,M01,K00M01,S04M01,D04
26,2017-01-23,15250,15275,15000,15125,8910,M05,M00M05,S07M05,U04
27,2017-01-24,15025,15400,14874,15275,8152,P05,M00P05,M10P05,T01
28,2017-01-25,15150,15475,15050,15200,3119,K00,P00K00,S02K00,U04
29,2017-01-26,15400,15450,15275,15326,1600,M05,K00M05,P10M05,U04
30,2017-01-31,15325,15425,15175,15326,701,K00,M00K00,S05K00,D04
31,2017-02-01,15325,15375,15175,15326,2120,K01,K00K01,S04K01,T01
32,2017-02-02,15225,15400,15175,15301,990,K00,K00K00,S04K00,U04
33,2017-02-03,15125,15200,14924,15050,9533,M05,K00M05,S04M05,T01
34,2017-02-06,15200,15250,14799,15175,5304,M05,M00M05,S07M05,U04
35,2017-02-07,15250,15300,14924,15125,1260,M05,M00M05,S04M05,T01
36,2017-02-08,15300,15300,15100,15175,3059,M01,M00M01,S04M01,U03
37,2017-02-09,15275,15325,15125,15275,3345,K00,M00K00,M10K00,U02
38,2017-02-10,15275,15475,15150,15275,935,K00,K00K00,S04K00,U04
39,2017-02-13,15125,15626,15125,15376,3375,P03,K00P03,S04P03,U04
40,2017-02-14,15300,15525,15300,15476,3959,P03,P00P03,P10P03,U04
41,2017-02-15,15475,15776,15375,15776,11856,P01,P00P01,P10P01,U04
42,2017-02-16,15751,15926,15601,15676,2837,M05,P00M05,P10M05,U04
43,2017-02-17,15951,15951,15225,15301,15786,M01,M00M01,S06M01,T01
44,2017-02-20,15200,15350,15050,15050,15615,M03,M00M03,M10M03,T01
45,2017-02-21,15050,15075,14949,15075,7337,K01,M00K01,M10K01,U04
46,2017-02-22,15275,15275,15025,15025,4373,M00,K00M00,S04M00,U04
47,2017-02-23,15075,15175,14874,14975,13185,M05,M00M05,S07M05,T01
48,2017-02-24,14874,15250,14874,15025,9720,P03,M00P03,M10P03,D04
49,2017-02-27,14924,15200,14924,14975,6456,K02,P00K02,S00K02,U03
50,2017-02-28,14924,15025,14874,15000,9075,P05,K00P05,P10P05,U04
51,2017-03-02,15050,15150,14700,14900,7331,M05,P00M05,S04M05,U04
52,2017-03-03,14900,14950,14450,14950,11422,K01,M00K01,S07K01,D04
53,2017-03-06,14950,15150,14650,14900,2165,M05,K00M05,S00M05,U02
54,2017-03-07,14800,15050,14700,15000,4327,P05,M00P05,S04P05,D04
55,2017-03-08,15000,15000,14650,14850,8918,M01,P00M01,S02M01,T01
56,2017-03-09,14850,17050,14850,15000,81934,P04,M00P04,S03P04,U01
57,2017-03-10,15100,15250,14700,15150,6668,K01,P00K01,S02K01,T01
58,2017-03-13,15300,15300,15050,15200,536,M01,K00M01,P10M01,U04
59,2017-03-14,15200,15200,14900,14900,1696,M00,M00M00,S05M00,U03
60,2017-03-15,15300,15300,14800,14900,367,M01,M00M01,M10M01,D04
61,2017-03-16,14900,15200,14850,15000,2782,P05,M00P05,M10P05,U04
62,2017-03-17,15250,15300,14900,15300,5879,K01,P00K01,S00K01,T01
