,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,1720,1720,1700,1710,12004,M01,,,
1,2012-01-03,1745,1795,1700,1760,19650,P05,M00P05,,
2,2012-01-04,1790,1790,1745,1770,9170,M01,P00M01,S01M01,U04
3,2012-01-05,1770,1835,1770,1835,30880,P00,M00P00,S05P00,T01
4,2012-01-06,1870,1870,1750,1780,7170,M01,P00M01,S02M01,U04
5,2012-01-09,1790,1790,1720,1755,13860,M01,M00M01,S03M01,U02
6,2012-01-10,1770,1800,1720,1760,18760,M05,M00M05,M10M05,U01
7,2012-01-11,1770,1770,1730,1760,7760,M02,M00M02,M10M02,U04
8,2012-01-12,1760,1790,1755,1770,450,P05,M00P05,S04P05,U04
9,2012-01-13,1760,1780,1740,1775,1511,P05,P00P05,S04P05,U04
10,2012-01-16,1730,1750,1710,1745,9630,P05,P00P05,S04P05,U04
11,2012-01-17,1745,1755,1725,1735,1210,M05,P00M05,P10M05,D04
12,2012-01-18,1755,1755,1725,1730,1210,M01,M00M01,S04M01,U04
13,2012-01-19,1770,1770,1690,1740,17554,M01,M00M01,M10M01,U04
14,2012-01-20,1735,1740,1700,1735,7711,K01,M00K01,M10K01,U04
15,2012-01-25,1750,1755,1710,1735,3720,M05,K00M05,M10M05,U01
16,2012-01-26,1755,1755,1700,1730,5400,M01,M00M01,S04M01,U04
17,2012-01-27,1710,1740,1710,1740,6580,P00,M00P00,M10P00,D04
18,2012-01-30,1720,1745,1710,1730,6500,P05,P00P05,S00P05,U04
19,2012-01-31,1740,1780,1730,1735,10230,M05,P00M05,P10M05,T01
20,2012-02-01,1740,1760,1730,1760,9061,P01,M00P01,S05P01,U01
21,2012-02-02,1780,1780,1745,1765,598,M01,P00M01,S01M01,U04
22,2012-02-03,1745,1760,1730,1750,8926,K00,M00K00,S05K00,U04
23,2012-02-06,1750,1750,1710,1725,9651,M01,K00M01,S08M01,U04
24,2012-02-07,1735,1745,1695,1720,17045,M05,M00M05,S07M05,T01
25,2012-02-08,1700,1740,1700,1730,18821,P03,M00P03,M10P03,U01
26,2012-02-09,1765,1765,1735,1760,20070,M02,P00M02,S00M02,U04
27,2012-02-10,1730,1770,1710,1765,11940,P05,M00P05,S05P05,U04
28,2012-02-13,1780,1790,1770,1785,6678,K00,P00K00,S02K00,D04
29,2012-02-14,1795,1800,1775,1775,10700,M03,K00M03,P10M03,U04
30,2012-02-15,1745,1850,1745,1810,3210,P03,M00P03,S07P03,T01
