,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2019-10-18,3083,4006,3083,4006,27177,P10,,,U04
1,2019-10-21,5186,5205,4843,5205,3325917,K01,P10K01,,D04
2,2019-10-22,5405,6708,4957,6090,6081163,P15,K00P15,P10P15,U04
3,2019-10-23,6651,6880,4929,5044,3650833,M15,P10M15,P10M15,D04
4,2019-10-24,4853,5776,4467,4834,3679399,M05,M10M05,S07M05,U03
5,2019-10-25,4872,5233,4386,4449,1176976,M05,M00M05,M10M05,U04
6,2019-10-28,4434,4448,3972,3978,663110,M15,M00M15,M10M15,U04
7,2019-10-29,3963,4520,3944,3997,705090,P05,M10P05,M10P05,U04
8,2019-10-30,4396,5195,4282,5196,3771501,P11,P00P11,S00P11,D04
9,2019-10-31,5709,6432,5005,5519,5881188,M05,P10M05,P10M05,U04
10,2019-11-01,6099,6271,5519,5615,2263992,M05,M00M05,S05M05,T01
11,2019-11-04,5538,5547,5176,5205,711797,M05,M00M05,M10M05,U04
12,2019-11-05,5024,5186,4634,4739,511348,M05,M00M05,M10M05,U04
13,2019-11-06,4834,5310,4634,4768,800077,M05,M00M05,M10M05,T01
14,2019-11-07,4815,4853,4572,4625,309312,M05,M00M05,M10M05,D04
15,2019-11-08,4691,4805,4453,4468,406136,M05,M00M05,M10M05,U04
16,2019-11-11,4501,4748,4358,4496,360545,M05,M00M05,M10M05,U04
17,2019-11-12,4472,4524,4382,4435,209039,M05,M00M05,M10M05,T01
18,2019-11-13,4439,4815,4434,4487,454750,P05,M00P05,M10P05,U03
19,2019-11-14,4562,4677,4420,4420,249050,M03,P00M03,S01M03,T01
20,2019-11-15,4529,5519,4529,4715,3184357,P04,M00P04,S07P04,T01
21,2019-11-18,5081,5329,4777,4853,673463,M05,P00M05,S01M05,U04
22,2019-11-19,4777,4900,4634,4758,327718,M05,M00M05,S05M05,U02
23,2019-11-20,4872,5034,4586,4606,286186,M05,M00M05,M10M05,U03
