,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2019-10-18,3453,4488,3453,4489,2385,P10,,,U04
1,2019-10-21,5833,5833,5833,5833,1858,K00,P10K00,,D04
2,2019-10-22,7574,7574,7574,7575,6563,K01,K00K01,P10K01,U04
3,2019-10-23,9819,9819,9490,9819,89947,K01,K00K01,P10K01,D04
4,2019-10-24,11221,12721,11125,12721,205643,P11,K00P11,P10P11,U03
5,2019-10-25,14752,16494,14752,16494,38942,P10,P10P10,P10P10,U04
6,2019-10-28,0,0,0,16494,0,P10,P10P10,P10P10,U04
7,2019-10-29,21427,21427,13156,13834,974821,M11,P10M11,P10M11,U04
8,2019-10-30,14075,17219,12430,15236,1116585,P05,M10P05,S03P05,D04
9,2019-10-31,14801,17896,13350,13979,620535,M05,P00M05,S01M05,U04
10,2019-11-01,14510,15236,13350,13592,169834,M05,M00M05,S07M05,T01
11,2019-11-04,13543,13543,11898,12092,103828,M11,M00M11,M10M11,U04
12,2019-11-05,11898,11947,10157,10303,122333,M15,M10M15,M10M15,U04
13,2019-11-06,10157,11657,10012,10593,130653,P05,M10P05,M10P05,T01
14,2019-11-07,10689,10786,9722,9819,47008,M05,P00M05,S00M05,D04
15,2019-11-08,9867,11318,9673,10061,220864,P05,M00P05,S07P05,U04
16,2019-11-11,10012,10447,9722,10061,84930,K00,P00K00,S01K00,U04
17,2019-11-12,10205,10254,9673,10158,109586,M05,K00M05,P10M05,T01
18,2019-11-13,10205,10447,9770,10158,124240,M05,M00M05,S05M05,U03
19,2019-11-14,10205,10205,9915,10206,74335,K01,M00K01,S04K01,T01
20,2019-11-15,10447,12382,10254,10496,911868,K02,K00K02,S04K02,T01
21,2019-11-18,12624,12769,10738,11077,350891,M15,K00M15,P10M15,U04
22,2019-11-19,10883,11076,10109,10641,170401,M05,M10M05,S05M05,U02
23,2019-11-20,10883,11221,9867,10061,104331,M05,M00M05,M10M05,U03
24,2019-11-21,9819,10109,9451,9490,48036,M05,M00M05,M10M05,D04
25,2019-11-22,9354,9528,8706,8813,54909,M05,M00M05,M10M05,T01
26,2019-11-25,8890,8929,8754,8794,19930,M05,M00M05,M10M05,U02
27,2019-11-26,8774,8803,8425,8668,34410,M05,M00M05,M10M05,U04
28,2019-11-27,8638,8832,8445,8445,23474,M03,M00M03,M10M03,U03
29,2019-11-28,8667,8667,8164,8184,18860,M01,M00M01,M10M01,U03
30,2019-11-29,8203,8261,7971,8039,10084,M05,M00M05,M10M05,U04
31,2019-12-02,8029,8455,7671,7904,29625,M05,M00M05,M10M05,D04
32,2019-12-03,8010,10254,7787,10254,408850,P11,M00P11,M10P11,D04
33,2019-12-04,10786,11608,8803,8832,723115,M15,P10M15,S01M15,D04
34,2019-12-05,8561,8706,7864,7933,115936,M05,M10M05,S03M05,U04
35,2019-12-06,8010,10254,7855,8445,682370,P05,M00P05,M10P05,U01
36,2019-12-09,9093,9257,8290,8407,113689,M05,P00M05,S01M05,U04
37,2019-12-10,8445,10883,8445,9132,906068,P04,M00P04,S03P04,D04
38,2019-12-11,9335,11221,9054,10545,1104170,P15,P00P15,S01P15,T01
39,2019-12-12,10496,10738,9964,10013,212820,M05,P10M05,P10M05,U04
40,2019-12-13,10641,11657,10205,11657,767760,P01,M00P01,S06P01,U04
41,2019-12-16,12817,14946,12237,14704,2138358,P15,P00P15,S01P15,U03
42,2019-12-17,13736,16300,13204,13350,1823761,M05,P10M05,P10M05,U04
43,2019-12-18,13156,14317,12479,12479,542862,M03,M00M03,S06M03,U02
44,2019-12-19,12817,13882,12430,13060,548535,P05,M00P05,M10P05,U01
45,2019-12-20,12769,13156,11898,12044,206445,M05,P00M05,S01M05,U04
46,2019-12-23,11802,11947,10931,11077,160103,M05,M00M05,S07M05,U04
47,2019-12-24,10931,12963,10883,11754,966829,P05,M00P05,M10P05,U03
48,2019-12-26,11560,12527,10931,11560,705928,K00,P00K00,S00K00,U01
49,2019-12-27,11898,12576,11753,11754,394788,M05,K00M05,P10M05,U04
50,2019-12-30,11947,12334,11705,11705,155052,M03,M00M03,S05M03,T01
51,2020-01-02,11657,12237,11657,11802,111180,P04,M00P04,M10P04,U04
52,2020-01-03,12140,12237,11463,11851,141745,M05,P00M05,S00M05,U04
53,2020-01-06,11608,11608,11125,11270,59989,M01,M00M01,S05M01,D04
54,2020-01-07,11415,11511,10883,11125,38009,M05,M00M05,M10M05,U04
55,2020-01-08,11125,11125,9819,10109,124364,M01,M00M01,M10M01,T01
56,2020-01-09,10544,11511,9964,10641,112737,P05,M00P05,M10P05,U04
57,2020-01-10,10834,11608,10641,10786,183574,M05,P00M05,S01M05,U04
58,2020-01-13,10883,10931,10254,10545,42634,M05,M00M05,S05M05,T01
59,2020-01-14,10834,11898,10834,10980,250005,P04,M00P04,M10P04,U04
60,2020-01-15,11173,11270,10883,10980,44208,M05,P00M05,S01M05,T01
61,2020-01-16,11125,11125,10738,10883,44346,M01,M00M01,S03M01,U01
62,2020-01-17,10931,10979,10641,10883,29120,M05,M00M05,M10M05,U04
63,2020-01-20,10883,10931,10544,10738,30774,M05,M00M05,M10M05,U04
64,2020-01-21,10931,11028,10447,10496,34573,M05,M00M05,M10M05,U04
65,2020-01-22,10496,11173,10447,10738,101240,P05,M00P05,M10P05,T01
66,2020-01-23,10689,10931,10447,10448,39707,M05,P00M05,S00M05,U02
67,2020-01-28,10157,10205,9770,9916,31131,M05,M00M05,S07M05,D04
68,2020-01-29,10109,10205,9770,9867,23055,M05,M00M05,M10M05,U04
69,2020-01-30,9915,11270,9770,10061,285088,P05,M00P05,M10P05,U01
70,2020-01-31,9964,10012,9577,9645,41069,M05,P00M05,S01M05,U03
