,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,87.5,P0,M0,캠시스,050110,2020-10-23,U03
0,83.33,P0,M0,디와이파워,210540,2020-10-23,U03
0,83.33,P0,M0,한컴위드,054920,2020-10-23,U03
0,83.33,P0,M0,LG이노텍,011070,2020-10-23,U03
0,80.0,P0,P0,고영,098460,2020-10-23,U03
0,100.0,P0,K0,제닉,123330,2020-10-22,D04
0,88.89,P0,P0,동방,004140,2020-10-22,D04
0,83.33,P0,M0,오성첨단소재,052420,2020-10-22,D04
0,83.33,P0,M0,키다리스튜디오,020120,2020-10-22,D04
0,80.0,P0,P0,롯데푸드,002270,2020-10-22,D04
0,100.0,P0,P0,진도,088790,2020-10-21,U04
0,87.5,P0,M0,홈캐스트,064240,2020-10-21,U04
0,85.71,P0,P0,오텍,067170,2020-10-21,U04
0,83.33,P0,P0,컴투스,078340,2020-10-21,U04
0,83.33,P0,M0,코디엠,224060,2020-10-21,U04
0,100.0,P0,P0,한국프랜지,010100,2020-10-20,D04
0,90.0,P0,M0,메카로,241770,2020-10-20,D04
0,85.71,P0,P0,상신전자,263810,2020-10-20,D04
0,83.33,P0,P0,씨에스윈드,112610,2020-10-20,D04
0,80.0,P0,M0,동서,026960,2020-10-20,D04
0,85.71,P0,M0,SG,255220,2020-10-19,D04
0,83.33,P0,M0,기아차,000270,2020-10-19,D04
0,80.0,P0,M0,아이진,185490,2020-10-19,D04
0,80.0,P0,M0,뷰웍스,100120,2020-10-19,D04
0,80.0,P0,P0,윈팩,097800,2020-10-19,D04
0,84.62,P0,M0,엑사이엔씨,054940,2020-10-16,D04
0,83.33,P0,K0,세종메디칼,258830,2020-10-16,D04
0,80.0,P0,M0,피에스케이홀딩스,031980,2020-10-16,D04
0,80.0,P0,M0,에스에이티,060540,2020-10-16,D04
0,80.0,P0,M0,엔지켐생명과학,183490,2020-10-16,D04
0,100.0,P0,M0,태영건설,009410,2020-10-15,D04
0,87.5,P0,M0,에이테크솔루션,071670,2020-10-15,D04
0,83.33,P0,K0,SPC삼립,005610,2020-10-15,D04
0,80.0,P0,P0,크린앤사이언스,045520,2020-10-15,D04
0,80.0,P0,M0,삼양홀딩스,000070,2020-10-15,D04
0,100.0,P0,M0,인크로스,216050,2020-10-14,T01
0,85.71,P0,M0,SIMPAC,009160,2020-10-14,T01
0,83.33,P0,M0,삼익악기,002450,2020-10-14,T01
0,83.33,P0,M0,KT서브마린,060370,2020-10-14,T01
0,83.33,P0,M0,한국맥널티,222980,2020-10-14,T01
0,100.0,P0,M0,에스코넥,096630,2020-10-13,U04
0,85.71,P0,K0,태양,053620,2020-10-13,U04
0,83.33,P0,K0,인화정공,101930,2020-10-13,U04
0,80.0,P0,M0,엘앤에프,066970,2020-10-13,U04
0,80.0,P0,M0,방림,003610,2020-10-13,U04
0,85.71,P0,K0,리노스,039980,2020-10-12,U04
0,85.71,P0,M0,키움증권,039490,2020-10-12,U04
0,83.33,P0,M0,HDC아이콘트롤스,039570,2020-10-12,U04
0,83.33,P0,M0,SKC,011790,2020-10-12,U04
0,80.0,P0,M0,대덕,008060,2020-10-12,U04
0,87.5,P0,M0,신세계 I&C,035510,2020-10-08,U04
0,80.0,P0,P0,삼륭물산,014970,2020-10-08,U04
0,80.0,P0,P0,사조산업,007160,2020-10-08,U04
0,80.0,P0,M0,진에어,272450,2020-10-08,U04
0,80.0,P0,M0,케이탑리츠,145270,2020-10-08,U04
0,100.0,P0,K0,우진비앤지,018620,2020-10-07,D04
0,100.0,P0,P0,가비아,079940,2020-10-07,D04
0,83.33,P0,P0,에스티팜,237690,2020-10-07,D04
0,80.0,P0,P0,케이씨에스,115500,2020-10-07,D04
0,80.0,P0,P0,SKC,011790,2020-10-07,D04
0,87.5,P0,M0,대원강업,000430,2020-10-06,U04
0,87.5,P0,P0,유라테크,048430,2020-10-06,U04
0,83.33,P0,M0,넷마블,251270,2020-10-06,U04
0,83.33,P0,M0,유한양행,000100,2020-10-06,U04
0,80.0,P0,K0,두올,016740,2020-10-06,U04
0,100.0,P0,P0,F&F,007700,2020-10-05,D04
0,87.5,P0,K0,에이텍,045660,2020-10-05,D04
0,83.33,P0,M0,쇼박스,086980,2020-10-05,D04
0,83.33,P0,M0,현대홈쇼핑,057050,2020-10-05,D04
0,80.0,P0,P0,대원강업,000430,2020-10-05,D04
0,88.89,P0,P0,삼성제약,001360,2020-09-29,U04
0,83.33,P0,K0,케이비아이동국실업,001620,2020-09-29,U04
0,80.0,P0,P0,대성창투,027830,2020-09-29,U04
0,76.92,P0,M0,DSR제강,069730,2020-09-29,U04
0,75.0,P0,M0,이마트,139480,2020-09-29,U04
0,100.0,P0,P0,유앤아이,056090,2020-09-28,U04
0,100.0,P0,P0,동원개발,013120,2020-09-28,U04
0,100.0,P0,P0,한국경제TV,039340,2020-09-28,U04
0,87.5,P0,P0,우리산업,215360,2020-09-28,U04
0,85.71,P0,P0,에이테크솔루션,071670,2020-09-28,U04
0,85.71,P0,P0,코스맥스,192820,2020-09-25,U04
0,85.71,P0,M0,서연탑메탈,019770,2020-09-25,U04
0,83.33,P0,P0,형지엘리트,093240,2020-09-25,U04
0,83.33,P0,M0,삼목에스폼,018310,2020-09-25,U04
0,81.82,P0,M0,수산중공업,017550,2020-09-25,U04
0,85.71,P0,M0,에이치엘비생명과학,067630,2020-09-24,D04
0,83.33,P0,P0,엘브이엠씨홀딩스,900140,2020-09-24,D04
0,83.33,P0,M0,TS인베스트먼트,246690,2020-09-24,D04
0,80.0,P0,K0,화성산업,002460,2020-09-24,D04
0,80.0,P0,M0,미투온,201490,2020-09-24,D04
0,87.5,P0,K0,우리로,046970,2020-09-23,U04
0,80.0,P0,M0,동아지질,028100,2020-09-23,U04
0,80.0,P0,M0,덕산네오룩스,213420,2020-09-23,U04
0,80.0,P0,P0,포스코강판,058430,2020-09-23,U04
0,80.0,P0,M0,연우,115960,2020-09-23,U04
0,83.33,P0,M0,삼익악기,002450,2020-09-22,T01
0,83.33,P0,M0,와이엔텍,067900,2020-09-22,T01
0,80.0,P0,M0,대한해운,005880,2020-09-22,T01
0,80.0,P0,M0,코리아에스이,101670,2020-09-22,T01
0,80.0,P0,M0,유신,054930,2020-09-22,T01
0,100.0,P0,M0,SBS콘텐츠허브,046140,2020-09-21,D04
0,100.0,P0,M0,컴투스,078340,2020-09-21,D04
0,83.33,P0,M0,이녹스,088390,2020-09-21,D04
0,83.33,P0,K0,알로이스,297570,2020-09-21,D04
0,81.82,P0,M0,파이오링크,170790,2020-09-21,D04
0,91.67,P0,P0,남화토건,091590,2020-09-18,D04
0,83.33,P0,M0,한일시멘트,300720,2020-09-18,D04
0,80.0,P0,M0,정다운,208140,2020-09-18,D04
0,80.0,P0,P0,세종메디칼,258830,2020-09-18,D04
0,80.0,P0,P0,씨에스윈드,112610,2020-09-18,D04
0,100.0,P0,K0,나노스,151910,2020-09-17,D04
0,100.0,P0,M0,동부건설,005960,2020-09-17,D04
0,88.89,P0,M0,진양폴리,010640,2020-09-17,D04
0,80.0,P0,M0,유티아이,179900,2020-09-17,D04
