,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,93.2,P0,K0,대호에이엘,069460,2020-10-23,U03
0,89.44,P0,P0,화성산업,002460,2020-10-23,U03
0,88.77,P0,P0,녹십자랩셀,144510,2020-10-23,U03
0,88.23,P0,M0,캠시스,050110,2020-10-23,U03
0,81.22,P0,P0,UCI,038340,2020-10-23,U03
0,96.97,P0,P0,케이사인,192250,2020-10-22,D04
0,96.0,P0,P0,제이브이엠,054950,2020-10-22,D04
0,87.54,P0,M1,이퓨쳐,134060,2020-10-22,D04
0,84.98,P0,M0,녹십자홀딩스,005250,2020-10-22,D04
0,81.09,P0,M0,ISC,095340,2020-10-22,D04
0,100.0,P0,P0,오텍,067170,2020-10-21,U04
0,100.0,P0,P0,세우글로벌,013000,2020-10-21,U04
0,96.52,P0,P0,GKL,114090,2020-10-21,U04
0,88.28,P0,M0,쌍용차,003620,2020-10-21,U04
0,86.18,P0,M0,에이스테크,088800,2020-10-21,U04
0,100.0,P0,P0,영우디에스피,143540,2020-10-20,D04
0,100.0,P0,P0,유진테크,084370,2020-10-20,D04
0,98.49,P0,P0,씨에스윈드,112610,2020-10-20,D04
0,96.13,P0,P0,얼라인드,238120,2020-10-20,D04
0,89.67,P0,P0,예스티,122640,2020-10-20,D04
0,100.0,P0,M0,뉴보텍,060260,2020-10-19,D04
0,99.59,P0,M0,성우하이텍,015750,2020-10-19,D04
0,98.77,P0,P0,케어젠,214370,2020-10-19,D04
0,87.93,P0,P0,KSS해운,044450,2020-10-19,D04
0,86.97,P0,M0,테스나,131970,2020-10-19,D04
0,99.58,P0,K0,제이씨케미칼,137950,2020-10-16,D04
0,90.65,P0,P0,코리안리,003690,2020-10-16,D04
0,89.54,P0,M0,3S,060310,2020-10-16,D04
0,89.18,P0,M0,한솔테크닉스,004710,2020-10-16,D04
0,84.94,P0,M0,피엔티,137400,2020-10-16,D04
0,97.98,P0,M0,STX중공업,071970,2020-10-15,D04
0,93.17,P0,M0,두올,016740,2020-10-15,D04
0,86.88,P0,M0,알루코,001780,2020-10-15,D04
0,85.68,P0,M0,현대에이치씨엔,126560,2020-10-15,D04
0,84.6,P0,P0,현대모비스,012330,2020-10-15,D04
0,100.0,P0,M0,에스퓨얼셀,288620,2020-10-14,T01
0,100.0,P0,M0,DB손해보험,005830,2020-10-14,T01
0,98.45,P0,M0,인터로조,119610,2020-10-14,T01
0,91.8,P0,M0,신성통상,005390,2020-10-14,T01
0,91.54,P0,P0,형지엘리트,093240,2020-10-14,T01
0,100.0,P0,M0,이엑스티,226360,2020-10-13,U04
0,100.0,P0,M0,에스코넥,096630,2020-10-13,U04
0,100.0,P0,M0,멕아이씨에스,058110,2020-10-13,U04
0,98.05,P0,M0,알에프텍,061040,2020-10-13,U04
0,96.51,P0,P0,옴니시스템,057540,2020-10-13,U04
0,100.0,P0,P0,사람인에이치알,143240,2020-10-12,U04
0,98.32,P0,P0,대림건설,001880,2020-10-12,U04
0,94.85,P0,P0,지니뮤직,043610,2020-10-12,U04
0,94.34,P0,P0,알루코,001780,2020-10-12,U04
0,90.11,P0,M0,멕아이씨에스,058110,2020-10-12,U04
0,100.0,P0,P0,투비소프트,079970,2020-10-08,U04
0,99.34,P0,M0,동아화성,041930,2020-10-08,U04
0,92.35,P0,M0,비츠로셀,082920,2020-10-08,U04
0,84.68,P0,P0,제로투세븐,159580,2020-10-08,U04
0,82.51,P0,P0,펄어비스,263750,2020-10-08,U04
0,100.0,P0,K0,화신,010690,2020-10-07,D04
0,91.33,P0,P0,메지온,140410,2020-10-07,D04
0,86.61,P0,M0,크루셜텍,114120,2020-10-07,D04
0,85.47,P0,P0,GV,045890,2020-10-07,D04
0,83.06,P0,M0,오스템,031510,2020-10-07,D04
0,83.82,P0,M0,성우테크론,045300,2020-10-06,U04
0,82.15,P0,P0,현대약품,004310,2020-10-06,U04
0,79.06,P0,M0,써니전자,004770,2020-10-06,U04
0,74.25,P0,M0,대창솔루션,096350,2020-10-06,U04
0,70.67,P0,P0,실리콘웍스,108320,2020-10-06,U04
0,97.33,P0,M0,케이피티유,054410,2020-10-05,D04
0,91.17,P0,P0,네패스,033640,2020-10-05,D04
0,89.4,P0,K0,에코프로,086520,2020-10-05,D04
0,87.47,P0,P1,케이프,064820,2020-10-05,D04
0,87.09,P0,M0,현대해상,001450,2020-10-05,D04
0,100.0,P0,M0,나우IB,293580,2020-09-29,U04
0,92.49,P0,M0,인트론바이오,048530,2020-09-29,U04
0,86.84,P0,P0,서연이화,200880,2020-09-29,U04
0,86.06,P0,P0,동우팜투테이블,088910,2020-09-29,U04
0,84.75,P0,P0,케이프,064820,2020-09-29,U04
0,100.0,P0,M0,화승엔터프라이즈,241590,2020-09-28,U04
0,85.46,P0,P0,제닉,123330,2020-09-28,U04
0,83.75,P0,P0,파이오링크,170790,2020-09-28,U04
0,83.74,P0,P0,SG충방,001380,2020-09-28,U04
0,82.25,P0,P0,풍국주정,023900,2020-09-28,U04
0,100.0,P0,P1,대아티아이,045390,2020-09-25,U04
0,100.0,P0,M1,신풍제약,019170,2020-09-25,U04
0,99.08,P0,M0,현대바이오랜드,052260,2020-09-25,U04
0,92.69,P0,K0,아이씨디,040910,2020-09-25,U04
0,92.38,P0,P0,코스맥스엔비티,222040,2020-09-25,U04
0,99.06,P0,M0,코메론,049430,2020-09-24,D04
0,89.58,P0,M0,영원무역홀딩스,009970,2020-09-24,D04
0,86.56,P0,M0,KT서브마린,060370,2020-09-24,D04
0,86.22,P0,P0,인지컨트롤스,023800,2020-09-24,D04
0,82.41,P0,M0,LG하우시스,108670,2020-09-24,D04
0,100.0,P0,P0,이엑스티,226360,2020-09-23,U04
0,91.57,P0,P0,모나리자,012690,2020-09-23,U04
0,90.33,P0,M0,엔케이,085310,2020-09-23,U04
0,87.73,P0,M0,오리온,271560,2020-09-23,U04
0,86.02,P0,M0,신세계,004170,2020-09-23,U04
0,100.0,P0,M0,삼영엠텍,054540,2020-09-22,T01
0,99.06,P0,M0,GST,083450,2020-09-22,T01
0,99.02,P0,M0,혜인,003010,2020-09-22,T01
0,94.93,P0,M0,민앤지,214180,2020-09-22,T01
0,91.38,P0,M0,에프에스티,036810,2020-09-22,T01
0,100.0,P0,M0,스페코,013810,2020-09-21,D04
0,93.12,P0,M0,갤럭시아에스엠,011420,2020-09-21,D04
0,91.38,P0,P0,크라운해태홀딩스,005740,2020-09-21,D04
0,89.72,P0,M0,토비스,051360,2020-09-21,D04
0,89.61,P0,P0,이화전기,024810,2020-09-21,D04
0,97.64,P0,P0,씨에스윈드,112610,2020-09-18,D04
0,92.76,P0,M0,네스엠,056000,2020-09-18,D04
0,91.99,P0,M0,한올바이오파마,009420,2020-09-18,D04
0,91.89,P0,M0,한국주철관,000970,2020-09-18,D04
0,90.91,P0,P0,씨앤지하이테크,264660,2020-09-18,D04
0,100.0,P0,M0,화성밸브,039610,2020-09-17,D04
0,100.0,P0,P0,장원테크,174880,2020-09-17,D04
0,97.49,P0,P0,율호,072770,2020-09-17,D04
0,94.14,P0,P0,유나이티드제약,033270,2020-09-17,D04
0,93.61,P0,P0,와이지-원,019210,2020-09-17,D04
0,96.99,P0,P0,루미마이크로,082800,2020-09-16,U04
0,95.47,P0,P0,동국S&C,100130,2020-09-16,U04
0,90.61,P0,M0,세화피앤씨,252500,2020-09-16,U04
0,81.11,P0,M0,디지캡,197140,2020-09-16,U04
0,79.01,P0,M0,상상인,038540,2020-09-16,U04
0,89.43,P0,P0,KG케미칼,001390,2020-09-15,U04
0,81.56,P0,M0,동서,026960,2020-09-15,U04
0,78.1,P0,P0,녹십자랩셀,144510,2020-09-15,U04
0,75.69,P0,P0,HMM,011200,2020-09-15,U04
0,75.11,P0,P0,우리들제약,004720,2020-09-15,U04
0,100.0,P0,M0,선데이토즈,123420,2020-09-14,D04
0,93.87,P0,K0,대원전선,006340,2020-09-14,D04
0,93.31,P0,P1,유테크,178780,2020-09-14,D04
0,87.94,P0,K0,효성,004800,2020-09-14,D04
0,86.76,P0,M0,이라이콤,041520,2020-09-14,D04
0,97.04,P0,M0,휴메딕스,200670,2020-09-11,D04
0,90.04,P0,M0,OQP,078590,2020-09-11,D04
