,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,100.0,P0,M0,인콘,083640,2020-10-23,U03
0,78.1,P0,M0,옵트론텍,082210,2020-10-23,U03
0,77.69,P0,P0,유니온머티리얼,047400,2020-10-23,U03
0,72.24,P0,M0,엠벤처투자,019590,2020-10-23,U03
0,70.82,P0,M0,와이엔텍,067900,2020-10-23,U03
0,100.0,P0,M0,삼양통상,002170,2020-10-22,D04
0,95.63,P0,M0,KH바텍,060720,2020-10-22,D04
0,85.25,P0,M0,지엠비코리아,013870,2020-10-22,D04
0,84.33,P0,M0,한국큐빅,021650,2020-10-22,D04
0,76.33,P0,K0,메디프론,065650,2020-10-22,D04
0,93.75,P0,K0,덱스터,206560,2020-10-21,U04
0,93.66,P0,P1,네스엠,056000,2020-10-21,U04
0,92.49,P0,M0,동방선기,099410,2020-10-21,U04
0,89.02,P0,K0,오리엔트바이오,002630,2020-10-21,U04
0,83.89,P0,M0,텔콘RF제약,200230,2020-10-21,U04
0,100.0,P0,K0,한솔홀딩스,004150,2020-10-20,D04
0,99.22,P0,M0,모트렉스,118990,2020-10-20,D04
0,92.16,P0,P0,와이솔,122990,2020-10-20,D04
0,88.08,P0,K0,한빛소프트,047080,2020-10-20,D04
0,87.63,P0,M0,이수앱지스,086890,2020-10-20,D04
0,100.0,P0,M0,전파기지국,065530,2020-10-19,D04
0,100.0,P0,P0,현대바이오,048410,2020-10-19,D04
0,99.28,P0,P0,네오팜,092730,2020-10-19,D04
0,98.74,P0,K0,동우팜투테이블,088910,2020-10-19,D04
0,92.41,P0,M0,에스텍파마,041910,2020-10-19,D04
0,100.0,P0,K0,NI스틸,008260,2020-10-16,D04
0,89.9,P0,M0,테스나,131970,2020-10-16,D04
0,84.53,P0,M0,한빛소프트,047080,2020-10-16,D04
0,79.16,P0,M0,문배철강,008420,2020-10-16,D04
0,78.48,P0,P0,대한광통신,010170,2020-10-16,D04
0,89.48,P0,M0,금호석유,011780,2020-10-15,D04
0,89.38,P0,M0,신세계,004170,2020-10-15,D04
0,85.73,P0,P0,이글벳,044960,2020-10-15,D04
0,85.17,P0,M1,화인베스틸,133820,2020-10-15,D04
0,75.5,P0,M0,한솔로지스틱스,009180,2020-10-15,D04
0,90.35,P0,P0,형지엘리트,093240,2020-10-14,T01
0,85.64,P0,M0,LG이노텍,011070,2020-10-14,T01
0,77.36,P0,M0,엠게임,058630,2020-10-14,T01
0,75.5,P0,P1,KMH,122450,2020-10-14,T01
0,69.63,P0,K0,롯데손해보험,000400,2020-10-14,T01
0,98.53,P0,P0,현대바이오랜드,052260,2020-10-13,U04
0,91.85,P0,M0,필옵틱스,161580,2020-10-13,U04
0,84.62,P0,M0,심텍,222800,2020-10-13,U04
0,78.22,P0,M0,유나이티드제약,033270,2020-10-13,U04
0,71.65,P0,M0,일양약품,007570,2020-10-13,U04
0,100.0,P0,M0,진원생명과학,011000,2020-10-12,U04
0,90.44,P0,M0,레고켐바이오,141080,2020-10-12,U04
0,87.74,P0,M0,현대바이오랜드,052260,2020-10-12,U04
0,85.27,P0,P0,F&F,007700,2020-10-12,U04
0,73.26,P0,M0,유비쿼스,264450,2020-10-12,U04
0,78.58,P0,M0,GV,045890,2020-10-08,U04
0,76.65,P0,M0,영원무역,111770,2020-10-08,U04
0,68.92,P0,P0,현대글로비스,086280,2020-10-08,U04
0,67.29,P0,M0,이씨에스,067010,2020-10-08,U04
0,65.59,P0,P0,SK디스커버리,006120,2020-10-08,U04
0,98.53,P0,M0,에이비프로바이오,195990,2020-10-07,D04
0,95.65,P0,P0,에스에프에이,056190,2020-10-07,D04
0,89.66,P0,P0,KR모터스,000040,2020-10-07,D04
0,83.83,P0,P0,삼보산업,009620,2020-10-07,D04
0,75.62,P0,P0,에코마케팅,230360,2020-10-07,D04
0,86.01,P0,P0,이수페타시스,007660,2020-10-06,U04
0,81.71,P0,P0,JW신약,067290,2020-10-06,U04
0,75.26,P0,M0,키움증권,039490,2020-10-06,U04
0,70.1,P0,K0,소리바다,053110,2020-10-06,U04
0,67.42,P0,M0,아이진,185490,2020-10-06,U04
0,85.26,P0,M0,화승엔터프라이즈,241590,2020-10-05,D04
0,82.01,P0,P1,케이프,064820,2020-10-05,D04
0,74.73,P0,M0,신일제약,012790,2020-10-05,D04
0,74.49,P0,M0,브이티지엠피,018290,2020-10-05,D04
0,74.15,P0,P0,코스온,069110,2020-10-05,D04
0,89.2,P0,K0,한화손해보험,000370,2020-09-29,U04
0,80.98,P0,P0,지엔코,065060,2020-09-29,U04
0,79.91,P0,P0,형지I&C,011080,2020-09-29,U04
0,79.05,P0,P0,한창제지,009460,2020-09-29,U04
0,78.18,P0,P0,파마리서치프로덕트,214450,2020-09-29,U04
0,100.0,P0,M0,화승엔터프라이즈,241590,2020-09-28,U04
0,89.43,P0,P0,신일제약,012790,2020-09-28,U04
0,85.27,P0,M0,W홀딩컴퍼니,052300,2020-09-28,U04
0,83.96,P0,P0,윌비스,008600,2020-09-28,U04
0,82.7,P0,P0,SG충방,001380,2020-09-28,U04
0,93.6,P0,P0,성창기업지주,000180,2020-09-25,U04
0,88.16,P0,P0,모헨즈,006920,2020-09-25,U04
0,86.01,P0,M0,삼성출판사,068290,2020-09-25,U04
0,81.31,P0,P0,이글벳,044960,2020-09-25,U04
0,77.42,P0,M0,신성통상,005390,2020-09-25,U04
0,91.9,P0,M1,엔케이맥스,182400,2020-09-24,D04
0,83.86,P0,M0,젬백스링크,064800,2020-09-24,D04
0,82.89,P0,M0,윈팩,097800,2020-09-24,D04
0,81.48,P0,M0,에코프로,086520,2020-09-24,D04
0,76.26,P0,M0,유니크,011320,2020-09-24,D04
0,100.0,P0,M0,대우부품,009320,2020-09-23,U04
0,100.0,P0,P0,제너셈,217190,2020-09-23,U04
0,99.17,P0,M0,유니크,011320,2020-09-23,U04
0,94.29,P0,P0,다날,064260,2020-09-23,U04
0,81.63,P0,M0,아난티,025980,2020-09-23,U04
0,100.0,P0,M0,아난티,025980,2020-09-22,T01
0,98.89,P0,P0,모트렉스,118990,2020-09-22,T01
0,98.51,P0,M0,제이준코스메틱,025620,2020-09-22,T01
0,97.82,P0,M0,조비,001550,2020-09-22,T01
0,93.96,P0,M0,큐에스아이,066310,2020-09-22,T01
0,100.0,P0,M0,노루페인트,090350,2020-09-21,D04
0,97.74,P0,P0,지엔씨에너지,119850,2020-09-21,D04
0,83.49,P0,M0,삼호개발,010960,2020-09-21,D04
0,79.62,P0,M0,토비스,051360,2020-09-21,D04
0,78.78,P0,P0,아이크래프트,052460,2020-09-21,D04
0,100.0,P0,P0,한솔홀딩스,004150,2020-09-18,D04
0,100.0,P0,P0,진원생명과학,011000,2020-09-18,D04
0,98.99,P0,M0,홈캐스트,064240,2020-09-18,D04
0,79.33,P0,M0,인바디,041830,2020-09-18,D04
0,67.09,P0,P0,하나마이크론,067310,2020-09-18,D04
0,98.37,P0,P0,와이지-원,019210,2020-09-17,D04
0,96.57,P0,M0,문배철강,008420,2020-09-17,D04
0,92.13,P0,K0,정원엔시스,045510,2020-09-17,D04
0,85.5,P0,M0,콤텍시스템,031820,2020-09-17,D04
0,81.02,P0,P0,젬백스,082270,2020-09-17,D04
0,91.15,P0,M0,우리기술,032820,2020-09-16,U04
0,68.54,P0,M0,한솔테크닉스,004710,2020-09-16,U04
0,67.82,P0,M0,코리아써키트,007810,2020-09-16,U04
0,65.99,P0,M0,테스나,131970,2020-09-16,U04
0,64.39,P0,P0,신성이엔지,011930,2020-09-16,U04
