,Date,stock_name,today_win,today_lose,tomorrow_win,tomorrow_lose,day2_win,day2_lose,real_profit,Nasdaq
0,2020-10-23,인콘,0.0,0.0,0.0,1.0,0.0,0.0,-0.06223175965665236,U03
0,2020-10-23,엠벤처투자,0.0,0.0,0.0,0.0,0.0,1.0,-0.016260162601626018,U03
0,2020-10-23,옵트론텍,0.0,0.0,0.0,1.0,0.0,0.0,-0.05740181268882175,U03
0,2020-10-23,모트렉스,0.0,0.0,1.0,0.0,0.0,0.0,0.04,U03
0,2020-10-23,유니온머티리얼,1.0,0.0,0.0,0.0,0.0,0.0,0.05,U03
0,2020-10-22,삼양통상,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-22,지엠비코리아,0.0,0.0,0.0,0.0,0.0,1.0,-0.07651715039577836,D04
0,2020-10-22,한국큐빅,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-22,KH바텍,0.0,0.0,0.0,0.0,0.0,1.0,-0.1002710027100271,D04
0,2020-10-22,현대위아,0.0,0.0,1.0,0.0,0.0,0.0,0.023058252427184466,D04
0,2020-10-21,오리엔트바이오,0.0,0.0,0.0,0.0,0.0,1.0,-0.04180064308681672,U04
0,2020-10-21,덱스터,0.0,0.0,0.0,0.0,0.0,1.0,-0.024528301886792454,U04
0,2020-10-21,라이온켐텍,1.0,0.0,0.0,0.0,0.0,0.0,0.019635343618513323,U04
0,2020-10-21,동방선기,0.0,0.0,0.0,1.0,0.0,0.0,-0.05271084337349398,U04
0,2020-10-21,네스엠,1.0,0.0,0.0,0.0,0.0,0.0,0.05,U04
0,2020-10-20,한솔홀딩스,0.0,0.0,1.0,0.0,0.0,0.0,0.04,D04
0,2020-10-20,모트렉스,0.0,0.0,1.0,0.0,0.0,0.0,0.04,D04
0,2020-10-20,한빛소프트,0.0,0.0,1.0,0.0,0.0,0.0,0.02312925170068027,D04
0,2020-10-20,에이티세미콘,0.0,0.0,0.0,1.0,0.0,0.0,-0.056818181818181816,D04
0,2020-10-20,이수앱지스,0.0,0.0,0.0,0.0,0.0,1.0,-0.05326231691078562,D04
0,2020-10-19,현대바이오,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-10-19,전파기지국,0.0,0.0,0.0,0.0,0.0,1.0,-0.01956521739130435,D04
0,2020-10-19,동우팜투테이블,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-19,금호석유,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-19,하이비젼시스템,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-16,NI스틸,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-16,테스나,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-16,한국타이어앤테크놀로지,0.0,0.0,0.0,0.0,0.0,1.0,-0.029455081001472753,D04
0,2020-10-16,씨에스윈드,0.0,0.0,0.0,1.0,0.0,0.0,-0.08663594470046083,D04
0,2020-10-16,문배철강,0.0,0.0,0.0,0.0,0.0,1.0,-0.016666666666666666,D04
0,2020-10-15,화인베스틸,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-10-15,신세계,0.0,0.0,0.0,0.0,1.0,0.0,0.01,D04
0,2020-10-15,이글벳,1.0,0.0,0.0,0.0,0.0,0.0,0.05,D04
0,2020-10-15,금호석유,0.0,0.0,0.0,1.0,0.0,0.0,-0.0657439446366782,D04
0,2020-10-15,현대바이오,0.0,0.0,0.0,0.0,0.0,1.0,0.0,D04
0,2020-10-14,형지엘리트,0.0,0.0,0.0,0.0,1.0,0.0,0.01,T01
0,2020-10-14,LG이노텍,0.0,0.0,0.0,0.0,0.0,1.0,-0.05421686746987952,T01
0,2020-10-14,KMH,1.0,0.0,0.0,0.0,0.0,0.0,0.05,T01
0,2020-10-14,이아이디,0.0,0.0,0.0,0.0,0.0,1.0,-0.04905660377358491,T01
0,2020-10-14,대한광통신,0.0,0.0,0.0,0.0,1.0,0.0,0.01,T01
0,2020-10-13,현대바이오랜드,1.0,0.0,0.0,0.0,0.0,0.0,0.05,U04
0,2020-10-13,필옵틱스,0.0,0.0,1.0,0.0,0.0,0.0,0.04,U04
0,2020-10-13,유비벨록스,0.0,0.0,0.0,0.0,0.0,1.0,-0.04751847940865892,U04
0,2020-10-13,유나이티드제약,0.0,0.0,0.0,1.0,0.0,0.0,-0.07761966364812418,U04
0,2020-10-13,원익큐브,0.0,0.0,0.0,0.0,0.0,1.0,-0.040345821325648415,U04
0,2020-10-12,진원생명과학,0.0,0.0,0.0,0.0,1.0,0.0,0.01,U04
