,date,open,high,low,close,volume,pattern1,new_pat1
0,2012-01-02,1459,1497,1444,1464,939113,K00,
1,2012-01-03,1468,1492,1444,1445,958756,M05,M00
2,2012-01-04,1459,1468,1425,1435,1192757,M05,M00
3,2012-01-05,1449,1454,1382,1388,1559072,M05,M00
4,2012-01-06,1416,1459,1401,1421,1596307,K00,K02
5,2012-01-09,1430,1430,1373,1373,643343,M00,M00
6,2012-01-10,1378,1387,1363,1378,441439,K00,K00
7,2012-01-11,1378,1401,1373,1378,583840,K02,K02
8,2012-01-12,1378,1382,1316,1326,788517,M05,M00
9,2012-01-13,1325,1344,1306,1326,364831,K00,K00
10,2012-01-16,1311,1320,1273,1297,492730,M05,M00
11,2012-01-17,1301,1339,1301,1340,468257,P00,P00
12,2012-01-18,1339,1354,1306,1326,383878,M05,M00
13,2012-01-19,1330,1454,1325,1378,2419113,P05,P04
14,2012-01-20,1392,1416,1344,1345,793912,M05,M00
15,2012-01-25,1349,1349,1320,1330,341662,M01,M00
16,2012-01-26,1330,1349,1311,1330,432906,K00,K00
17,2012-01-27,1335,1368,1330,1330,442646,M04,M03
18,2012-01-30,1335,1344,1301,1302,372014,M05,M00
19,2012-01-31,1301,1316,1287,1287,444045,M03,M00
20,2012-02-01,1287,1320,1287,1307,296608,P03,P00
21,2012-02-02,1311,1325,1306,1316,336892,K00,K02
22,2012-02-03,1335,1363,1316,1335,737654,K00,K00
23,2012-02-06,1359,1363,1292,1307,515028,M05,M00
24,2012-02-07,1306,1320,1297,1311,276270,K00,K00
25,2012-02-08,1316,1382,1297,1359,1022267,P05,P00
26,2012-02-09,1363,1397,1339,1397,959360,P01,P00
27,2012-02-10,1392,1411,1368,1388,660645,M05,M00
28,2012-02-13,1392,1430,1378,1378,471267,M04,M03
29,2012-02-14,1382,1416,1373,1383,812409,K02,K02
30,2012-02-15,1387,1430,1382,1411,689881,P05,P00
31,2012-02-16,1416,1435,1382,1383,967381,M05,M00
32,2012-02-17,1392,1411,1382,1392,595219,K00,K02
33,2012-02-20,1401,1435,1397,1431,854949,P05,P00
34,2012-02-21,1430,1459,1425,1445,777976,P05,P00
35,2012-02-22,1587,1659,1583,1659,5821721,P01,P00
36,2012-02-23,1683,1821,1587,1626,13915421,M05,M05
37,2012-02-24,1645,1673,1592,1640,4191407,M05,M01
38,2012-02-27,1649,1692,1530,1555,4150771,M05,M03
39,2012-02-28,1530,1592,1502,1535,2609518,K00,K02
40,2012-02-29,1587,1587,1525,1531,1370038,M01,M00
41,2012-03-02,1535,1606,1525,1564,1724092,P05,P03
42,2012-03-05,1592,1616,1564,1597,1377773,K00,K00
43,2012-03-06,1602,1635,1564,1612,1858907,P05,P01
44,2012-03-07,1597,1654,1573,1655,2066695,P01,P00
45,2012-03-08,1688,1697,1573,1574,2628210,M05,M00
46,2012-03-09,1564,1645,1540,1645,1528794,P01,P00
47,2012-03-12,1654,1678,1606,1621,2052198,M05,M00
48,2012-03-13,1645,1726,1645,1698,5046806,P03,P00
49,2012-03-14,1702,1702,1549,1574,3444892,M01,M00
50,2012-03-15,1602,1606,1473,1483,3071873,M05,M00
51,2012-03-16,1492,1544,1449,1469,2319352,M05,M03
52,2012-03-19,1478,1506,1454,1459,1307598,M05,M00
53,2012-03-20,1468,1487,1449,1488,1579647,P01,P00
54,2012-03-21,1487,1487,1411,1411,1165016,M00,M00
55,2012-03-22,1416,1435,1335,1335,1251508,M03,M00
56,2012-03-23,1325,1382,1320,1369,590683,P05,P00
57,2012-03-26,1382,1401,1335,1335,521405,M03,M00
58,2012-03-27,1354,1382,1330,1335,830512,M05,M03
59,2012-03-28,1339,1392,1339,1392,1025290,P00,P00
60,2012-03-29,1387,1425,1359,1421,1247460,P05,P01
61,2012-03-30,1430,1454,1387,1388,897986,M05,M00
62,2012-04-02,1392,1592,1382,1593,10190675,P11,P10
63,2012-04-03,1635,1649,1482,1507,7096487,M05,M00
64,2012-04-04,1516,1578,1487,1545,4667235,P05,P03
65,2012-04-05,1535,1564,1344,1402,3540174,M05,M01
66,2012-04-06,1392,1459,1392,1397,1228406,K02,K02
67,2012-04-09,1373,1392,1287,1292,1661838,M05,M00
68,2012-04-10,1258,1316,1258,1273,1147992,P04,P03
69,2012-04-12,1292,1392,1277,1311,1741847,P05,P04
70,2012-04-13,1335,1373,1325,1349,801564,P05,P00
71,2012-04-16,1349,1382,1325,1354,799921,K00,K00
72,2012-04-17,1354,1378,1325,1335,595926,M05,M00
73,2012-04-18,1363,1397,1330,1335,566647,M05,M03
74,2012-04-19,1344,1378,1335,1354,732906,P05,P00
75,2012-04-20,1354,1368,1316,1316,697212,M03,M00
76,2012-04-23,1316,1325,1287,1287,664730,M03,M00
77,2012-04-24,1268,1297,1263,1292,581990,P05,P00
78,2012-04-25,1254,1273,1168,1178,2690895,M05,M00
79,2012-04-26,1192,1249,1177,1178,1275369,M05,M03
80,2012-04-27,1182,1196,1139,1149,555338,M05,M00
81,2012-04-30,1139,1177,1111,1149,577262,P05,P05
82,2012-05-02,1163,1192,1144,1183,293504,P05,P00
83,2012-05-03,1173,1215,1173,1192,350275,P03,P00
84,2012-05-04,1182,1220,1182,1202,318505,P03,P00
85,2012-05-07,1201,1235,1192,1192,475374,M04,M03
86,2012-05-08,1206,1220,1173,1197,292922,M05,M01
87,2012-05-09,1201,1201,1177,1178,248141,M01,M00
88,2012-05-10,1168,1196,1163,1197,253158,P01,P00
89,2012-05-11,1215,1254,1192,1216,1092768,K00,K00
90,2012-05-14,1220,1268,1163,1178,923344,M05,M03
91,2012-05-15,1168,1168,1125,1144,420281,M01,M00
92,2012-05-16,1134,1173,1115,1116,220095,M05,M03
93,2012-05-17,1106,1163,1106,1135,411048,P03,P03
94,2012-05-18,1111,1125,1068,1068,355310,M03,M00
95,2012-05-21,1058,1096,1049,1063,219232,K00,K02
96,2012-05-22,1082,1115,1082,1111,260594,P03,P00
97,2012-05-23,1111,1111,1082,1092,165914,M01,M00
98,2012-05-24,1096,1120,1082,1116,239787,P05,P00
99,2012-05-25,1120,1211,1120,1140,647966,P04,P04
100,2012-05-29,1134,1153,1130,1140,182987,P05,P00
101,2012-05-30,1149,1168,1120,1144,288245,M05,M01
102,2012-05-31,1125,1139,1096,1111,323273,M05,M00
103,2012-06-01,1115,1134,1106,1111,341707,M05,M00
104,2012-06-04,1063,1091,1010,1030,439068,M05,M03
105,2012-06-05,1053,1096,1034,1068,284779,P05,P03
106,2012-06-07,1091,1106,1087,1097,197622,P05,P00
107,2012-06-08,1101,1130,1091,1092,473103,M05,M03
108,2012-06-11,1096,1139,1096,1135,323266,P03,P00
109,2012-06-12,1144,1177,1134,1144,531457,K02,K02
110,2012-06-13,1153,1153,1115,1125,219127,M01,M00
111,2012-06-14,1125,1153,1111,1116,339408,M05,M03
112,2012-06-15,1130,1134,1111,1116,281367,M05,M00
113,2012-06-18,1144,1144,1125,1130,210720,M01,M00
114,2012-06-19,1134,1153,1125,1154,328865,P01,P00
115,2012-06-20,1182,1201,1153,1154,558603,M05,M00
116,2012-06-21,1153,1182,1149,1154,423295,K02,K02
117,2012-06-22,1149,1201,1134,1202,834304,P01,P00
118,2012-06-25,1220,1354,1215,1273,2492797,P05,P04
119,2012-06-26,1254,1349,1215,1230,2648049,M05,M04
120,2012-06-27,1244,1249,1182,1183,426170,M05,M00
