,date,open,high,low,close,volume,pattern1,pattern2,pattern3,nasdaq
0,2012-01-02,2344,2344,2283,2284,36286,M01,,,
1,2012-01-03,2283,2625,2283,2618,35667,P13,M00P13,,
2,2012-01-04,2810,2810,2458,2636,20410,M01,P10M01,S02M01,U04
3,2012-01-05,2643,2836,2634,2636,15819,M05,M00M05,S05M05,T01
4,2012-01-06,2616,2616,2520,2521,20846,M01,M00M01,M10M01,U04
5,2012-01-09,2616,2616,2494,2521,20491,M01,M00M01,M10M01,U02
6,2012-01-10,2582,2582,2503,2503,14689,M00,M00M00,M10M00,U01
7,2012-01-11,2546,2546,2503,2503,11333,M00,M00M00,M10M00,U04
8,2012-01-12,2512,2512,2458,2460,3450,M01,M00M01,M10M01,U04
9,2012-01-13,2397,2564,2397,2460,10964,P03,M00P03,M10P03,U04
10,2012-01-16,2476,2503,2476,2494,3556,P03,P00P03,S08P03,U04
11,2012-01-17,2423,2511,2423,2468,1465,P03,P00P03,P10P03,D04
12,2012-01-18,2458,2520,2388,2521,7530,P01,P00P01,P10P01,U04
13,2012-01-19,2520,2546,2520,2548,3603,P00,P00P00,P10P00,U04
14,2012-01-20,2582,2582,2546,2548,9945,M01,P00M01,P10M01,U04
15,2012-01-25,2546,2564,2476,2503,4300,M05,M00M05,S03M05,U01
16,2012-01-26,2520,2546,2476,2512,7356,M05,M00M05,M10M05,U04
17,2012-01-27,2529,2573,2512,2573,3414,P01,M00P01,M10P01,D04
18,2012-01-30,2573,2652,2546,2548,39339,M05,P00M05,S01M05,U04
19,2012-01-31,2555,2634,2546,2548,18555,M05,M00M05,S03M05,T01
20,2012-02-01,2915,2915,2529,2530,15747,M11,M00M11,S04M11,U01
21,2012-02-02,2529,2573,2529,2530,11740,K02,M10K02,M10K02,U04
22,2012-02-03,2537,2573,2537,2573,10386,P00,K00P00,S08P00,U04
23,2012-02-06,2591,2591,2582,2591,9212,K01,P00K01,P10K01,U04
24,2012-02-07,2687,2704,2582,2627,5963,M05,K00M05,P10M05,T01
25,2012-02-08,2643,2652,2616,2636,5167,M05,M00M05,S05M05,U01
26,2012-02-09,2546,2687,2546,2688,14791,P00,M00P00,M10P00,U04
