,date,open,high,low,close,volume,pattern1
0,2017-04-27,8775,9100,7625,7763,1516672,M15
1,2017-04-28,7575,8212,7550,7988,525860,P05
2,2017-05-02,8012,8612,7737,8075,285992,P05
3,2017-05-04,8000,8250,7887,8013,84844,K00
4,2017-05-08,8000,8262,7950,8100,91544,P05
5,2017-05-10,8100,8562,7950,8375,107535,P05
6,2017-05-11,8487,8762,8250,8688,123169,P05
7,2017-05-12,8562,8675,8412,8613,92739,P05
8,2017-05-15,8700,8700,8462,8463,36989,M01
9,2017-05-16,8462,8500,8100,8413,53357,M05
10,2017-05-17,8437,8437,8125,8213,45996,M01
11,2017-05-18,8000,8362,7925,8313,42687,P05
12,2017-05-19,8237,8762,8237,8438,42214,P03
13,2017-05-22,8725,8725,8262,8375,20727,M01
14,2017-05-23,8337,8525,8175,8175,18187,M03
15,2017-05-24,8100,8362,8000,8338,62203,P05
16,2017-05-25,8275,8575,8150,8338,38745,P05
17,2017-05-26,8337,8437,8200,8213,18140,M05
18,2017-05-29,7975,9587,7962,9288,481903,P15
19,2017-05-30,9237,9900,9175,9563,230661,P05
20,2017-05-31,9612,10237,9462,9975,231621,P05
21,2017-06-01,9950,10500,9875,10150,116906,P05
22,2017-06-02,10125,10125,9737,9975,62610,M01
23,2017-06-05,10075,10075,9612,9700,43134,M01
24,2017-06-07,9700,10575,9700,10525,152194,P03
25,2017-06-08,10675,10675,10237,10338,65347,M01
26,2017-06-09,10500,10675,10200,10550,87858,K00
27,2017-06-12,10325,10475,10025,10075,77800,M05
28,2017-06-13,10000,10200,9950,10063,52393,P05
29,2017-06-14,10062,10250,9737,9925,41594,M05
30,2017-06-15,9775,9875,9400,9800,72805,K01
31,2017-06-16,9750,9975,9550,9938,24281,P05
32,2017-06-19,10212,10875,9937,10775,169567,P05
33,2017-06-20,10800,11062,10500,10563,99842,M05
34,2017-06-21,10575,10750,10187,10563,26629,M05
35,2017-06-22,10662,10825,10125,10138,47809,M05
36,2017-06-23,10237,10750,10112,10688,77630,P05
37,2017-06-26,10825,11150,10500,10625,84763,M05
38,2017-06-27,10375,10900,10250,10813,148499,P05
39,2017-06-28,10700,10912,10500,10650,115991,M05
40,2017-06-29,10675,10700,10362,10650,55850,M05
41,2017-06-30,10450,10637,10350,10475,61378,K00
42,2017-07-03,10587,10587,10075,10200,52238,M01
43,2017-07-04,10075,10287,9925,10000,39409,M05
44,2017-07-05,9925,10337,9925,10300,20806,P03
45,2017-07-06,10337,10437,10187,10300,20867,M05
46,2017-07-07,10187,10237,10012,10050,35511,M05
47,2017-07-10,10025,10437,9900,10438,31180,P01
48,2017-07-11,10525,11250,10500,11200,161832,P05
49,2017-07-12,11300,11825,11125,11463,110756,P05
50,2017-07-13,11625,11724,11275,11550,55120,M05
51,2017-07-14,11599,12375,11599,12013,63088,P03
52,2017-07-17,12012,12362,11675,12213,42636,P05
53,2017-07-18,12287,12725,12086,12225,74647,M05
54,2017-07-19,12275,12275,11712,11788,79036,M01
55,2017-07-20,11825,12162,11700,11950,50893,P05
56,2017-07-21,12062,12462,11812,12213,42235,P05
57,2017-07-24,12150,12674,12125,12488,48694,P05
58,2017-07-25,12625,12625,12050,12125,30083,M01
59,2017-07-26,12225,12237,11437,11788,79333,M05
60,2017-07-27,11787,11925,11575,11700,21249,M05
61,2017-07-28,11525,11525,10200,10363,257018,M11
62,2017-07-31,10400,10650,10125,10513,86066,P05
63,2017-08-01,10400,10612,10200,10325,50442,M05
64,2017-08-02,10512,11112,10500,10950,118114,P05
65,2017-08-03,10937,10937,10150,10288,82492,M01
66,2017-08-04,10200,10500,9912,10288,57665,P05
67,2017-08-07,10412,10825,10400,10625,43410,P05
68,2017-08-08,10625,10825,10512,10825,22844,P01
69,2017-08-09,10750,10750,10550,10550,19648,M00
70,2017-08-10,10550,10687,10125,10525,47089,M05
71,2017-08-11,10362,10475,10112,10425,35460,P05
72,2017-08-14,10475,10750,10350,10363,26257,M05
73,2017-08-16,10625,10800,10375,10425,48879,M05
74,2017-08-17,10462,10800,10450,10725,25017,P05
75,2017-08-18,10612,10900,10525,10738,35456,P05
76,2017-08-21,10887,10887,10662,10763,19202,M01
77,2017-08-22,10725,10912,10637,10638,26776,M05
78,2017-08-23,10687,10900,10437,10500,25646,M05
79,2017-08-24,10487,10762,10225,10725,54869,P05
80,2017-08-25,10725,11112,10550,11075,41322,P05
81,2017-08-28,11037,11112,10825,10900,25365,M05
82,2017-08-29,10887,11062,10662,11063,29535,P01
83,2017-08-30,11100,11675,11075,11625,58165,P05
84,2017-08-31,11750,12125,11549,12125,46858,P01
85,2017-09-01,12237,12237,11787,12050,45273,M01
86,2017-09-04,11524,12049,11524,11675,31982,P04
87,2017-09-05,11687,11787,11262,11350,35421,M05
88,2017-09-06,11350,11587,11200,11550,15565,P05
89,2017-09-07,11500,11937,11375,11638,16137,P05
90,2017-09-08,11637,12237,11600,11988,26629,P05
91,2017-09-11,12175,12175,11712,11975,32060,M01
92,2017-09-12,11975,12549,11875,12063,39719,P05
93,2017-09-13,12112,12250,12000,12050,18820,M05
94,2017-09-14,12137,12150,11625,11800,16462,M05
95,2017-09-15,11649,12000,11649,11875,13173,P03
96,2017-09-18,11875,12012,11837,11888,20496,K00
97,2017-09-19,11837,11900,11400,11638,21094,M05
98,2017-09-20,11637,11825,11475,11550,7644,M05
99,2017-09-21,11849,11849,11362,11438,18492,M01
100,2017-09-22,11525,11612,11062,11138,18184,M05
101,2017-09-25,11012,11537,10662,10813,17385,M05
102,2017-09-26,10575,11000,10575,10938,8224,P03
103,2017-09-27,10937,11112,10750,11000,15428,P05
104,2017-09-28,11125,11125,10650,10700,11525,M01
105,2017-09-29,10700,10875,10662,10875,14058,P01
106,2017-10-10,10762,10937,10587,10625,14923,M05
107,2017-10-11,10875,11250,10625,10888,12938,K00
108,2017-10-12,10925,11337,10887,11100,27589,P05
109,2017-10-13,11175,11250,10862,10950,17288,M05
110,2017-10-16,11075,11175,10425,10475,18199,M05
111,2017-10-17,10375,10587,10137,10350,27757,M05
112,2017-10-18,10400,10400,10062,10363,14047,M02
113,2017-10-19,10350,10462,10175,10438,7389,P05
114,2017-10-20,10437,10437,10275,10400,4290,M02
115,2017-10-23,10300,10375,10050,10238,26038,M05
116,2017-10-24,10237,10350,10175,10313,9344,P05
117,2017-10-25,10375,10637,10250,10575,19555,P05
118,2017-10-26,10500,10900,10175,10325,27009,M05
119,2017-10-27,10325,10550,10000,10300,44520,M05
120,2017-10-30,10200,10537,10150,10225,7856,K02
121,2017-10-31,10375,10375,10225,10275,6299,M01
122,2017-11-01,10275,10412,10275,10275,19309,K02
123,2017-11-02,10275,10412,10025,10275,16810,K00
124,2017-11-03,10400,10500,10125,10338,13306,M05
125,2017-11-06,10200,10400,10100,10225,9378,K00
126,2017-11-07,10162,10600,10162,10500,22942,P03
127,2017-11-08,10500,11200,10500,10963,67629,P03
