,종목코드,회사명,업종
0,000020,동화약품,의약품 제조업
1,000040,KR모터스,그외 기타 운송장비 제조업
2,000050,경방,종합 소매업
3,000060,메리츠화재,보험업
4,000070,삼양홀딩스,기타 금융업
5,000080,하이트진로,알코올음료 제조업
6,000100,유한양행,의약품 제조업
7,000120,CJ대한통운,도로 화물 운송업
8,000140,하이트진로홀딩스,기타 금융업
9,000150,두산,회사 본부 및 경영 컨설팅 서비스업
10,000180,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
11,000210,대림산업,토목 건설업
12,000220,유유제약,의약품 제조업
13,000230,일동홀딩스,의약품 제조업
14,000240,한국테크놀로지그룹,기타 금융업
15,000250,삼천당제약,의약품 제조업
16,000270,기아차,자동차용 엔진 및 자동차 제조업
17,000300,대유플러스,통신 및 방송 장비 제조업
18,000320,노루홀딩스,기타 금융업
19,000370,한화손해보험,보험업
20,000390,삼화페인트,기타 화학제품 제조업
21,000400,롯데손해보험,보험업
22,000430,대원강업,자동차 신품 부품 제조업
23,000440,중앙에너비스,기타 전문 도매업
24,000480,조선내화,"내화, 비내화 요업제품 제조업"
25,000490,대동공업,특수 목적용 기계 제조업
26,000500,가온전선,절연선 및 케이블 제조업
27,000520,삼일제약,의약품 제조업
28,000540,흥국화재,보험업
29,000590,CS홀딩스,기타 금융업
30,000640,동아쏘시오홀딩스,기타 금융업
31,000650,천일고속,육상 여객 운송업
32,000660,SK하이닉스,반도체 제조업
33,000670,영풍,1차 비철금속 제조업
34,000680,LS네트웍스,상품 종합 도매업
35,000700,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
36,000720,현대건설,토목 건설업
37,000760,이화산업,기타 전문 도매업
38,000810,삼성화재,보험업
39,000850,화천기공,특수 목적용 기계 제조업
40,000860,강남제비스코,기타 화학제품 제조업
41,000880,한화,기타 화학제품 제조업
42,000890,보해양조,알코올음료 제조업
43,000910,유니온,"시멘트, 석회, 플라스터 및 그 제품 제조업"
44,000950,전방,방적 및 가공사 제조업
45,000970,한국주철관,1차 철강 제조업
46,000990,DB하이텍,반도체 제조업
47,001000,신라섬유,가전제품 및 정보통신장비 소매업
48,001020,페이퍼코리아,"펄프, 종이 및 판지 제조업"
49,001040,CJ,기타 금융업
50,001060,JW중외제약,의약품 제조업
51,001070,대한방직,직물직조 및 직물제품 제조업
52,001080,만호제강,1차 철강 제조업
53,001120,LG상사,상품 중개업
54,001130,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
55,001140,국보,도로 화물 운송업
56,001200,유진투자증권,금융 지원 서비스업
57,001210,금호전기,전구 및 조명장치 제조업
58,001230,동국제강,1차 철강 제조업
59,001250,GS글로벌,상품 종합 도매업
60,001260,남광토건,토목 건설업
61,001270,부국증권,금융 지원 서비스업
62,001290,상상인증권,금융 지원 서비스업
63,001340,백광산업,기초 화학물질 제조업
64,001360,삼성제약,의약품 제조업
65,001380,SG충방,자동차 신품 부품 제조업
66,001390,KG케미칼,기초 화학물질 제조업
67,001420,태원물산,자동차 신품 부품 제조업
68,001430,세아베스틸,1차 철강 제조업
69,001440,대한전선,절연선 및 케이블 제조업
70,001450,현대해상,보험업
71,001460,BYC,봉제의복 제조업
72,001470,삼부토건,토목 건설업
73,001500,현대차증권,금융 지원 서비스업
74,001510,SK증권,금융 지원 서비스업
75,001520,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
76,001530,DI동일,상품 중개업
77,001540,안국약품,의약품 제조업
78,001550,조비,"비료, 농약 및 살균, 살충제 제조업"
79,001560,제일연마,기타 비금속 광물제품 제조업
80,001570,금양,기초 화학물질 제조업
81,001620,케이비아이동국실업,자동차 신품 부품 제조업
82,001630,종근당홀딩스,의약품 제조업
83,001680,대상,기타 식품 제조업
84,001720,신영증권,금융 지원 서비스업
85,001740,SK네트웍스,기타 전문 도매업
86,001750,한양증권,금융 지원 서비스업
87,001770,신화실업,1차 철강 제조업
88,001780,알루코,1차 비철금속 제조업
89,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업"
90,001800,오리온홀딩스,기타 금융업
91,001810,무림SP,"펄프, 종이 및 판지 제조업"
92,001820,삼화콘덴서,전자부품 제조업
93,001840,이화공영,건물 건설업
94,001880,대림건설,건물 건설업
95,001940,KISCO홀딩스,1차 철강 제조업
96,002020,코오롱,기타 금융업
97,002030,아세아,회사 본부 및 경영 컨설팅 서비스업
98,002070,비비안,봉제의복 제조업
99,002100,경농,"비료, 농약 및 살균, 살충제 제조업"
100,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
101,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
102,002170,삼양통상,"가죽, 가방 및 유사제품 제조업"
103,002200,한국수출포장,"골판지, 종이 상자 및 종이용기 제조업"
104,002210,동성제약,의약품 제조업
105,002220,한일철강,1차 철강 제조업
