,날짜,종목코드,회사명,거래량
6901,2020-06-01,144510,녹십자랩셀,252539.0
3822,2020-06-01,049480,오픈베이스,2387425.0
345,2020-06-01,001800,오리온홀딩스,111411.0
6207,2020-06-01,106240,파인테크닉스,1675867.0
6942,2020-06-01,145720,덴티움,40011.0
6928,2020-06-01,145020,휴젤,15205.0
6441,2020-06-01,122310,제노레이,233664.0
1087,2020-06-01,006910,보성파워텍,446435.0
5132,2020-06-01,080000,에스엔유,2562369.0
7684,2020-06-01,215100,로보로보,40329215.0
8390,2020-06-01,263800,데이타솔루션,1415617.0
8371,2020-06-01,263720,디앤씨미디어,112712.0
8821,2020-06-01,308170,센트랄모텍,234289.0
7692,2020-06-01,215380,우정바이오,286416.0
3882,2020-06-01,051160,지어소프트,347529.0
7701,2020-06-01,215480,토박스코리아,2104144.0
313,2020-06-01,001680,대상,164355.0
5484,2020-06-01,089030,테크윙,879612.0
2278,2020-06-01,024800,유성티엔에스,48559.0
5732,2020-06-01,094360,칩스앤미디어,378145.0
8827,2020-06-01,311390,네오크레마,299253.0
3869,2020-06-01,050960,수산아이앤티,12182.0
7653,2020-06-01,214430,아이쓰리시스템,106614.0
3809,2020-06-01,049120,파인디앤씨,1019524.0
2406,2020-06-01,026040,제이에스티나,94509.0
407,2020-06-01,002350,넥센타이어,190835.0
403,2020-06-01,002320,한진,106275.0
8773,2020-06-01,303030,지니틱스,501783.0
2526,2020-06-01,029460,케이씨,138540.0
398,2020-06-01,002290,삼일기업공사,121687.0
999,2020-06-01,006120,SK디스커버리,128589.0
4731,2020-06-01,068240,다원시스,355688.0
392,2020-06-01,002210,동성제약,109613.0
1012,2020-06-01,006260,LS,74153.0
8409,2020-06-01,263860,지니언스,28850.0
1023,2020-06-01,006280,녹십자,87824.0
6217,2020-06-01,108320,실리콘웍스,609521.0
2452,2020-06-01,027410,BGF,82122.0
2429,2020-06-01,026960,동서,90773.0
6212,2020-06-01,108230,톱텍,1736951.0
8400,2020-06-01,263810,상신전자,207993.0
3778,2020-06-01,048770,TPC,102465.0
364,2020-06-01,002020,코오롱,51423.0
3788,2020-06-01,048870,시너지이노베이션,399443.0
6958,2020-06-01,148150,세경하이테크,300640.0
359,2020-06-01,001840,이화공영,124863.0
5875,2020-06-01,096760,JW홀딩스,309400.0
2260,2020-06-01,024720,한국콜마홀딩스,96764.0
2253,2020-06-01,024060,흥구석유,496738.0
7725,2020-06-01,217480,에스디생명공학,134086.0
5195,2020-06-01,082210,옵트론텍,200047.0
