,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,98.42,P0,M0,그린케미칼,83420,2020-10-30,U04
0,90.39,P0,M0,파이오링크,170790,2020-10-30,U04
0,88.88,P0,M0,이엑스티,226360,2020-10-30,U04
0,81.02,P0,M0,세진중공업,75580,2020-10-30,U04
0,76.19,P0,M0,SK하이닉스,660,2020-10-30,U04
0,98.72,P0,K0,삼기,122350,2020-10-29,D04
0,94.46,P0,K0,동국산업,5160,2020-10-29,D04
0,83.84,P0,P0,동일고무벨트,163560,2020-10-29,D04
0,82.31,P0,P0,대웅제약,69620,2020-10-29,D04
0,81.8,P0,M0,화신,10690,2020-10-29,D04
0,92.22,P0,K0,제룡전기,33100,2020-10-28,U04
0,90.88,P0,P0,화성산업,2460,2020-10-28,U04
0,90.3,P0,P0,세진중공업,75580,2020-10-28,U04
0,89.16,P0,P0,코스나인,82660,2020-10-28,U04
0,88.64,P0,P0,디앤씨미디어,263720,2020-10-28,U04
0,94.46,P0,P0,코스맥스엔비티,222040,2020-10-27,D04
0,84.92,P0,P0,네오오토,212560,2020-10-27,D04
0,83.88,P0,P0,유니테스트,86390,2020-10-27,D04
0,83.64,P0,K0,대웅제약,69620,2020-10-27,D04
0,82.58,P0,K0,구영테크,53270,2020-10-27,D04
0,98.91,P0,P0,프리엠스,53160,2020-10-26,U04
0,91.91,P0,M0,인터로조,119610,2020-10-26,U04
0,91.23,P0,M0,데일리블록체인,139050,2020-10-26,U04
0,91.11,P0,M0,넥스트BT,65170,2020-10-26,U04
0,83.53,P0,P0,세동,53060,2020-10-26,U04
0,93.2,P0,K0,대호에이엘,69460,2020-10-23,U03
0,89.44,P0,P0,화성산업,2460,2020-10-23,U03
0,88.77,P0,P0,녹십자랩셀,144510,2020-10-23,U03
0,88.23,P0,M0,캠시스,50110,2020-10-23,U03
0,81.22,P0,P0,UCI,38340,2020-10-23,U03
0,96.97,P0,P0,케이사인,192250,2020-10-22,D04
0,96.0,P0,P0,제이브이엠,54950,2020-10-22,D04
0,87.54,P0,M1,이퓨쳐,134060,2020-10-22,D04
0,84.98,P0,M0,녹십자홀딩스,5250,2020-10-22,D04
0,81.09,P0,M0,ISC,95340,2020-10-22,D04
0,100.0,P0,P0,오텍,67170,2020-10-21,U04
0,100.0,P0,P0,세우글로벌,13000,2020-10-21,U04
0,96.52,P0,P0,GKL,114090,2020-10-21,U04
0,88.28,P0,M0,쌍용차,3620,2020-10-21,U04
0,86.18,P0,M0,에이스테크,88800,2020-10-21,U04
0,100.0,P0,P0,영우디에스피,143540,2020-10-20,D04
0,100.0,P0,P0,유진테크,84370,2020-10-20,D04
0,98.49,P0,P0,씨에스윈드,112610,2020-10-20,D04
0,96.13,P0,P0,얼라인드,238120,2020-10-20,D04
0,89.67,P0,P0,예스티,122640,2020-10-20,D04
0,100.0,P0,M0,뉴보텍,60260,2020-10-19,D04
0,99.59,P0,M0,성우하이텍,15750,2020-10-19,D04
0,98.77,P0,P0,케어젠,214370,2020-10-19,D04
0,87.93,P0,P0,KSS해운,44450,2020-10-19,D04
0,86.97,P0,M0,테스나,131970,2020-10-19,D04
0,99.58,P0,K0,제이씨케미칼,137950,2020-10-16,D04
0,90.65,P0,P0,코리안리,3690,2020-10-16,D04
0,89.54,P0,M0,3S,60310,2020-10-16,D04
0,89.18,P0,M0,한솔테크닉스,4710,2020-10-16,D04
0,84.94,P0,M0,피엔티,137400,2020-10-16,D04
0,97.98,P0,M0,STX중공업,71970,2020-10-15,D04
0,93.17,P0,M0,두올,16740,2020-10-15,D04
0,86.88,P0,M0,알루코,1780,2020-10-15,D04
0,85.68,P0,M0,현대에이치씨엔,126560,2020-10-15,D04
0,84.6,P0,P0,현대모비스,12330,2020-10-15,D04
0,100.0,P0,M0,DB손해보험,5830,2020-10-14,T01
0,98.45,P0,M0,인터로조,119610,2020-10-14,T01
0,91.8,P0,M0,신성통상,5390,2020-10-14,T01
0,91.54,P0,P0,형지엘리트,93240,2020-10-14,T01
0,90.45,P0,M0,하나금융지주,86790,2020-10-14,T01
0,100.0,P0,M0,에스코넥,96630,2020-10-13,U04
0,100.0,P0,M0,멕아이씨에스,58110,2020-10-13,U04
0,100.0,P0,M0,이엑스티,226360,2020-10-13,U04
0,98.05,P0,M0,알에프텍,61040,2020-10-13,U04
0,96.51,P0,P0,옴니시스템,57540,2020-10-13,U04
0,100.0,P0,P0,사람인에이치알,143240,2020-10-12,U04
0,98.32,P0,P0,대림건설,1880,2020-10-12,U04
0,94.85,P0,P0,지니뮤직,43610,2020-10-12,U04
0,94.34,P0,P0,알루코,1780,2020-10-12,U04
0,90.11,P0,M0,멕아이씨에스,58110,2020-10-12,U04
0,100.0,P0,P0,투비소프트,79970,2020-10-08,U04
0,99.34,P0,M0,동아화성,41930,2020-10-08,U04
0,92.35,P0,M0,비츠로셀,82920,2020-10-08,U04
0,84.68,P0,P0,제로투세븐,159580,2020-10-08,U04
0,82.51,P0,P0,펄어비스,263750,2020-10-08,U04
0,100.0,P0,K0,화신,10690,2020-10-07,D04
0,91.33,P0,P0,메지온,140410,2020-10-07,D04
0,86.61,P0,M0,크루셜텍,114120,2020-10-07,D04
0,85.47,P0,P0,GV,45890,2020-10-07,D04
0,83.06,P0,M0,오스템,31510,2020-10-07,D04
0,83.82,P0,M0,성우테크론,45300,2020-10-06,U04
0,82.15,P0,P0,현대약품,4310,2020-10-06,U04
0,79.06,P0,M0,써니전자,4770,2020-10-06,U04
0,74.25,P0,M0,대창솔루션,96350,2020-10-06,U04
0,70.67,P0,P0,실리콘웍스,108320,2020-10-06,U04
0,97.33,P0,M0,케이피티유,54410,2020-10-05,D04
0,91.17,P0,P0,네패스,33640,2020-10-05,D04
0,89.4,P0,K0,에코프로,86520,2020-10-05,D04
0,87.47,P0,P1,케이프,64820,2020-10-05,D04
0,87.09,P0,M0,현대해상,1450,2020-10-05,D04
0,92.49,P0,M0,인트론바이오,48530,2020-09-29,U04
0,86.84,P0,P0,서연이화,200880,2020-09-29,U04
0,86.06,P0,P0,동우팜투테이블,88910,2020-09-29,U04
0,84.75,P0,P0,케이프,64820,2020-09-29,U04
0,79.57,P0,P0,옵티시스,109080,2020-09-29,U04
0,100.0,P0,M0,화승엔터프라이즈,241590,2020-09-28,U04
0,85.46,P0,P0,제닉,123330,2020-09-28,U04
0,83.75,P0,P0,파이오링크,170790,2020-09-28,U04
0,83.74,P0,P0,SG충방,1380,2020-09-28,U04
0,82.25,P0,P0,풍국주정,23900,2020-09-28,U04
0,100.0,P0,M1,신풍제약,19170,2020-09-25,U04
0,100.0,P0,P1,대아티아이,45390,2020-09-25,U04
0,99.08,P0,M0,현대바이오랜드,52260,2020-09-25,U04
0,92.69,P0,K0,아이씨디,40910,2020-09-25,U04
0,92.38,P0,P0,코스맥스엔비티,222040,2020-09-25,U04
0,99.06,P0,M0,코메론,49430,2020-09-24,D04
0,89.58,P0,M0,영원무역홀딩스,9970,2020-09-24,D04
0,86.56,P0,M0,KT서브마린,60370,2020-09-24,D04
0,86.22,P0,P0,인지컨트롤스,23800,2020-09-24,D04
0,82.41,P0,M0,LG하우시스,108670,2020-09-24,D04
0,100.0,P0,P0,이엑스티,226360,2020-09-23,U04
0,91.57,P0,P0,모나리자,12690,2020-09-23,U04
0,90.33,P0,M0,엔케이,85310,2020-09-23,U04
0,87.73,P0,M0,오리온,271560,2020-09-23,U04
0,86.02,P0,M0,신세계,4170,2020-09-23,U04
0,100.0,P0,M0,삼영엠텍,54540,2020-09-22,T01
0,99.06,P0,M0,GST,83450,2020-09-22,T01
0,99.02,P0,M0,혜인,3010,2020-09-22,T01
0,94.93,P0,M0,민앤지,214180,2020-09-22,T01
0,91.38,P0,M0,에프에스티,36810,2020-09-22,T01
0,100.0,P0,M0,스페코,13810,2020-09-21,D04
0,93.12,P0,M0,갤럭시아에스엠,11420,2020-09-21,D04
0,91.38,P0,P0,크라운해태홀딩스,5740,2020-09-21,D04
0,89.72,P0,M0,토비스,51360,2020-09-21,D04
0,89.61,P0,P0,이화전기,24810,2020-09-21,D04
0,97.64,P0,P0,씨에스윈드,112610,2020-09-18,D04
0,92.76,P0,M0,네스엠,56000,2020-09-18,D04
0,91.99,P0,M0,한올바이오파마,9420,2020-09-18,D04
0,91.89,P0,M0,한국주철관,970,2020-09-18,D04
0,90.91,P0,P0,씨앤지하이테크,264660,2020-09-18,D04
0,100.0,P0,M0,화성밸브,39610,2020-09-17,D04
0,100.0,P0,P0,장원테크,174880,2020-09-17,D04
0,97.49,P0,P0,율호,72770,2020-09-17,D04
0,94.14,P0,P0,유나이티드제약,33270,2020-09-17,D04
0,93.61,P0,P0,와이지-원,19210,2020-09-17,D04
0,96.99,P0,P0,루미마이크로,82800,2020-09-16,U04
0,95.47,P0,P0,동국S&C,100130,2020-09-16,U04
0,90.61,P0,M0,세화피앤씨,252500,2020-09-16,U04
0,81.11,P0,M0,디지캡,197140,2020-09-16,U04
0,79.01,P0,M0,상상인,38540,2020-09-16,U04
0,89.43,P0,P0,KG케미칼,1390,2020-09-15,U04
0,81.56,P0,M0,동서,26960,2020-09-15,U04
0,78.1,P0,P0,녹십자랩셀,144510,2020-09-15,U04
0,75.69,P0,P0,HMM,11200,2020-09-15,U04
0,75.11,P0,P0,우리들제약,4720,2020-09-15,U04
0,100.0,P0,M0,선데이토즈,123420,2020-09-14,D04
0,93.87,P0,K0,대원전선,6340,2020-09-14,D04
0,93.31,P0,P1,유테크,178780,2020-09-14,D04
0,87.94,P0,K0,효성,4800,2020-09-14,D04
0,86.76,P0,M0,이라이콤,41520,2020-09-14,D04
0,97.04,P0,M0,휴메딕스,200670,2020-09-11,D04
0,90.04,P0,M0,OQP,78590,2020-09-11,D04
0,89.24,P0,M0,나노캠텍,91970,2020-09-11,D04
0,84.54,P0,M0,세코닉스,53450,2020-09-11,D04
0,80.32,P0,P0,SK디앤디,210980,2020-09-11,D04
0,91.67,P0,M0,라이브플렉스,50120,2020-09-10,U04
0,91.47,P0,M0,아모레퍼시픽,90430,2020-09-10,U04
0,90.55,P0,M0,스페코,13810,2020-09-10,U04
0,81.82,P0,M0,필옵틱스,161580,2020-09-10,U04
0,76.51,P0,P0,크라운해태홀딩스,5740,2020-09-10,U04
0,99.65,P0,M0,오텍,67170,2020-09-09,D04
0,96.24,P0,P0,JTC,950170,2020-09-09,D04
0,84.72,P0,P1,한솔홈데코,25750,2020-09-09,D04
0,83.24,P0,M0,기아차,270,2020-09-09,D04
0,81.58,P0,M0,파커스,65690,2020-09-09,D04
0,100.0,P0,M0,키움증권,39490,2020-09-08,D04
0,86.22,P0,M0,엠에스오토텍,123040,2020-09-08,D04
0,85.53,P0,M0,CS홀딩스,590,2020-09-08,D04
0,84.63,P0,M0,브이원텍,251630,2020-09-08,D04
0,83.24,P0,M0,매직마이크로,127160,2020-09-08,D04
0,86.05,P0,M0,삼성제약,1360,2020-09-07,D04
0,84.01,P0,P0,일진다이아,81000,2020-09-07,D04
0,76.65,P0,P0,한국정보통신,25770,2020-09-07,D04
0,75.46,P0,M0,THE E&M,89230,2020-09-07,D04
0,74.81,P0,M0,슈피겐코리아,192440,2020-09-07,D04
0,96.09,P0,P0,케이사인,192250,2020-09-04,D04
0,90.45,P0,P0,성도이엔지,37350,2020-09-04,D04
0,85.55,P0,P1,에코프로,86520,2020-09-04,D04
0,83.92,P0,P0,한진칼,180640,2020-09-04,D04
0,79.67,P0,P0,이건홀딩스,39020,2020-09-04,D04
0,100.0,P1,M0,EDGC,245620,2020-09-03,U04
0,99.32,P0,P0,부국철강,26940,2020-09-03,U04
0,97.63,P0,M0,셀트리온,68270,2020-09-03,U04
0,95.4,P0,K0,일진머티리얼즈,20150,2020-09-03,U04
0,91.26,P0,P0,영우디에스피,143540,2020-09-03,U04
0,89.67,P0,P0,뉴파워프라즈마,144960,2020-09-02,U04
0,86.46,P0,P0,뉴지랩,214870,2020-09-02,U04
0,86.02,P0,P0,에프엔씨엔터,173940,2020-09-02,U04
0,84.87,P0,M0,휴켐스,69260,2020-09-02,U04
0,84.51,P0,M0,네이처셀,7390,2020-09-02,U04
0,92.54,P0,M0,케이프,64820,2020-09-01,U04
0,86.3,P1,P0,제이엠티,94970,2020-09-01,U04
0,84.23,P0,P0,텔레필드,91440,2020-09-01,U04
0,79.32,P0,M0,코스맥스비티아이,44820,2020-09-01,U04
0,78.38,P0,P0,코세스,89890,2020-09-01,U04
0,89.79,P0,P1,나이벡,138610,2020-08-31,U04
0,85.47,P0,M0,가비아,79940,2020-08-31,U04
0,83.29,P0,P0,동우팜투테이블,88910,2020-08-31,U04
0,78.46,P0,M0,금강철강,53260,2020-08-31,U04
0,77.98,P0,M0,필옵틱스,161580,2020-08-31,U04
0,96.17,P0,P0,유진기업,23410,2020-08-28,D04
0,91.9,P0,P0,현대제철,4020,2020-08-28,D04
0,89.33,P0,M0,시노펙스,25320,2020-08-28,D04
0,87.07,P0,M0,녹십자홀딩스,5250,2020-08-28,D04
0,83.01,P1,M0,데이타솔루션,263800,2020-08-28,D04
0,91.27,P0,M0,토탈소프트,45340,2020-08-27,U04
0,83.83,P0,M0,진도,88790,2020-08-27,U04
0,77.27,P0,P0,멕아이씨에스,58110,2020-08-27,U04
0,75.13,P0,P0,창해에탄올,4650,2020-08-27,U04
0,75.07,P0,M0,쌍방울,102280,2020-08-27,U04
0,100.0,P0,P0,창해에탄올,4650,2020-08-26,U04
0,97.08,P0,M0,부산주공,5030,2020-08-26,U04
0,91.77,P0,M0,케이피에프,24880,2020-08-26,U04
0,91.59,P0,P0,앤씨앤,92600,2020-08-26,U04
0,88.46,P0,P0,유니테스트,86390,2020-08-26,U04
0,100.0,P0,P0,국순당,43650,2020-08-25,U04
0,88.39,P0,K0,유유제약,220,2020-08-25,U04
0,86.55,P0,P0,오스코텍,39200,2020-08-25,U04
0,85.94,P0,P1,디앤씨미디어,263720,2020-08-25,U04
0,85.06,P0,P0,벽산,7210,2020-08-25,U04
0,94.35,P0,M0,리더스코스메틱,16100,2020-08-24,U04
0,94.32,P0,P0,동국S&C,100130,2020-08-24,U04
0,88.38,P0,P0,케이씨,29460,2020-08-24,U04
0,84.85,P0,P0,메디프론,65650,2020-08-24,U04
0,81.71,P0,P0,SG충방,1380,2020-08-24,U04
0,95.68,P0,K0,다우데이타,32190,2020-08-21,U04
0,94.27,P0,P0,일진머티리얼즈,20150,2020-08-21,U04
0,93.41,P0,P0,좋은사람들,33340,2020-08-21,U04
0,85.57,P0,M0,인지디스플레,37330,2020-08-21,U04
0,84.43,P0,P0,녹원씨엔아이,65560,2020-08-21,U04
0,100.0,P0,K0,S&T모티브,64960,2020-08-20,D04
0,96.37,P0,P0,종근당,185750,2020-08-20,D04
0,92.04,P0,M0,한온시스템,18880,2020-08-20,D04
0,90.29,P0,M0,콜마비앤에이치,200130,2020-08-20,D04
0,89.18,P0,M0,IHQ,3560,2020-08-20,D04
0,100.0,P0,P0,미래나노텍,95500,2020-08-19,U04
0,96.47,P0,P0,루미마이크로,82800,2020-08-19,U04
0,96.16,P0,M0,LG상사,1120,2020-08-19,U04
0,94.44,P0,P0,얼라인드,238120,2020-08-19,U04
0,92.99,P0,P0,SCI평가정보,36120,2020-08-19,U04
0,97.52,P0,M0,팜스코,36580,2020-08-18,U04
0,88.41,P0,M0,스타플렉스,115570,2020-08-18,U04
0,87.54,P0,M0,씨엠에스에듀,225330,2020-08-18,U04
0,86.23,P0,M0,현대백화점,69960,2020-08-18,U04
0,86.19,P0,M0,파워넷,37030,2020-08-18,U04
0,99.4,P0,P0,포비스티앤씨,16670,2020-08-14,U03
0,97.95,P0,M0,효성ITX,94280,2020-08-14,U03
0,87.14,P0,P0,대주산업,3310,2020-08-14,U03
0,84.71,P0,P0,쌍용차,3620,2020-08-14,U03
0,82.31,P0,M0,이오테크닉스,39030,2020-08-14,U03
0,94.17,P0,M0,클리오,237880,2020-08-13,U04
0,93.69,P0,M0,에이팩트,200470,2020-08-13,U04
0,90.79,P0,M0,이노션,214320,2020-08-13,U04
0,90.67,P0,M0,리노공업,58470,2020-08-13,U04
0,90.6,P0,P0,두올,16740,2020-08-13,U04
0,100.0,P0,M0,원익큐브,14190,2020-08-12,D04
0,100.0,P0,M0,SBS콘텐츠허브,46140,2020-08-12,D04
0,91.99,P0,P0,오리온홀딩스,1800,2020-08-12,D04
0,91.12,P0,M0,후성,93370,2020-08-12,D04
0,89.43,P0,M0,라이브파이낸셜,36170,2020-08-12,D04
0,95.92,P0,M0,셀트리온제약,68760,2020-08-11,D04
0,95.44,P0,M0,삼표시멘트,38500,2020-08-11,D04
0,93.7,P0,P0,삼본전자,111870,2020-08-11,D04
0,92.56,P0,M0,카스,16920,2020-08-11,D04
0,84.77,P0,M0,티씨케이,64760,2020-08-11,D04
0,100.0,P0,K0,진양폴리,10640,2020-08-10,D04
0,98.5,P0,M0,율호,72770,2020-08-10,D04
0,97.33,P0,M0,STX중공업,71970,2020-08-10,D04
0,90.27,P0,M0,유비케어,32620,2020-08-10,D04
0,86.99,P0,M0,파이오링크,170790,2020-08-10,D04
0,100.0,P0,M0,유니퀘스트,77500,2020-08-07,U04
0,91.83,P0,M0,콤텍시스템,31820,2020-08-07,U04
0,84.83,P0,P0,오스템,31510,2020-08-07,U04
0,80.71,P0,P0,네오오토,212560,2020-08-07,U04
0,79.46,P0,M0,세종메디칼,258830,2020-08-07,U04
0,96.26,P0,M0,디와이파워,210540,2020-08-06,U04
0,86.37,P0,P0,피앤이솔루션,131390,2020-08-06,U04
0,85.09,P0,K0,브레인콘텐츠,66980,2020-08-06,U04
0,84.93,P0,P0,대한해운,5880,2020-08-06,U04
0,82.94,P0,K0,대림산업,210,2020-08-06,U04
0,92.06,P0,P0,한솔홀딩스,4150,2020-08-05,U04
0,88.64,P0,P0,세보엠이씨,11560,2020-08-05,U04
0,83.24,P0,P1,OCI,10060,2020-08-05,U04
0,82.41,P0,P0,오가닉티코스메틱,900300,2020-08-05,U04
0,80.52,P0,K0,재영솔루텍,49630,2020-08-05,U04
0,97.73,P0,M0,탑엔지니어링,65130,2020-08-04,U04
0,95.39,P0,P0,에스원,12750,2020-08-04,U04
