,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,97.95,P0,K0,오이솔루션,138080,2019-02-21,T01
0,90.22,P0,P0,세종텔레콤,036630,2019-02-21,T01
0,85.28,P0,P0,흥국,010240,2019-02-21,T01
0,84.51,P0,K0,리더스 기술투자,019570,2019-02-21,T01
0,84.2,P0,M0,성창오토텍,080470,2019-02-21,T01
0,88.69,P0,P0,대림제지,017650,2019-02-20,U03
0,83.55,P0,M0,동신건설,025950,2019-02-20,U03
0,80.7,P0,M0,NHN한국사이버결제,060250,2019-02-20,U03
0,76.75,P0,M0,프럼파스트,035200,2019-02-20,U03
0,75.14,P0,M0,제이에스티나,026040,2019-02-20,U03
0,100.0,P0,M0,원익,032940,2019-02-19,U04
0,86.47,P0,M0,제낙스,065620,2019-02-19,U04
0,86.34,P0,M0,비티원,101140,2019-02-19,U04
0,84.95,P0,M0,서연이화,200880,2019-02-19,U04
0,84.39,P0,K0,빙그레,005180,2019-02-19,U04
0,78.64,P0,P0,토박스코리아,215480,2019-02-18,U01
0,74.81,P0,P0,대화제약,067080,2019-02-18,U01
0,74.63,P0,K0,KG이니시스,035600,2019-02-18,U01
0,74.55,P0,M0,케이씨에스,115500,2019-02-18,U01
0,73.64,P0,M0,동신건설,025950,2019-02-18,U01
0,100.0,P0,M0,제넥신,095700,2019-02-15,U01
0,86.89,P0,M0,인지디스플레,037330,2019-02-15,U01
0,85.37,P0,K0,서부T&D,006730,2019-02-15,U01
0,79.2,P0,P0,동신건설,025950,2019-02-15,U01
0,77.67,P0,M0,아이디스,143160,2019-02-15,U01
0,99.61,P0,M0,진양폴리,010640,2019-02-14,U01
0,85.81,P0,M0,한창제지,009460,2019-02-14,U01
0,85.03,P0,P0,제낙스,065620,2019-02-14,U01
0,82.59,P0,P0,제일파마홀딩스,002620,2019-02-14,U01
0,82.39,P0,M0,성신양회,004980,2019-02-14,U01
0,99.1,P0,P0,코다코,046070,2019-02-13,U04
0,96.09,P0,K0,팅크웨어,084730,2019-02-13,U04
0,94.65,P0,M0,신원,009270,2019-02-13,U04
0,88.68,P0,P0,우리로,046970,2019-02-13,U04
0,87.15,P0,P0,SBS,034120,2019-02-13,U04
0,100.0,P0,P0,삼화전기,009470,2019-02-12,U02
0,100.0,P0,M0,진매트릭스,109820,2019-02-12,U02
0,96.27,P0,M0,인탑스,049070,2019-02-12,U02
0,89.8,P0,K0,LF,093050,2019-02-12,U02
0,85.54,P0,M0,한국토지신탁,034830,2019-02-12,U02
0,100.0,P0,P0,화승엔터프라이즈,241590,2019-02-11,U02
0,94.24,P0,P0,팬젠,222110,2019-02-11,U02
0,89.72,P0,P0,빛샘전자,072950,2019-02-11,U02
0,82.7,P0,M0,솔본,035610,2019-02-11,U02
0,82.49,P0,P0,쏠리드,050890,2019-02-11,U02
0,95.62,P0,M0,일지테크,019540,2019-02-08,D04
0,80.95,P0,K0,와이엔텍,067900,2019-02-08,D04
0,79.23,P0,P0,DMS,068790,2019-02-08,D04
0,78.64,P0,P0,대한뉴팜,054670,2019-02-08,D04
0,77.1,P0,M0,평화정공,043370,2019-02-08,D04
0,95.81,P0,M0,지스마트글로벌,114570,2019-02-07,D04
0,91.24,P0,P0,가비아,079940,2019-02-07,D04
0,89.73,P0,P0,오픈베이스,049480,2019-02-07,D04
0,89.18,P0,M0,씨티씨바이오,060590,2019-02-07,D04
0,86.98,P0,P0,내츄럴엔도텍,168330,2019-02-07,D04
0,91.03,P0,P0,유나이티드제약,033270,2019-02-01,U04
0,88.93,P0,M0,제닉,123330,2019-02-01,U04
0,88.39,P0,M0,피델릭스,032580,2019-02-01,U04
0,85.74,P0,M0,베셀,177350,2019-02-01,U04
0,85.23,P0,P0,신원,009270,2019-02-01,U04
0,100.0,P0,M0,고려산업,002140,2019-01-31,U04
0,97.46,P0,M0,광전자,017900,2019-01-31,U04
0,95.42,P0,M0,제이씨케미칼,137950,2019-01-31,U04
0,89.2,P0,M0,쌍용차,003620,2019-01-31,U04
0,87.11,P0,M0,펩트론,087010,2019-01-31,U04
0,91.11,P0,M0,엘티씨,170920,2019-01-30,D04
