,P_score,predict,real,stock_name,stock_code,Date
0,99.42,P0,P0,케이탑리츠,145270,2018-11-13
0,37.71,P0,P0,텔콘RF제약,200230,2018-11-13
0,31.1,M0,P0,삼강엠앤티,100090,2018-11-13
0,24.36,M0,P0,금호에이치티,214330,2018-11-13
0,51.84,P1,K0,남선알미늄,008350,2018-11-14
0,0.0,M0,P0,대신정보통신,020180,2018-11-16
0,39.47,M0,P0,남선알미늄,008350,2018-11-19
0,92.79,P0,M0,제주항공,089590,2018-11-21
0,33.77,K0,P0,남선알미늄,008350,2018-11-21
0,62.32,P0,P0,부광약품,003000,2018-11-26
0,34.36,M0,P0,메리츠증권,008560,2018-11-26
0,9.66,M0,P0,헝셩그룹,900270,2018-11-26
0,50.91,P0,K0,삼본전자,111870,2018-11-27
0,31.44,M0,M0,파워로직스,047310,2018-11-27
0,20.26,M0,P0,대신정보통신,020180,2018-11-27
0,45.42,M0,K0,넥슨지티,041140,2018-11-28
0,10.19,M0,K0,남선알미늄,008350,2018-11-28
0,41.57,M0,P0,파워로직스,047310,2018-11-30
0,19.51,M0,M0,삼강엠앤티,100090,2018-12-03
0,0.0,M0,P0,한국카본,017960,2018-12-03
0,52.35,P0,P0,초록뱀,047820,2018-12-04
0,87.62,P0,P0,신풍제약,019170,2018-12-05
0,83.58,P0,P0,LG유플러스,032640,2018-12-07
0,37.58,M0,P0,대한항공,003490,2018-12-07
0,36.83,M0,K0,상지카일룸,042940,2018-12-07
0,36.34,M0,P0,초록뱀,047820,2018-12-07
0,0.0,M0,P0,덕성,004830,2018-12-07
0,32.38,K0,P0,삼성중공업,010140,2018-12-10
0,45.52,M0,P0,앤디포스,238090,2018-12-11
0,38.62,M0,P0,세종텔레콤,036630,2018-12-11
0,18.39,M0,P0,한국카본,017960,2018-12-11
0,0.0,M0,P0,파워로직스,047310,2018-12-11
0,55.26,P0,P0,화인베스틸,133820,2018-12-12
0,45.3,M0,P0,삼성중공업,010140,2018-12-12
0,28.82,M0,P0,콤텍시스템,031820,2018-12-12
0,21.67,M0,P0,대성창투,027830,2018-12-12
0,0.0,M0,P0,KPX생명과학,114450,2018-12-12
0,54.7,P0,M0,SG&G,040610,2018-12-13
