,P_score,predict,real,stock_name,stock_code,Date
0,16.82,K0,P0,동양물산,002900,2019-01-03
0,35.14,M0,P0,세원,234100,2019-01-04
0,0.0,M0,P0,티케이케미칼,104480,2019-01-07
0,85.2,P0,K0,에이스테크,088800,2019-01-09
0,54.6,P0,K0,시노펙스,025320,2019-01-09
0,46.93,P0,P0,HB테크놀러지,078150,2019-01-09
0,35.84,M0,P0,파워로직스,047310,2019-01-09
0,32.32,M0,P0,티케이케미칼,104480,2019-01-09
0,50.92,P0,K0,대유에이텍,002880,2019-01-10
0,24.12,M0,P0,에이비프로바이오,195990,2019-01-10
0,67.04,P0,P0,진양산업,003780,2019-01-11
0,64.51,P0,P0,이엑스티,226360,2019-01-11
0,50.69,P0,P0,세우글로벌,013000,2019-01-11
0,42.25,M0,P0,진매트릭스,109820,2019-01-11
0,30.42,M0,P0,티케이케미칼,104480,2019-01-11
0,56.39,P0,P0,YBM넷,057030,2019-01-14
0,54.87,P0,P0,대신정보통신,020180,2019-01-14
0,50.81,P0,P0,포비스티앤씨,016670,2019-01-14
0,48.9,P0,M0,한일단조,024740,2019-01-14
0,36.08,M0,P0,코데즈컴바인,047770,2019-01-14
0,56.96,P0,K0,부광약품,003000,2019-01-15
0,43.41,M0,P0,신풍제약,019170,2019-01-15
0,33.66,M0,M0,바이넥스,053030,2019-01-15
0,27.9,M0,P0,드림시큐리티,203650,2019-01-15
0,9.41,M0,P0,세운메디칼,100700,2019-01-15
0,43.81,P0,P0,에스씨디,042110,2019-01-16
0,36.14,M0,P0,주연테크,044380,2019-01-16
0,33.79,M0,P0,나노,187790,2019-01-16
0,20.74,M0,P0,GH신소재,130500,2019-01-16
0,61.7,P0,P0,에이테크솔루션,071670,2019-01-17
0,53.29,P0,P0,엘브이엠씨홀딩스,900140,2019-01-17
0,63.12,P0,P0,KPX생명과학,114450,2019-01-18
0,59.53,P0,K0,대호피앤씨,021040,2019-01-18
0,53.13,P0,P0,쏠리드,050890,2019-01-18
0,43.25,M0,K0,벽산,007210,2019-01-18
0,40.76,M0,P0,신풍제약,019170,2019-01-18
0,37.53,M0,P0,SG충방,001380,2019-01-21
0,26.82,M0,P0,디피씨,026890,2019-01-21
