,P_score,predict,real,stock_name,stock_code,Date
0,51.17,P0,P0,대아티아이,045390,2019-01-03
0,18.36,M0,P0,현대차,005380,2019-01-03
0,42.01,M0,P0,에스엠,041510,2019-01-04
0,27.03,M0,P0,한진칼,180640,2019-01-04
0,43.18,M0,P0,한진칼,180640,2019-01-09
0,24.33,M0,M0,한창제지,009460,2019-01-10
0,17.34,M0,P0,국일제지,078130,2019-01-10
0,56.95,P0,P0,현대로템,064350,2019-01-11
0,42.65,M0,P0,남선알미늄,008350,2019-01-14
0,74.66,P0,P0,에스엠,041510,2019-01-15
0,46.62,P0,P0,LG유플러스,032640,2019-01-15
0,18.12,M0,P0,모나리자,012690,2019-01-16
0,36.58,M0,M0,보해양조,000890,2019-01-18
0,47.95,M0,P0,금호석유,011780,2019-01-21
0,0.0,M0,P0,아난티,025980,2019-01-21
0,52.43,P0,P0,현대엘리베이,017800,2019-01-23
0,51.36,P0,P0,현대건설,000720,2019-01-23
0,49.22,P0,P0,LG디스플레이,034220,2019-01-23
0,31.05,M0,M0,한국전력,015760,2019-01-23
0,33.63,M0,M0,한진칼,180640,2019-01-24
0,32.48,M0,M0,대아티아이,045390,2019-01-24
0,72.92,P0,P0,현대로템,064350,2019-01-25
0,45.8,M0,P0,신원,009270,2019-01-25
0,16.69,M0,P0,한온시스템,018880,2019-01-28
0,51.24,P0,M0,대한항공,003490,2019-01-29
0,45.15,P0,P0,남선알미늄,008350,2019-01-29
0,60.73,P0,P0,아난티,025980,2019-01-30
0,55.17,P0,P0,신원,009270,2019-01-30
0,51.53,M0,P0,토박스코리아,215480,2019-01-30
0,24.77,M0,P0,현대건설,000720,2019-01-30
0,3.53,M0,P0,우원개발,046940,2019-01-30
0,37.58,M0,P0,아난티,025980,2019-02-01
0,23.38,M0,M0,이엠코리아,095190,2019-02-01
0,49.66,P0,P0,디피씨,026890,2019-02-07
0,25.93,M0,P0,미코,059090,2019-02-07
0,0.0,M0,P0,현대미포조선,010620,2019-02-08
0,100.0,P0,P0,현대차,005380,2019-02-11
0,35.96,M0,P0,SK하이닉스,000660,2019-02-11
0,33.16,M0,P0,삼성중공업,010140,2019-02-11
0,0.0,M0,M0,대한항공,003490,2019-02-11
0,43.26,M0,P0,현대제철,004020,2019-02-12
0,42.16,M0,M0,한화솔루션,009830,2019-02-12
0,79.06,P0,P0,흥구석유,024060,2019-02-13
0,49.22,P0,K0,미코,059090,2019-02-13
0,25.35,M0,P1,케이피엠테크,042040,2019-02-14
0,22.31,K0,P0,기아차,000270,2019-02-14
0,18.08,M0,P0,미래에셋대우,006800,2019-02-14
0,8.76,M0,M0,현대로템,064350,2019-02-14
0,39.85,M0,P0,우수AMS,066590,2019-02-15
0,25.42,M0,P0,헬릭스미스,084990,2019-02-15
0,5.22,M0,P1,일신석재,007110,2019-02-15
0,78.64,P0,P0,토박스코리아,215480,2019-02-18
0,42.89,M0,M0,대아티아이,045390,2019-02-18
0,30.84,M0,P0,디피씨,026890,2019-02-18
0,0.0,M0,P0,한화솔루션,009830,2019-02-18
0,50.29,P0,P0,뉴로스,126870,2019-02-19
0,63.59,P0,P0,하나금융지주,086790,2019-02-20
0,51.49,P0,P0,한국전력,015760,2019-02-20
0,27.5,M0,P0,만도,204320,2019-02-20
0,47.08,M0,M0,대아티아이,045390,2019-02-21
0,63.44,P0,P0,일신석재,007110,2019-02-22
0,0.0,M0,M1,넥슨지티,041140,2019-02-22
0,60.68,P0,P0,일진머티리얼즈,020150,2019-02-25
0,24.73,M0,P0,이엠코리아,095190,2019-02-25
0,100.0,P0,P0,현대로템,064350,2019-02-26
0,49.19,M0,P0,오르비텍,046120,2019-02-26
0,45.46,M0,K0,HMM,011200,2019-02-26
0,38.34,M0,P0,현대건설,000720,2019-02-26
0,36.46,M0,P0,일신석재,007110,2019-02-26
0,61.11,P0,P0,헬릭스미스,084990,2019-02-27
0,40.67,M0,P0,SK이노베이션,096770,2019-02-27
0,33.63,M0,P0,LG전자,066570,2019-02-27
0,65.67,P0,P1,풍강,093380,2019-03-04
0,39.75,M0,P0,디피씨,026890,2019-03-04
0,38.38,M0,P0,LG전자,066570,2019-03-04
0,35.63,M0,P0,YBM넷,057030,2019-03-04
0,25.58,M0,P1,성호전자,043260,2019-03-06
0,23.28,M0,P0,한화솔루션,009830,2019-03-06
0,54.68,P0,P0,코디엠,224060,2019-03-07
0,0.0,M0,P0,삼성전자,005930,2019-03-07
0,12.97,M0,P0,제넥신,095700,2019-03-08
0,79.56,P0,M0,신한지주,055550,2019-03-11
0,74.38,P0,K0,한국항공우주,047810,2019-03-11
0,57.24,P0,P0,헬릭스미스,084990,2019-03-11
0,51.27,P0,P0,삼성중공업,010140,2019-03-11
0,41.26,P0,M0,디피씨,026890,2019-03-11
0,41.99,M0,P0,부방,014470,2019-03-12
0,22.51,M0,P0,로스웰,900260,2019-03-12
0,0.0,M0,P0,로스웰,900260,2019-03-15
0,49.4,P0,P0,미코,059090,2019-03-18
0,44.4,M0,P0,한창,005110,2019-03-18
0,33.5,M0,M0,테라젠이텍스,066700,2019-03-18
0,27.2,M0,P0,라온시큐어,042510,2019-03-18
0,21.78,M0,P0,바이넥스,053030,2019-03-18
0,90.71,P0,P0,웰크론,065950,2019-03-19
0,35.4,M0,P0,엘비세미콘,061970,2019-03-19
0,43.95,M0,P0,금호석유,011780,2019-03-20
0,61.33,P0,P0,웰크론,065950,2019-03-22
0,31.87,M0,P0,미코,059090,2019-03-25
0,39.1,M0,P0,아모레퍼시픽,090430,2019-03-26
0,30.57,M0,P0,헬릭스미스,084990,2019-03-26
0,26.81,M0,P0,디피씨,026890,2019-03-26
0,35.92,M0,P0,현대약품,004310,2019-03-27
0,27.97,M0,P0,강원랜드,035250,2019-03-29
0,55.2,P0,P0,신일전자,002700,2019-04-02
0,22.37,M0,P0,KC코트렐,119650,2019-04-02
0,51.07,P0,P0,웰크론,065950,2019-04-03
0,28.95,M0,P0,휠라홀딩스,081660,2019-04-04
0,65.14,P0,P0,위닉스,044340,2019-04-10
0,32.11,M0,P0,한창,005110,2019-04-10
0,31.19,M0,P0,우리기술투자,041190,2019-04-10
0,34.28,M0,M0,디피씨,026890,2019-04-11
0,100.0,P0,P0,메리츠증권,008560,2019-04-12
0,51.25,P0,P0,크리스탈신소재,900250,2019-04-12
0,32.43,M0,K0,JYP Ent.,035900,2019-04-12
0,31.27,M0,P0,에이루트,096690,2019-04-12
0,87.05,P0,P0,위닉스,044340,2019-04-15
0,27.19,M0,P0,하나금융지주,086790,2019-04-15
0,18.75,K0,K0,LG전자,066570,2019-04-15
0,0.0,K0,K0,한화솔루션,009830,2019-04-15
0,0.0,M0,P0,코스나인,082660,2019-04-15
0,53.58,P0,K0,한화솔루션,009830,2019-04-17
0,51.71,P0,P0,테스,095610,2019-04-17
0,100.0,P0,P0,우리기술투자,041190,2019-04-18
0,66.11,P0,P0,젬백스,082270,2019-04-18
0,26.54,M0,K0,호텔신라,008770,2019-04-18
0,45.49,M0,M0,엘비세미콘,061970,2019-04-19
0,50.19,P0,P0,한진칼,180640,2019-04-22
0,45.66,P0,M0,한창,005110,2019-04-22
0,38.7,P0,M0,휠라홀딩스,081660,2019-04-22
0,48.28,P0,K0,금호산업,002990,2019-04-23
0,46.24,P0,M0,실리콘웍스,108320,2019-04-23
0,42.03,P0,M0,대한항공,003490,2019-04-23
0,39.06,M0,P0,LG전자,066570,2019-04-23
0,10.21,M0,P0,고려산업,002140,2019-04-23
0,42.98,P0,P0,테스,095610,2019-04-25
0,1.18,M0,K0,원익IPS,240810,2019-04-25
0,59.28,P0,P0,MP한강,219550,2019-04-26
0,36.31,M0,P0,한진칼,180640,2019-04-26
0,35.7,M0,P0,KC코트렐,119650,2019-04-26
0,6.63,M0,M0,미래에셋대우,006800,2019-04-26
0,55.39,P0,P0,SM Life Design,063440,2019-04-29
0,30.89,M0,P0,제주반도체,080220,2019-04-29
0,20.48,M0,P0,셀트리온,068270,2019-04-29
0,53.27,P0,P0,한진칼,180640,2019-04-30
0,50.9,P0,M0,엘비세미콘,061970,2019-04-30
0,37.43,M0,P0,아시아나항공,020560,2019-04-30
