,P_score,predict,real,stock_name,stock_code,Date,Nasdaq
0,100.0,P0,M0,인콘,083640,2020-10-23,U03
0,76.85,P0,M0,엠벤처투자,019590,2020-10-23,U03
0,71.78,P0,M0,옵트론텍,082210,2020-10-23,U03
0,68.85,P0,M0,모트렉스,118990,2020-10-23,U03
0,68.61,P0,P0,유니온머티리얼,047400,2020-10-23,U03
0,100.0,P0,M0,삼양통상,002170,2020-10-22,D04
0,88.49,P0,M0,지엠비코리아,013870,2020-10-22,D04
0,82.09,P0,M0,한국큐빅,021650,2020-10-22,D04
0,73.39,P0,M0,KH바텍,060720,2020-10-22,D04
0,71.67,P0,K0,현대위아,011210,2020-10-22,D04
0,94.59,P0,K0,오리엔트바이오,002630,2020-10-21,U04
0,88.76,P0,K0,덱스터,206560,2020-10-21,U04
0,84.39,P0,P0,라이온켐텍,171120,2020-10-21,U04
0,81.46,P0,M0,동방선기,099410,2020-10-21,U04
0,77.57,P0,P1,네스엠,056000,2020-10-21,U04
0,100.0,P0,K0,한솔홀딩스,004150,2020-10-20,D04
0,87.08,P0,M0,모트렉스,118990,2020-10-20,D04
0,85.67,P0,K0,한빛소프트,047080,2020-10-20,D04
0,85.23,P0,M0,에이티세미콘,089530,2020-10-20,D04
0,82.59,P0,M0,이수앱지스,086890,2020-10-20,D04
0,100.0,P0,P0,현대바이오,048410,2020-10-19,D04
0,100.0,P0,M0,전파기지국,065530,2020-10-19,D04
0,92.54,P0,K0,동우팜투테이블,088910,2020-10-19,D04
0,88.13,P0,M0,금호석유,011780,2020-10-19,D04
0,86.38,P0,M0,하이비젼시스템,126700,2020-10-19,D04
0,100.0,P0,K0,NI스틸,008260,2020-10-16,D04
0,85.5,P0,M0,테스나,131970,2020-10-16,D04
0,77.0,P0,M0,한국타이어앤테크놀로지,161390,2020-10-16,D04
0,75.81,P0,M0,씨에스윈드,112610,2020-10-16,D04
0,72.32,P0,M0,문배철강,008420,2020-10-16,D04
0,85.7,P0,M1,화인베스틸,133820,2020-10-15,D04
0,84.41,P0,M0,신세계,004170,2020-10-15,D04
0,81.59,P0,P0,이글벳,044960,2020-10-15,D04
0,78.62,P0,M0,금호석유,011780,2020-10-15,D04
0,76.07,P0,M0,현대바이오,048410,2020-10-15,D04
0,82.74,P0,P0,형지엘리트,093240,2020-10-14,T01
0,78.51,P0,M0,LG이노텍,011070,2020-10-14,T01
0,72.83,P0,P1,KMH,122450,2020-10-14,T01
0,71.81,P0,M0,이아이디,093230,2020-10-14,T01
0,70.92,P0,M0,대한광통신,010170,2020-10-14,T01
0,86.67,P0,P0,현대바이오랜드,052260,2020-10-13,U04
0,78.98,P0,M0,필옵틱스,161580,2020-10-13,U04
0,75.34,P0,M0,유비벨록스,089850,2020-10-13,U04
0,75.33,P0,M0,유나이티드제약,033270,2020-10-13,U04
0,70.06,P0,M0,원익큐브,014190,2020-10-13,U04
0,100.0,P0,M0,진원생명과학,011000,2020-10-12,U04
0,84.04,P0,P0,F&F,007700,2020-10-12,U04
0,82.68,P0,M0,레고켐바이오,141080,2020-10-12,U04
0,82.05,P0,M0,현대바이오랜드,052260,2020-10-12,U04
0,76.82,P0,K0,네패스,033640,2020-10-12,U04
0,82.09,P0,M0,GV,045890,2020-10-08,U04
0,74.05,P0,M0,영원무역,111770,2020-10-08,U04
0,72.43,P0,M0,케이피엠테크,042040,2020-10-08,U04
0,67.5,P0,P0,SK디스커버리,006120,2020-10-08,U04
0,58.88,P0,M0,상아프론테크,089980,2020-10-08,U04
0,84.8,P0,P0,삼보산업,009620,2020-10-07,D04
0,84.21,P0,M0,에이비프로바이오,195990,2020-10-07,D04
0,82.55,P0,P0,에코마케팅,230360,2020-10-07,D04
0,81.2,P0,P0,에스에프에이,056190,2020-10-07,D04
