,Date,sum_money
0,2018-05-08,
1,2018-05-09,10287920.440433811
2,2018-05-10,10542196.44307904
3,2018-05-11,10778027.58587329
4,2018-05-15,10814606.414023977
5,2018-05-16,10814606.414023977
6,2018-05-17,11265977.268849604
7,2018-05-18,11463228.583718847
8,2018-05-21,11505380.739151917
9,2018-05-23,11625164.790031863
10,2018-05-24,11796670.073008869
11,2018-05-25,11261107.834511347
12,2018-05-28,11675861.422931891
13,2018-05-30,11822886.041275641
14,2018-05-31,11953443.503617488
15,2018-06-01,12048653.615023071
16,2018-06-04,12295773.156889416
17,2018-06-05,12444404.14367369
18,2018-06-07,12849250.898103368
19,2018-06-08,12974209.854353368
20,2018-06-11,13177075.566353707
21,2018-06-12,13395923.116930878
22,2018-06-14,13521678.327828415
23,2018-06-15,13778294.867946321
24,2018-06-18,13748487.890762681
25,2018-06-19,13795431.673331646
26,2018-06-20,14037117.836252581
27,2018-06-22,14103770.02547562
28,2018-06-25,14660551.01466387
29,2018-06-27,14700539.305895213
30,2018-06-28,14736355.948602907
31,2018-06-29,14915891.034423044
522,2018-07-02,14759044.167055275
32,2018-07-03,14978437.128337778
33,2018-07-04,14996992.496845242
34,2018-07-05,15066913.448845241
35,2018-07-06,15275191.538243651
36,2018-07-09,15349339.85636865
37,2018-07-10,15374946.671320572
38,2018-07-12,15718787.025269557
39,2018-07-13,15822667.44210979
40,2018-07-17,15976542.810609791
41,2018-07-19,16121456.435740568
42,2018-07-20,16121456.435740568
523,2018-07-23,15974934.902829174
43,2018-07-24,16183909.142487776
44,2018-07-25,16498685.997487776
45,2018-07-26,16469956.39044924
46,2018-07-27,16507206.322328739
47,2018-08-01,16555127.008535635
48,2018-08-03,16555127.008535635
49,2018-08-06,16440275.139665004
50,2018-08-07,16595132.109823138
51,2018-08-09,16709201.876644429
52,2018-08-10,16650018.106564205
53,2018-08-13,16649064.498968486
54,2018-08-14,16838632.371708926
55,2018-08-16,17001675.63376372
56,2018-08-20,17001675.63376372
57,2018-08-21,17122627.111616068
58,2018-08-22,17083019.560286507
59,2018-08-23,17099399.969943766
60,2018-08-24,17204113.31774885
524,2018-08-27,17243350.310873847
61,2018-08-28,17313260.756444566
62,2018-08-30,17403824.507040292
63,2018-08-31,17551711.32432777
64,2018-09-03,17664463.359745596
65,2018-09-04,17808472.617472935
66,2018-09-05,17999693.88189382
67,2018-09-06,18018386.35554956
68,2018-09-07,18049355.44617456
69,2018-09-10,18065636.07747757
70,2018-09-11,18341746.375973485
71,2018-09-12,18459328.359639134
72,2018-09-14,18612822.213460654
73,2018-09-17,18766615.95879136
74,2018-09-18,18924322.894629374
75,2018-09-19,19311699.64132745
76,2018-09-20,19405318.65811434
77,2018-09-21,19985356.19718914
78,2018-09-27,19966994.85974214
79,2018-09-28,20023543.35364919
80,2018-10-01,20179211.348917693
81,2018-10-02,20179211.348917693
82,2018-10-04,20353203.357661724
525,2018-10-05,20226544.90164981
83,2018-10-08,20311774.947772343
84,2018-10-10,20509306.911022343
85,2018-10-12,20637932.05267405
86,2018-10-15,20509191.272991274
526,2018-10-16,20548784.693045624
87,2018-10-17,20579233.275910206
88,2018-10-22,20657148.857702114
89,2018-10-25,20858039.544202115
90,2018-10-29,20888656.06699775
91,2018-11-13,21130248.282892276
92,2018-11-14,21149909.40857275
93,2018-11-15,21329950.795576356
94,2018-11-16,21351896.032595586
95,2018-11-19,21466737.741898093
96,2018-11-21,21514242.82032402
97,2018-11-23,21514242.82032402
98,2018-11-26,21674193.737972125
99,2018-11-27,21832847.48551627
100,2018-11-28,21832847.48551627
527,2018-11-29,21934635.7766608
101,2018-11-30,21978162.8564328
102,2018-12-03,21978162.8564328
103,2018-12-04,22015820.767722588
104,2018-12-07,22253803.371743795
105,2018-12-10,22253803.371743795
106,2018-12-11,22538699.023932587
107,2018-12-12,22956631.93070384
108,2018-12-13,23485797.02209447
109,2018-12-14,23514338.22790803
110,2018-12-17,23795327.740206696
111,2018-12-18,24008732.191401914
112,2018-12-19,24323289.739248488
113,2018-12-20,24543185.610905003
114,2018-12-21,24824695.885505006
115,2018-12-24,24680175.66711799
116,2018-12-26,24920660.17264967
117,2018-12-27,25431128.241202723
118,2018-12-28,25855087.468929064
528,2019-01-02,25917321.465429064
119,2019-01-03,26072296.56726591
120,2019-01-09,26165631.270341825
121,2019-01-10,26398595.350009423
122,2019-01-11,26653050.69172135
123,2019-01-14,27129155.1554475
124,2019-01-15,27358386.18008765
529,2019-01-16,27384557.79584196
125,2019-01-18,27610856.897160027
126,2019-01-21,27958339.65887545
127,2019-01-22,27997830.80000045
128,2019-01-23,28178266.479580987
129,2019-01-24,28329257.6200128
130,2019-01-25,28658261.68488279
131,2019-01-28,28537787.763184264
132,2019-01-29,28790989.946289737
133,2019-01-30,29362965.625412866
134,2019-01-31,29510984.8182002
135,2019-02-01,29800557.27147591
136,2019-02-07,30410094.106290706
137,2019-02-08,30600209.050910607
138,2019-02-11,30513800.536215305
139,2019-02-12,30761885.371886782
140,2019-02-13,31440693.989533044
141,2019-02-14,31966894.12907116
142,2019-02-15,32422777.53738848
143,2019-02-18,32683625.38284632
144,2019-02-19,33571921.07127167
145,2019-02-20,33534668.928933702
146,2019-02-21,33770468.16113193
147,2019-02-22,33917925.091150485
148,2019-02-25,34065322.17925774
149,2019-02-26,34613361.48323678
150,2019-02-27,34938532.42480911
530,2019-03-02,35043940.80080247
151,2019-03-04,35580350.007048994
152,2019-03-05,35580350.007048994
153,2019-03-06,36283876.82848283
154,2019-03-07,36283748.07203358
155,2019-03-08,36295102.83290017
156,2019-03-11,36590212.4867651
157,2019-03-12,36944427.259233244
158,2019-03-13,37058674.49312329
159,2019-03-14,37685492.189550005
160,2019-03-15,38728535.40932119
161,2019-03-18,39622748.90211298
162,2019-03-19,39888659.42962542
163,2019-03-20,40142059.68158217
164,2019-03-21,40134963.03464068
165,2019-03-22,41029223.258836985
166,2019-03-25,41768082.50111669
167,2019-03-26,42169524.133789234
168,2019-03-27,42367389.04782475
169,2019-03-28,42467451.53495351
170,2019-03-29,42961528.54873958
171,2019-04-01,43222971.78818416
172,2019-04-02,44252597.32629235
173,2019-04-03,44750769.64928527
174,2019-04-05,44922314.22928527
175,2019-04-08,44991340.375770345
176,2019-04-09,45586001.0909724
177,2019-04-10,45892181.12304625
178,2019-04-11,46098469.91621229
179,2019-04-12,47271565.67968622
180,2019-04-15,47271565.67968622
181,2019-04-16,47419724.62745885
182,2019-04-17,47751893.3437919
183,2019-04-18,48285935.933027
184,2019-04-19,48586245.88754506
185,2019-04-22,49073062.858678795
186,2019-04-23,49323197.53273954
187,2019-04-24,49704714.49530022
188,2019-04-25,49651065.399496965
189,2019-04-26,50432597.65766337
190,2019-04-29,50331090.13260606
191,2019-04-30,50820559.98285606
192,2019-05-02,52331206.78027181
193,2019-05-03,53230532.85831675
194,2019-05-07,53922663.20927334
531,2019-05-08,53482955.20084437
195,2019-05-09,54003076.88959437
196,2019-05-10,54541581.04435252
197,2019-05-13,54899502.600499146
198,2019-05-14,55344065.80723368
199,2019-05-15,56173731.57542668
200,2019-05-17,56216781.74841795
201,2019-05-20,55796949.54828124
202,2019-05-21,56757670.53271534
203,2019-05-22,57371510.09377099
204,2019-05-23,57371510.09377099
205,2019-05-24,57791818.11299629
206,2019-05-27,58956218.31491814
207,2019-05-28,59944874.61655114
208,2019-05-29,60819942.30031058
209,2019-05-30,61458978.47350125
210,2019-05-31,62585090.89159945
211,2019-06-03,62765085.2181413
212,2019-06-05,62922404.42772679
213,2019-06-07,62672802.15734565
214,2019-06-10,63740129.03181353
215,2019-06-11,64472593.11756353
216,2019-06-12,64665707.07516566
217,2019-06-13,65512207.79752363
218,2019-06-17,67423526.23252362
219,2019-06-18,67512964.11304086
220,2019-06-19,67753320.4706348
221,2019-06-20,69684820.30953486
222,2019-06-21,69798325.39436351
223,2019-06-24,70881126.1427485
224,2019-06-25,70992742.29665095
225,2019-06-26,71929538.60265051
226,2019-06-27,72573711.05700622
227,2019-06-28,73735220.92021415
228,2019-07-01,74170984.21518524
229,2019-07-02,75988411.48509298
230,2019-07-03,76089306.46533024
231,2019-07-04,77238317.90771689
232,2019-07-05,78351143.71256304
532,2019-07-08,77056930.57481764
233,2019-07-09,77978490.86110532
234,2019-07-10,79492391.01974797
235,2019-07-11,82676111.04816511
236,2019-07-12,83577280.64716512
237,2019-07-15,84524279.25758374
238,2019-07-16,85346277.78333373
239,2019-07-17,85346277.78333373
240,2019-07-18,86258915.47344838
241,2019-07-19,87268955.55420238
242,2019-07-22,86883281.02138498
243,2019-07-23,87822901.41682088
244,2019-07-25,88423170.93832088
245,2019-07-26,88269949.86856355
246,2019-07-29,89128375.03506355
247,2019-07-30,89612723.93975262
248,2019-07-31,90474530.38605575
