,P_score,predict,real,stock_name,stock_code,Date
0,99.58,P1,P0,글로스퍼랩스,32860,2020-10-23
0,88.07,P0,P0,화성산업,2460,2020-10-23
0,85.89,P0,P0,UCI,38340,2020-10-23
0,84.2,P0,P0,WI,73570,2020-10-23
0,82.96,P0,M0,에스퓨얼셀,288620,2020-10-23
0,100.0,P1,M1,에이엔피,15260,2020-10-22
0,89.27,P0,M0,이수화학,5950,2020-10-22
0,87.75,P0,M0,와이엠씨,155650,2020-10-22
0,87.4,P0,P0,제이브이엠,54950,2020-10-22
0,85.02,P0,M0,피에스케이,319660,2020-10-22
0,100.0,P0,P0,오텍,67170,2020-10-21
0,100.0,P0,P0,세우글로벌,13000,2020-10-21
0,91.23,P0,P0,웹스,196700,2020-10-21
0,90.81,P0,M0,동방선기,99410,2020-10-21
0,89.24,P1,M0,지니틱스,303030,2020-10-21
0,100.0,P0,P0,유진테크,84370,2020-10-20
0,100.0,P0,P0,영우디에스피,143540,2020-10-20
0,92.86,P0,K0,한솔홀딩스,4150,2020-10-20
0,91.57,P0,P0,씨에스윈드,112610,2020-10-20
0,90.06,P0,P0,예스티,122640,2020-10-20
0,100.0,P1,M1,코나아이,52400,2020-10-19
0,100.0,P0,M0,뉴보텍,60260,2020-10-19
0,94.75,P0,P0,현대바이오,48410,2020-10-19
0,93.54,P0,P0,KSS해운,44450,2020-10-19
0,93.4,P0,P0,보락,2760,2020-10-19
0,100.0,P1,M0,교보8호스팩,307280,2020-10-16
0,100.0,P1,M0,원바이오젠,278380,2020-10-16
0,95.12,P0,K0,제이씨케미칼,137950,2020-10-16
0,94.55,P0,M0,한솔테크닉스,4710,2020-10-16
0,93.36,P0,M0,화승알앤에이,13520,2020-10-16
0,100.0,P0,P0,에이펙스인텍,207490,2020-10-15
0,95.4,P0,M0,EDGC,245620,2020-10-15
0,93.81,P0,M0,STX중공업,71970,2020-10-15
0,90.46,P0,M0,현대미포조선,10620,2020-10-15
0,90.37,P0,M0,에이티넘인베스트,21080,2020-10-15
0,100.0,P0,M0,에스퓨얼셀,288620,2020-10-14
0,100.0,P0,M0,DB손해보험,5830,2020-10-14
0,94.34,P0,M0,인터로조,119610,2020-10-14
0,84.4,P0,M0,테이팩스,55490,2020-10-14
0,82.81,P0,M0,신성통상,5390,2020-10-14
0,100.0,P0,M0,에스코넥,96630,2020-10-13
0,100.0,P0,M0,이엑스티,226360,2020-10-13
0,100.0,P0,M0,멕아이씨에스,58110,2020-10-13
0,93.2,P0,P0,옴니시스템,57540,2020-10-13
0,90.37,P0,M0,에스퓨얼셀,288620,2020-10-13
