,P_score,predict,real,stock_name,stock_code,Date
0,100.0,P0,M0,종근당바이오,063160,2020-10-23
0,77.23,P0,P0,바이오스마트,038460,2020-10-23
0,69.7,P0,P0,에이펙스인텍,207490,2020-10-23
0,85.66,P0,M0,지엠비코리아,013870,2020-10-22
0,87.86,P0,K0,경보제약,214390,2020-10-21
0,87.67,P0,K0,오리엔트바이오,002630,2020-10-21
0,76.56,P0,M0,제이콘텐트리,036420,2020-10-21
0,67.24,P0,P0,코리아나,027050,2020-10-21
0,65.68,P0,P0,에이펙스인텍,207490,2020-10-21
0,93.75,P0,P0,유니퀘스트,077500,2020-10-20
0,78.67,P0,M0,대우조선해양,042660,2020-10-20
0,71.64,P0,P0,씨아이에스,222080,2020-10-20
0,67.94,P0,P0,동국S&C,100130,2020-10-20
0,83.18,P0,M0,오리엔트바이오,002630,2020-10-19
0,81.39,P0,M0,하이비젼시스템,126700,2020-10-19
0,72.66,P0,M0,OCI,010060,2020-10-19
0,71.32,P0,M0,케이엠더블유,032500,2020-10-19
0,92.52,P0,M0,에스와이,109610,2020-10-16
0,89.17,P0,M0,와이솔,122990,2020-10-16
0,66.92,P0,M0,대한유화,006650,2020-10-16
0,76.38,P0,M0,에이스테크,088800,2020-10-13
0,68.79,P0,P1,씨앗,103660,2020-10-13
0,68.49,P0,M0,KH바텍,060720,2020-10-13
0,67.8,P0,M0,태림포장,011280,2020-10-13
0,100.0,P0,M0,진원생명과학,011000,2020-10-12
0,76.65,P0,P0,코웰패션,033290,2020-10-12
0,74.21,P0,M0,셀트리온제약,068760,2020-10-08
0,71.06,P0,M0,진원생명과학,011000,2020-10-08
0,76.95,P0,P0,바이오스마트,038460,2020-10-06
0,68.8,P0,P0,JW중외제약,001060,2020-10-06
0,93.5,P0,P0,후성,093370,2020-10-05
0,74.41,P0,K0,파트론,091700,2020-10-05
0,94.82,P0,P0,부방,014470,2020-09-29
0,100.0,P0,P0,아난티,025980,2020-09-28
0,85.25,P0,P0,파마리서치프로덕트,214450,2020-09-28
0,81.38,P0,P0,이수페타시스,007660,2020-09-28
0,74.71,P0,P0,피엔티,137400,2020-09-28
0,69.66,P0,P0,두산중공업,034020,2020-09-28
0,93.08,P0,M0,파마리서치프로덕트,214450,2020-09-25
0,89.72,P0,M0,씨젠,096530,2020-09-25
0,84.04,P0,M0,세원셀론텍,091090,2020-09-25
0,73.29,P0,M0,씨티씨바이오,060590,2020-09-25
0,72.05,P0,M0,탑엔지니어링,065130,2020-09-25
0,100.0,P0,M0,디피씨,026890,2020-09-24
0,91.72,P0,P0,대호에이엘,069460,2020-09-24
0,80.99,P0,M0,예림당,036000,2020-09-24
0,80.17,P0,K0,LS,006260,2020-09-24
0,76.29,P0,K0,메디포스트,078160,2020-09-24
0,74.56,P0,M0,오스템임플란트,048260,2020-09-23
0,74.27,P0,M0,한올바이오파마,009420,2020-09-23
0,66.01,P0,M0,우리들제약,004720,2020-09-23
0,72.18,P0,M0,제넥신,095700,2020-09-22
0,65.94,P0,M0,태평양물산,007980,2020-09-22
0,81.16,P0,M0,엠게임,058630,2020-09-21
0,76.7,P0,P0,아이크래프트,052460,2020-09-21
0,73.35,P0,M0,평화산업,090080,2020-09-21
0,72.45,P0,M0,NAVER,035420,2020-09-21
0,76.07,P0,M0,LG전자,066570,2020-09-18
0,69.85,P0,M0,SK증권,001510,2020-09-17
0,89.38,P0,K0,두산인프라코어,042670,2020-09-15
