,날짜,종목코드,회사명,거래량
70,2018-05-08,000660,SK하이닉스,2979605.0
1791,2018-05-08,016670,포비스티앤씨,2898990.0
4084,2018-05-08,064820,케이프,406908.0
3842,2018-05-08,057880,필로시스헬스케어,643784.0
551,2018-05-08,004410,서울식품,7425913.0
3771,2018-05-08,055550,신한지주,635250.0
6270,2018-05-09,217600,켐온,909254.0
4998,2018-05-09,095910,에스에너지,222246.0
5123,2018-05-09,097780,에스맥,12103929.0
5227,2018-05-09,102280,쌍방울,946281.0
5322,2018-05-09,105840,우진,251607.0
208,2018-05-09,001780,알루코,555689.0
342,2018-05-09,002760,보락,2211995.0
5585,2018-05-09,131220,대한과학,103329.0
850,2018-05-09,005690,파미셀,9396007.0
6412,2018-05-09,222810,마이더스AI,906588.0
5682,2018-05-09,136480,하림,1640491.0
4739,2018-05-09,088790,진도,8972.0
683,2018-05-09,005110,한창,703656.0
6029,2018-05-09,203650,드림시큐리티,700287.0
378,2018-05-09,002900,동양물산,3077810.0
6162,2018-05-09,214310,세미콘라이트,7308490.0
6380,2018-05-09,222080,씨아이에스,1448282.0
1386,2018-05-09,011280,태림포장,124202.0
0,2018-05-09,000040,KR모터스,1113442.0
174,2018-05-09,001470,삼부토건,1309763.0
3070,2018-05-09,042040,케이피엠테크,14093792.0
3162,2018-05-09,042940,상지카일룸,362552.0
3197,2018-05-09,043260,성호전자,1042713.0
3372,2018-05-09,047770,코데즈컴바인,455805.0
3395,2018-05-09,047820,초록뱀,1655955.0
2210,2018-05-09,027050,코리아나,699561.0
3508,2018-05-09,051490,나라엠앤디,146077.0
2122,2018-05-09,024850,피에스엠씨,335764.0
3659,2018-05-09,053030,바이넥스,884479.0
2072,2018-05-09,024110,기업은행,1761260.0
1964,2018-05-09,020560,아시아나항공,2178624.0
3956,2018-05-09,059090,미코,325040.0
1815,2018-05-09,016920,카스,55618.0
1726,2018-05-09,015590,큐로,1019256.0
1669,2018-05-09,014160,대영포장,318697.0
4410,2018-05-09,072520,제넨바이오,1459195.0
4454,2018-05-09,075970,동국알앤에스,130841.0
4623,2018-05-09,084680,이월드,649256.0
1531,2018-05-09,013000,세우글로벌,413137.0
2698,2018-05-09,036170,라이브파이낸셜,856796.0
934,2018-05-10,006800,미래에셋대우,2477770.0
1752,2018-05-10,015760,한국전력,1623420.0
11,2018-05-10,000180,성창기업지주,1706955.0
4173,2018-05-10,065950,웰크론,19383438.0
5207,2018-05-10,100130,동국S&C,1029034.0
188,2018-05-10,001510,SK증권,1827246.0
5422,2018-05-10,115500,케이씨에스,622699.0
5856,2018-05-10,163560,동일고무벨트,13793.0
109,2018-05-10,000910,유니온,250739.0
5152,2018-05-10,099220,SDN,7530798.0
1865,2018-05-10,018000,유니슨,3474602.0
2304,2018-05-10,028670,팬오션,6315630.0
2827,2018-05-10,037400,우리조명,121333.0
3996,2018-05-10,060370,KT서브마린,267392.0
3753,2018-05-10,054180,메디콕스,384491.0
3772,2018-05-10,055550,신한지주,1097288.0
6851,2018-05-10,900310,컬러레이,226580.0
2080,2018-05-10,024740,한일단조,11782712.0
2112,2018-05-10,024810,이화전기,30911488.0
5529,2018-05-10,121800,비덴트,311852.0
3789,2018-05-10,056080,유진로봇,427144.0
983,2018-05-10,007120,미래아이앤지,812614.0
5245,2018-05-10,104040,대성파인텍,725793.0
5292,2018-05-10,105740,디케이락,136331.0
4440,2018-05-10,073570,WI,57153.0
5545,2018-05-10,122450,KMH,126729.0
1419,2018-05-10,011370,서한,1064799.0
5124,2018-05-11,097780,에스맥,16934504.0
2504,2018-05-11,033250,체시스,2750581.0
6079,2018-05-11,206650,유바이오로직스,323476.0
1727,2018-05-11,015590,큐로,414158.0
552,2018-05-11,004410,서울식품,5108081.0
2211,2018-05-11,027050,코리아나,484545.0
1985,2018-05-11,021040,대호피앤씨,297186.0
6413,2018-05-11,222810,마이더스AI,421233.0
1316,2018-05-11,011080,형지I&C,1703151.0
1655,2018-05-11,013990,아가방컴퍼니,412247.0
3444,2018-05-11,050090,휘닉스소재,1948474.0
3480,2018-05-11,050890,쏠리드,455828.0
5487,2018-05-14,119650,KC코트렐,149145.0
1699,2018-05-15,014710,사조씨푸드,346581.0
3726,2018-05-15,054090,삼진엘앤디,231708.0
6414,2018-05-15,222810,마이더스AI,454449.0
1207,2018-05-15,009440,KC그린홀딩스,54700.0
2928,2018-05-16,038530,골드퍼시픽,53859.0
343,2018-05-16,002760,보락,5332972.0
2236,2018-05-17,027740,마니커,355015.0
1670,2018-05-17,014160,대영포장,260758.0
5654,2018-05-17,133820,화인베스틸,258070.0
3163,2018-05-17,042940,상지카일룸,135022.0
6668,2018-05-17,261200,덴티스,2336.0
2781,2018-05-17,037270,YG PLUS,125814.0
4455,2018-05-17,075970,동국알앤에스,334303.0
1792,2018-05-17,016670,포비스티앤씨,398084.0
1058,2018-05-17,008250,이건산업,1022636.0
2699,2018-05-17,036170,라이브파이낸셜,567799.0
6758,2018-05-17,900110,이스트아시아홀딩스,336095.0
175,2018-05-17,001470,삼부토건,1146936.0
2113,2018-05-17,024810,이화전기,32611083.0
379,2018-05-17,002900,동양물산,5033422.0
684,2018-05-17,005110,한창,558178.0
904,2018-05-17,006050,국영지앤엠,11597684.0
3614,2018-05-17,052900,KMH하이텍,151283.0
3346,2018-05-17,047400,유니온머티리얼,278020.0
1080,2018-05-17,008350,남선알미늄,3586610.0
2062,2018-05-17,023410,유진기업,4995719.0
5909,2018-05-17,174880,장원테크,35173.0
2505,2018-05-17,033250,체시스,532134.0
5774,2018-05-17,141070,맥스로텍,173511.0
787,2018-05-17,005360,모나미,111146.0
12,2018-05-17,000180,성창기업지주,629619.0
6317,2018-05-17,219550,MP한강,2467268.0
553,2018-05-17,004410,서울식품,5524335.0
4805,2018-05-17,089530,에이티세미콘,581638.0
156,2018-05-17,001440,대한전선,53394687.0
110,2018-05-17,000910,유니온,716481.0
3843,2018-05-17,057880,필로시스헬스케어,823470.0
4669,2018-05-17,086390,유니테스트,1283981.0
5683,2018-05-17,136480,하림,587320.0
4477,2018-05-17,076080,웰크론한텍,193495.0
5187,2018-05-17,100090,삼강엠앤티,524769.0
4236,2018-05-17,066590,우수AMS,1737129.0
5825,2018-05-17,148140,비디아이,88119.0
5423,2018-05-17,115500,케이씨에스,1472364.0
319,2018-05-17,002710,TCC스틸,56208.0
1998,2018-05-17,021050,서원,600538.0
935,2018-05-18,006800,미래에셋대우,1983402.0
5341,2018-05-18,106520,디지탈옵틱,1430367.0
5352,2018-05-18,109610,에스와이,546683.0
1626,2018-05-18,013810,스페코,587801.0
6381,2018-05-18,222080,씨아이에스,824821.0
5153,2018-05-18,099220,SDN,2055571.0
1965,2018-05-18,020560,아시아나항공,684681.0
6271,2018-05-18,217600,켐온,15999624.0
3284,2018-05-18,045890,GV,131302.0
1317,2018-05-18,011080,형지I&C,143859.0
4492,2018-05-18,078130,국일제지,107448719.0
1252,2018-05-18,010140,삼성중공업,4084884.0
1270,2018-05-18,010170,대한광통신,1304062.0
