,종목코드
0,000020
1,000040
2,000050
3,000060
4,000070
5,000075
6,000080
7,000087
8,000100
9,000105
10,000120
11,000140
12,000145
13,000150
14,000155
15,000157
16,000180
17,000210
18,000215
19,000220
20,000225
21,000227
22,000230
23,000240
24,000250
25,000270
26,000300
27,000320
28,000325
29,000370
30,000390
31,000400
32,000430
33,000440
34,000480
35,000490
36,000500
37,000520
38,000540
39,000545
40,000547
41,000590
42,000640
43,000650
44,000660
45,000670
46,000680
47,000700
48,000720
49,000725
50,000760
51,000810
52,000815
53,000850
54,000860
55,000880
56,000885
57,00088K
58,000890
59,000910
60,000950
61,000970
62,000990
63,000995
64,001000
65,001020
66,001040
67,001045
68,00104K
69,001060
70,001065
71,001067
72,001070
73,001080
74,001120
75,001130
76,001140
77,001200
78,001210
79,001230
80,001250
81,001260
82,001270
83,001275
84,001290
85,001340
86,001360
87,001380
88,001390
89,001420
90,001430
91,001440
92,001450
93,001460
94,001465
95,001470
96,001500
97,001510
98,001515
99,001520
100,001525
101,001527
102,001529
103,001530
104,001540
105,001550
106,001560
107,001570
108,001620
109,001630
110,001680
111,001685
112,001720
113,001725
114,001740
115,001745
116,001750
117,001755
118,001770
119,001780
120,001790
121,001795
122,001800
123,001810
124,001820
125,001840
126,001880
127,001940
128,002020
129,002025
130,002030
131,002070
132,002100
133,002140
134,002150
135,002170
136,002200
137,002210
138,002220
139,002230
140,002240
141,002270
142,002290
143,002310
144,002320
145,002350
146,002355
147,002360
148,002380
149,002390
150,002410
151,002420
152,002450
153,002460
154,002600
155,002620
156,002630
157,002680
158,002690
159,002700
160,002710
161,002720
162,002760
163,002780
164,002785
165,002787
166,002790
167,002795
168,00279K
169,002800
170,002810
171,002820
172,002840
173,002870
174,002880
175,002900
176,002920
177,002960
178,002990
179,002995
180,003000
181,003010
182,003030
183,003060
184,003070
185,003075
186,003080
187,003090
188,003100
189,003120
190,003160
191,003200
192,003220
193,003230
194,003240
195,003280
196,003300
197,003310
198,003350
199,003380
200,003410
201,003415
202,003460
203,003465
204,003470
205,003475
206,003480
207,003490
208,003495
209,003520
210,003530
211,003535
212,003540
213,003545
214,003547
215,003550
216,003555
217,003560
218,003570
219,003580
220,003610
221,003620
222,003650
223,003670
224,003680
225,003690
226,003720
227,003780
228,003800
